,open,high,low,close,volume
2019-10-25,87.38,87.805,87.01,87.68,903905.0
2019-10-24,87.85,88.12,86.89,87.58,1195400.0
2019-10-23,88.3,88.65,85.94,87.84,2968200.0
2019-10-22,89.11,89.12,88.17,88.44,1356600.0
2019-10-21,88.11,88.75,87.72,88.72,1327900.0
2019-10-18,87.62,88.46,87.39,88.37,1640400.0
2019-10-17,87.67,88.24,87.57,87.75,1902900.0
2019-10-16,87.63,88.05,86.82,88.02,1139000.0
2019-10-15,87.58,87.95,87.14,87.56,1988300.0
2019-10-14,87.43,87.92,87.15,87.58,1310500.0
2019-10-11,88.13,88.49,87.05,87.63,1298700.0
2019-10-10,87.29,88.38,87.09,88.16,1055400.0
2019-10-09,87.73,88.39,87.34,87.58,1275700.0
2019-10-08,87.69,88.33,87.13,87.55,1943600.0
2019-10-07,87.06,88.08,87.05,87.76,1428000.0
2019-10-04,87.08,87.61,87.0,87.47,1567200.0
2019-10-03,85.95,87.24,85.82,87.08,1429900.0
2019-10-02,86.15,86.61,84.9,86.1,1468600.0
2019-10-01,86.11,86.56,85.28,86.17,995000.0
2019-09-30,86.13,86.72,86.13,86.26,1469200.0
2019-09-27,86.44,86.6,85.55,86.25,1108900.0
2019-09-26,86.43,87.17,86.3,86.76,999400.0
2019-09-25,85.6,86.3,85.49,86.09,966600.0
2019-09-24,85.43,86.32,85.16,85.47,1272500.0
2019-09-23,84.47,85.8,84.24,85.23,1519200.0
2019-09-20,85.81,85.81,84.93,85.17,7515200.0
2019-09-19,85.25,85.86,85.25,85.51,1247500.0
2019-09-18,85.86,85.95,84.7,85.27,1848700.0
2019-09-17,85.29,86.14,84.85,85.87,1659000.0
2019-09-16,84.52,85.27,84.15,85.05,1507600.0
2019-09-13,85.05,85.44,84.07,84.55,1549800.0
2019-09-12,85.6,86.08,84.32,85.36,1374900.0
2019-09-11,84.25,84.78,83.36,84.77,1486100.0
2019-09-10,84.71,84.82,83.02,84.46,1585800.0
2019-09-09,86.52,86.53,85.0,85.11,2185100.0
2019-09-06,86.25,87.09,86.09,86.85,1614800.0
2019-09-05,86.12,86.37,85.47,85.99,1234900.0
2019-09-04,86.21,86.36,85.61,86.29,1364900.0
2019-09-03,84.64,85.85,84.62,85.79,1565100.0
2019-08-30,84.5,84.93,84.03,84.76,1510100.0
2019-08-29,83.85,84.41,83.49,84.27,874600.0
2019-08-28,83.85,84.05,83.34,83.63,1749600.0
2019-08-27,83.99,84.23,83.54,83.78,1933200.0
2019-08-26,83.19,83.61,82.48,83.61,1728100.0
2019-08-23,82.96,83.8,82.53,82.75,2343300.0
2019-08-22,82.72,83.08,82.18,83.0,830300.0
2019-08-21,82.4,82.86,82.01,82.63,625600.0
2019-08-20,82.95,83.11,82.28,82.44,1068200.0
2019-08-19,82.0,82.91,81.53,82.77,1036600.0
2019-08-16,81.36,81.9889,79.91,81.64,1098000.0
2019-08-15,80.11,81.38,79.91,81.15,1282500.0
2019-08-14,81.05,81.16,79.79,79.82,916900.0
2019-08-13,81.11,81.19,79.55,80.89,1339600.0
2019-08-12,81.19,81.74,80.74,81.22,833900.0
2019-08-09,80.77,81.44,80.05,81.27,1939500.0
2019-08-08,79.9,80.93,79.02,80.84,1331800.0
2019-08-07,79.0341,80.43,77.92,79.78,1150300.0
2019-08-06,78.33,79.4,77.73,79.14,1296700.0
2019-08-05,80.48,80.54,77.48,78.18,1572800.0
2019-08-02,79.61,81.1017,79.38,80.48,1551500.0
2019-08-01,78.82,79.98,77.5,79.58,2317100.0
2019-07-31,79.93,81.88,78.83,78.89,2469100.0
2019-07-30,79.55,80.62,79.2104,79.54,1768000.0
2019-07-29,78.75,80.07,78.74,79.61,1482000.0
2019-07-26,78.23,78.7,78.06,78.56,1289900.0
2019-07-25,77.81,78.24,77.26,78.1,1505500.0
2019-07-24,78.11,78.18,77.37,77.43,1443900.0
2019-07-23,76.89,77.99,76.38,77.96,984600.0
2019-07-22,77.2,77.47,76.76,76.88,1318100.0
2019-07-19,78.78,79.08,76.93,77.15,1212600.0
2019-07-18,78.56,78.85,77.74,78.59,711300.0
2019-07-17,78.98,79.3,77.835,78.64,1138100.0
2019-07-16,78.96,79.18,78.57,78.85,732900.0
2019-07-15,79.0,79.59,78.55,79.13,794400.0
2019-07-12,79.44,79.44,78.73,78.85,939400.0
2019-07-11,79.83,79.85,78.6335,79.29,1554300.0
2019-07-10,79.45,79.87,79.0721,79.57,1202800.0
2019-07-09,78.75,79.47,78.44,79.32,1084200.0
2019-07-08,78.05,78.9,78.0,78.83,802200.0
2019-07-05,77.89,78.15,76.63,77.92,639500.0
2019-07-03,77.71,78.57,77.61,78.34,530100.0
2019-07-02,76.35,77.72,76.35,77.43,1266400.0
2019-07-01,76.37,76.41,74.83,76.14,891700.0
2019-06-28,75.68,76.66,75.63,75.92,1934500.0
2019-06-27,75.57,76.48,75.26,75.61,876300.0
2019-06-26,76.84,76.91,75.04,75.65,1558100.0
2019-06-25,78.36,78.76,76.84,76.91,956000.0
2019-06-24,78.34,78.45,77.71,78.27,794300.0
2019-06-21,79.04,79.16,77.49,78.03,2764100.0
2019-06-20,78.67,79.47,78.6423,78.83,1250600.0
2019-06-19,77.7,78.72,77.51,78.43,1065200.0
2019-06-18,79.2,79.31,77.39,78.05,1450000.0
2019-06-17,78.49,79.15,78.31,78.67,958000.0
2019-06-14,78.0,78.52,77.8,78.26,1153500.0
2019-06-13,77.54,77.93,77.39,77.93,1126000.0
2019-06-12,77.83,78.33,77.18,77.65,998900.0
2019-06-11,77.95,78.03,77.07,77.8,726800.0
2019-06-10,78.0509,78.05,76.93,77.83,1159800.0
2019-06-07,78.1,78.54,77.79,77.98,738900.0
2019-06-06,77.35,78.0,77.05,77.79,906900.0
