,open,high,low,close,volume
2019-10-25,9.25,9.66,9.11,9.49,5987179.0
2019-10-24,9.74,9.76,9.03,9.26,4956900.0
2019-10-23,9.42,9.81,9.14,9.62,5952500.0
2019-10-22,9.67,9.8,9.26,9.46,6182000.0
2019-10-21,9.6,9.84,9.4,9.55,4312000.0
2019-10-18,9.93,10.02,9.66,9.71,4144500.0
2019-10-17,9.64,10.03,9.47,9.95,5407300.0
2019-10-16,9.75,9.97,9.52,9.56,4465200.0
2019-10-15,9.41,10.06,9.39,9.64,7496800.0
2019-10-14,9.57,9.65,9.24,9.49,3407900.0
2019-10-11,9.6,9.91,9.41,9.66,5333800.0
2019-10-10,9.33,9.54,9.14,9.42,4291600.0
2019-10-09,9.23,9.54,9.14,9.33,6195500.0
2019-10-08,9.62,9.8,9.23,9.26,4905000.0
2019-10-07,9.8,10.12,9.57,9.77,6594400.0
2019-10-04,9.79,9.9,9.11,9.9,5905300.0
2019-10-03,9.98,10.0,9.06,9.68,7391700.0
2019-10-02,10.22,10.58,9.97,10.07,4874500.0
2019-10-01,10.71,10.88,10.01,10.2,4718000.0
2019-09-30,11.13,11.13,10.28,10.64,6280300.0
2019-09-27,10.72,11.26,10.59,11.23,4207800.0
2019-09-26,10.98,11.09,10.64,10.9,3797400.0
2019-09-25,11.19,11.45,11.03,11.17,3285700.0
2019-09-24,11.35,11.56,11.12,11.28,3233100.0
2019-09-23,11.25,11.67,11.16,11.49,4596500.0
2019-09-20,11.61,11.8,11.32,11.46,9689900.0
2019-09-19,12.25,12.32,11.48,11.51,4441400.0
2019-09-18,12.28,12.6,12.08,12.25,3561500.0
2019-09-17,11.96,12.92,11.73,12.44,8243300.0
2019-09-16,12.92,13.12,11.6,12.16,11983900.0
2019-09-13,12.42,12.67,11.66,12.16,4925500.0
2019-09-12,12.12,12.49,11.72,12.29,6081800.0
2019-09-11,11.93,12.64,11.63,12.33,5910700.0
2019-09-10,11.92,12.61,11.72,11.81,6572400.0
2019-09-09,10.83,11.82,10.79,11.75,7299800.0
2019-09-06,10.64,10.77,10.11,10.68,6151000.0
2019-09-05,10.68,11.24,10.6,10.9,5321900.0
2019-09-04,10.18,10.66,10.12,10.58,5589700.0
2019-09-03,10.01,10.08,9.71,10.02,6864900.0
2019-08-30,10.6,10.75,9.9,10.17,6709800.0
2019-08-29,10.28,11.07,10.28,10.75,6737700.0
2019-08-28,9.92,10.35,9.82,10.19,7392300.0
2019-08-27,10.36,10.39,9.8,9.82,4971700.0
2019-08-26,10.5,10.53,10.14,10.26,8330600.0
2019-08-23,11.19,11.3,10.32,10.35,12308300.0
2019-08-22,11.91,12.08,11.28,11.35,4994900.0
2019-08-21,12.17,12.56,11.75,11.86,4424900.0
2019-08-20,12.48,12.81,12.22,12.29,3280800.0
2019-08-19,12.45,12.83,12.32,12.6,5528000.0
2019-08-16,11.74,12.5,11.47,12.36,4156700.0
2019-08-15,11.83,11.9,11.47,11.77,4540500.0
2019-08-14,12.03,12.1,11.695,11.81,4786100.0
2019-08-13,12.24,12.84,11.92,12.3,6283900.0
2019-08-12,12.08,12.25,11.55,12.17,7154400.0
2019-08-09,12.59,12.65,12.03,12.09,5167200.0
2019-08-08,12.58,12.65,12.105,12.61,6022100.0
2019-08-07,12.3,12.48,11.79,12.41,9484100.0
2019-08-06,13.1,13.21,12.11,12.54,5837100.0
2019-08-05,13.0,13.16,12.7,13.07,6318600.0
2019-08-02,13.78,13.95,13.22,13.35,5388100.0
2019-08-01,14.9,14.9,13.5,13.72,10046900.0
2019-07-31,14.86,15.5793,14.77,15.11,7999600.0
2019-07-30,13.58,14.93,13.41,14.75,7492400.0
2019-07-29,14.32,14.32,13.21,13.65,8119600.0
2019-07-26,14.65,15.11,14.18,14.31,6567000.0
2019-07-25,16.3,16.34,14.29,14.82,8902600.0
2019-07-24,15.64,16.09,15.54,15.92,4655500.0
2019-07-23,15.5,15.72,15.35,15.67,3677500.0
2019-07-22,15.56,15.77,15.23,15.53,3472000.0
2019-07-19,15.19,15.55,15.11,15.45,3160900.0
2019-07-18,14.84,15.34,14.77,15.25,3759300.0
2019-07-17,15.12,15.23,14.75,14.96,2986100.0
2019-07-16,15.55,15.55,14.92,15.12,4737800.0
2019-07-15,15.87,15.92,15.45,15.62,4413600.0
2019-07-12,15.63,16.08,15.37,15.82,5075400.0
2019-07-11,15.99,16.14,15.26,15.37,4408600.0
2019-07-10,16.4308,16.44,15.8,15.94,7007700.0
2019-07-09,15.06,15.81,14.97,15.66,5567400.0
2019-07-08,15.31,15.49,15.07,15.08,3044100.0
2019-07-05,15.25,15.745,15.08,15.47,4892700.0
2019-07-03,15.09,15.27,14.99,15.06,2179400.0
2019-07-02,16.02,16.07,14.905,15.08,6446700.0
2019-07-01,15.94,16.2,15.82,16.07,5921100.0
2019-06-28,14.5601,16.09,14.56,15.81,9014800.0
2019-06-27,14.75,14.94,14.356,14.43,3699700.0
2019-06-26,14.49,14.92,14.47,14.79,4842000.0
2019-06-25,15.38,15.38,14.28,14.39,7329900.0
2019-06-24,15.19,15.62,15.12,15.38,3854200.0
2019-06-21,15.56,15.7,15.01,15.23,4365500.0
2019-06-20,15.4,15.92,15.32,15.55,4817200.0
2019-06-19,15.99,15.99,15.12,15.16,4028400.0
2019-06-18,15.9,16.36,15.87,15.96,3433100.0
2019-06-17,15.66,16.24,15.4,15.85,3924200.0
2019-06-14,16.07,16.22,15.74,15.81,3441100.0
2019-06-13,16.0,16.16,15.66,16.13,6151700.0
2019-06-12,16.47,16.64,15.69,15.77,5492500.0
2019-06-11,17.53,17.53,16.63,16.66,4916700.0
2019-06-10,17.62,17.905,17.29,17.31,3686000.0
2019-06-07,18.04,18.17,17.67,17.69,3274300.0
2019-06-06,17.799,18.06,17.68,18.06,3643300.0
