,open,high,low,close,volume
2019-10-25,86.33,86.55,85.2,85.31,1398881.0
2019-10-24,86.02,86.53,85.87,86.2,804000.0
2019-10-23,86.05,86.24,85.51,86.06,1245400.0
2019-10-22,86.36,86.54,85.67,85.86,946500.0
2019-10-21,85.65,86.19,85.32,86.14,1569700.0
2019-10-18,84.92,85.76,84.55,85.6,1250300.0
2019-10-17,84.54,85.33,84.47,85.12,1065700.0
2019-10-16,83.97,84.7,83.57,84.58,1474300.0
2019-10-15,84.89,85.14,83.79,84.09,1678700.0
2019-10-14,85.79,85.88,84.72,84.76,847400.0
2019-10-11,85.2,86.0,84.9,85.57,1148100.0
2019-10-10,85.64,85.96,84.82,85.54,1497000.0
2019-10-09,84.93,86.26,84.93,86.09,1818800.0
2019-10-08,85.41,85.58,84.84,84.85,1308700.0
2019-10-07,85.31,85.69,85.08,85.37,1430900.0
2019-10-04,84.79,85.71,84.58,85.61,1480000.0
2019-10-03,84.52,84.71,84.0,84.66,1829600.0
2019-10-02,85.38,85.49,84.17,84.42,2092800.0
2019-10-01,85.06,85.45,84.53,85.36,1257400.0
2019-09-30,85.5,85.93,85.18,85.47,2284600.0
2019-09-27,85.44,85.62,84.67,85.34,1420000.0
2019-09-26,84.87,85.51,84.66,85.26,1344800.0
2019-09-25,84.61,84.81,84.21,84.64,1255800.0
2019-09-24,83.82,84.83,83.59,84.66,1934000.0
2019-09-23,83.35,83.83,83.04,83.49,1273000.0
2019-09-20,83.3,83.62,82.91,83.26,3282200.0
2019-09-19,83.31,83.4,82.99,83.23,1918400.0
2019-09-18,83.41,83.61,82.78,83.37,1557900.0
2019-09-17,82.38,83.43,82.38,83.15,1654000.0
2019-09-16,82.6,82.6,82.18,82.44,1083000.0
2019-09-13,82.5,83.08,82.27,82.38,1717600.0
2019-09-12,82.65,83.22,82.41,82.86,1621600.0
2019-09-11,81.43,82.44,81.12,82.17,1692300.0
2019-09-10,81.62,81.89,80.95,81.87,2448500.0
2019-09-09,81.82,82.44,81.58,81.8,2888700.0
2019-09-06,82.11,82.46,81.94,82.35,1704800.0
2019-09-05,82.0,82.23,80.97,82.03,2208400.0
2019-09-04,83.1,83.1,81.82,82.49,1914400.0
2019-09-03,80.03,81.48,79.87,81.47,2007700.0
2019-08-30,80.55,80.73,80.01,80.13,1332900.0
2019-08-29,80.51,80.82,79.54,80.41,1243200.0
2019-08-28,80.85,81.13,79.71,80.29,1300700.0
2019-08-27,80.29,81.15,80.17,80.56,1339400.0
2019-08-26,79.27,79.97,79.12,79.94,796400.0
2019-08-23,80.03,80.17,78.85,79.17,1708600.0
2019-08-22,79.48,79.91,79.05,79.77,1408200.0
2019-08-21,78.82,79.59,78.68,79.56,930000.0
2019-08-20,79.24,79.32,78.67,79.1,1235100.0
2019-08-19,78.68,79.35,78.34,78.97,1338400.0
2019-08-16,78.8578,79.11,76.97,78.64,1421800.0
2019-08-15,77.09,79.11,76.97,78.81,1595000.0
2019-08-14,78.19,78.35,76.91,77.16,1885000.0
2019-08-13,77.57,78.18,77.21,77.91,1393300.0
2019-08-12,78.63,78.67,77.54,77.75,1181900.0
2019-08-09,78.64,78.88,78.15,78.43,1155000.0
2019-08-08,77.88,78.69,77.2,78.41,1313900.0
2019-08-07,77.45,78.365,76.63,77.89,1672100.0
2019-08-06,76.44,77.67,75.48,77.44,1639000.0
2019-08-05,76.94,77.65,76.14,76.55,2481300.0
2019-08-02,76.73,77.75,76.29,76.7,1866500.0
2019-08-01,75.74,77.06,75.61,76.54,2484000.0
2019-07-31,76.36,76.83,75.43,75.86,1988100.0
2019-07-30,76.45,77.26,76.17,76.53,1540100.0
2019-07-29,76.54,76.96,76.18,76.81,1039000.0
2019-07-26,76.19,76.56,75.87,76.24,1571900.0
2019-07-25,76.42,76.69,75.626,76.2,1644000.0
2019-07-24,76.89,76.98,75.9,76.42,1797900.0
2019-07-23,76.97,76.97,76.25,76.75,1560800.0
2019-07-22,76.95,77.17,75.93,76.91,1117300.0
2019-07-19,78.12,78.5334,76.74,76.77,1904000.0
2019-07-18,77.3962,78.42,76.94,78.4,1428500.0
2019-07-17,77.64,77.9,77.28,77.36,2110500.0
2019-07-16,77.09,77.73,76.6,77.09,1811800.0
2019-07-15,77.4,77.93,77.1,77.75,1258000.0
2019-07-12,77.96,78.06,77.2651,77.54,1868300.0
2019-07-11,77.72,78.09,77.28,78.06,1912300.0
2019-07-10,77.22,77.92,76.9,77.67,1334600.0
2019-07-09,76.9,77.08,76.4151,76.96,1496700.0
2019-07-08,77.08,77.44,76.64,77.04,1876400.0
2019-07-05,76.43,77.15,75.685,76.99,1487700.0
2019-07-03,76.9,77.64,76.9,77.12,703700.0
2019-07-02,75.96,76.94,75.82,76.66,1546600.0
2019-07-01,75.76,75.77,74.77,75.66,1683700.0
2019-06-28,75.36,76.07,75.2656,75.76,2590700.0
2019-06-27,76.01,76.01,75.185,75.41,1627300.0
2019-06-26,76.91,76.92,75.28,75.37,1942400.0
2019-06-25,77.48,77.71,76.72,76.98,1640700.0
2019-06-24,77.83,77.87,77.15,77.39,1353500.0
2019-06-21,77.29,77.63,76.82,77.4,3823500.0
2019-06-20,77.46,77.87,76.645,77.53,1764500.0
2019-06-19,75.99,77.4232,75.85,77.17,1280900.0
2019-06-18,77.22,77.22,75.88,76.29,1494500.0
2019-06-17,77.44,77.57,76.28,76.5,1605700.0
2019-06-14,76.82,77.515,76.59,77.41,1409600.0
2019-06-13,76.66,76.8,76.09,76.67,1760200.0
2019-06-12,75.84,76.5991,75.84,76.51,849900.0
2019-06-11,75.84,76.22,75.09,75.48,1292100.0
2019-06-10,76.12,76.3,75.36,76.02,1095900.0
2019-06-07,77.53,77.73,76.3,76.3,1328000.0
2019-06-06,76.4,77.34,76.27,76.85,1586900.0
