,open,high,low,close,volume
2019-10-25,84.85,85.91,84.27,85.62,1865435.0
2019-10-24,84.99,85.17,83.87,84.25,1546900.0
2019-10-23,84.75,84.92,84.02,84.66,1542800.0
2019-10-22,83.71,85.16,83.18,84.72,1617000.0
2019-10-21,83.0,84.04,82.97,83.5,1869500.0
2019-10-18,81.47,82.91,81.39,82.56,1981800.0
2019-10-17,81.8,82.52,81.04,81.41,4678300.0
2019-10-16,80.81,82.87,80.81,81.07,2590600.0
2019-10-15,80.88,82.49,80.1,82.12,1915700.0
2019-10-14,80.91,81.27,80.4,80.86,1591700.0
2019-10-11,80.22,82.81,80.1,81.36,2704700.0
2019-10-10,77.65,79.2,77.5,78.6,1888500.0
2019-10-09,76.69,77.67,76.11,77.39,2219000.0
2019-10-08,77.38,77.39,76.2,76.25,1756800.0
2019-10-07,79.13,79.55,78.09,78.3,1929500.0
2019-10-04,78.54,79.42,78.43,79.32,1500600.0
2019-10-03,77.57,78.65,76.43,78.47,1550000.0
2019-10-02,79.68,79.68,76.86,77.76,2757700.0
2019-10-01,83.92,84.05,80.41,80.8,1806500.0
2019-09-30,83.35,83.56,82.77,83.15,1749300.0
2019-09-27,82.89,83.29,81.78,83.01,1503800.0
2019-09-26,82.63,82.83,82.0,82.49,1900800.0
2019-09-25,82.04,83.18,81.8,82.67,2382600.0
2019-09-24,84.14,84.29,81.8,82.32,2784500.0
2019-09-23,82.97,84.43,82.71,83.91,2207600.0
2019-09-20,84.8,85.31,83.49,83.57,3040700.0
2019-09-19,85.34,85.72,84.38,84.51,1835700.0
2019-09-18,85.43,85.86,84.05,84.98,2518800.0
2019-09-17,85.54,86.21,85.05,86.1,1500900.0
2019-09-16,86.97,86.99,85.86,86.46,1563400.0
2019-09-13,87.91,89.07,87.14,87.47,3175600.0
2019-09-12,88.01,88.1,86.7,87.3,2330300.0
2019-09-11,86.89,88.07,85.82,88.03,1999300.0
2019-09-10,85.0,86.86,85.0,86.84,3290300.0
2019-09-09,83.82,84.93,83.49,84.85,2055200.0
2019-09-06,81.98,83.49,81.71,83.25,1983900.0
2019-09-05,80.43,82.42,80.28,81.95,2243600.0
2019-09-04,79.3,79.76,78.92,79.17,1660100.0
2019-09-03,79.52,79.6,77.62,78.49,3527600.0
2019-08-30,80.44,81.29,80.29,80.72,2715700.0
2019-08-29,78.95,79.78,78.8,79.64,1646900.0
2019-08-28,76.5,77.99,76.12,77.87,1347000.0
2019-08-27,77.43,77.43,76.49,76.86,1854000.0
2019-08-26,77.16,77.4,76.05,76.83,1670000.0
2019-08-23,77.89,78.17,76.09,76.59,4322800.0
2019-08-22,78.98,79.08,77.73,78.37,1631500.0
2019-08-21,79.26,79.3,78.26,78.65,1483000.0
2019-08-20,79.0,79.0,77.98,78.16,1610000.0
2019-08-19,78.91,79.36,78.44,79.14,2158600.0
2019-08-16,76.37,77.68,74.86,77.32,1655200.0
2019-08-15,75.28,76.07,74.86,75.91,2479600.0
2019-08-14,77.6,77.944,74.9487,75.19,5155700.0
2019-08-13,78.02,80.37,77.62,79.41,2343500.0
2019-08-12,78.55,78.84,77.77,77.95,2286200.0
2019-08-09,79.3,79.71,78.26,79.03,2388300.0
2019-08-08,78.7111,80.02,78.71,79.76,1879000.0
2019-08-07,77.72,78.46,76.33,78.09,3220400.0
2019-08-06,78.28,79.08,77.1,78.89,2404300.0
2019-08-05,77.91,78.03,76.46,76.83,3098500.0
2019-08-02,79.57,80.03,78.98,79.3,2683500.0
2019-08-01,81.23,82.84,79.6855,79.97,3125000.0
2019-07-31,83.08,83.3808,81.33,82.19,4566400.0
2019-07-30,80.59,83.94,79.74,83.12,3136800.0
2019-07-29,81.45,81.65,80.67,81.07,2472500.0
2019-07-26,81.62,82.1,81.13,81.57,1783700.0
2019-07-25,82.56,82.76,81.5735,81.98,2180300.0
2019-07-24,81.23,82.86,80.91,82.73,2009900.0
2019-07-23,80.13,81.87,79.65,81.81,2702600.0
2019-07-22,80.04,80.48,79.46,79.56,1699500.0
2019-07-19,79.63,80.48,79.38,79.86,2380400.0
2019-07-18,79.27,79.43,78.7,79.06,2721600.0
2019-07-17,81.05,81.14,79.32,79.35,1705900.0
2019-07-16,80.61,81.41,80.1949,81.15,2163100.0
2019-07-15,81.22,81.41,80.32,80.69,1988400.0
2019-07-12,79.62,81.55,79.3,81.21,2058500.0
2019-07-11,79.29,79.34,78.24,79.15,2869200.0
2019-07-10,80.59,81.06,78.98,79.04,2177500.0
2019-07-09,80.6,80.83,79.91,80.25,3711800.0
2019-07-08,81.22,82.22,80.8616,81.26,1339000.0
2019-07-05,81.66,81.84,80.48,81.81,1322700.0
2019-07-03,81.75,82.37,81.3263,82.32,1082000.0
2019-07-02,82.88,82.88,80.99,81.74,2848200.0
2019-07-01,84.55,84.7,82.9,83.18,2299900.0
