,open,high,low,close,volume
2019-10-25,227.19,230.27,225.86,228.21,1252237.0
2019-10-24,235.53,238.37,224.76,228.86,3183600.0
2019-10-23,222.47,227.03,221.6,225.18,1208100.0
2019-10-22,228.49,231.26,221.84,222.09,944900.0
2019-10-21,228.52,229.29,226.09,227.21,967400.0
2019-10-18,227.36,229.67,227.29,227.46,1256100.0
2019-10-17,228.81,228.83,226.05,227.8,968700.0
2019-10-16,228.16,228.16,225.36,226.34,1022000.0
2019-10-15,227.87,229.32,227.07,228.63,896200.0
2019-10-14,228.35,229.88,225.13,226.61,786400.0
2019-10-11,227.51,230.19,225.75,227.11,1466600.0
2019-10-10,223.28,227.31,221.83,226.09,1006800.0
2019-10-09,220.04,225.04,219.8,224.81,1023800.0
2019-10-08,223.55,223.75,218.01,218.03,1012800.0
2019-10-07,227.78,228.13,223.08,225.18,1122100.0
2019-10-04,223.18,229.97,223.18,229.4,1418900.0
2019-10-03,214.94,223.89,214.4,223.0,1933100.0
2019-10-02,215.82,217.27,213.23,215.37,1364900.0
2019-10-01,218.24,220.52,215.0,215.11,1270900.0
2019-09-30,219.0,220.71,215.69,219.91,1016500.0
2019-09-27,222.09,222.55,215.64,217.29,1619700.0
2019-09-26,221.98,222.9,218.9,221.6,941000.0
2019-09-25,218.77,221.81,217.08,221.5,977300.0
2019-09-24,221.37,221.66,216.69,219.09,739300.0
2019-09-23,219.28,220.75,218.01,219.7,1011200.0
2019-09-20,216.35,220.0,215.98,219.66,1986600.0
2019-09-19,216.71,217.71,215.09,215.11,758700.0
2019-09-18,220.0,220.0,214.69,217.84,600800.0
2019-09-17,216.02,220.04,216.02,219.42,879900.0
2019-09-16,218.19,220.22,214.09,215.09,812600.0
2019-09-13,219.23,220.4,217.41,219.5,685300.0
2019-09-12,220.08,221.82,218.0,220.45,828600.0
2019-09-11,217.55,219.1,215.33,217.85,1090800.0
2019-09-10,215.0,218.28,208.15,218.27,1378300.0
2019-09-09,225.74,227.21,216.67,217.21,1000600.0
2019-09-06,226.26,228.19,225.45,226.29,974000.0
2019-09-05,222.06,225.35,221.85,224.98,1193000.0
