,open,high,low,close,volume
2019-10-25,46.12,46.24,45.615,45.89,5917771.0
2019-10-24,45.56,46.26,45.56,46.18,6880200.0
2019-10-23,45.51,45.79,45.16,45.65,8712600.0
2019-10-22,44.97,45.27,44.59,45.25,8537100.0
2019-10-21,44.78,44.88,44.45,44.71,7384700.0
2019-10-18,44.0,44.77,43.92,44.67,20311100.0
2019-10-17,44.3,44.38,43.42,44.06,19579600.0
2019-10-16,46.75,46.75,44.74,44.91,11579300.0
2019-10-15,47.13,47.37,46.93,47.06,3398100.0
2019-10-14,47.61,47.66,46.9,47.11,2668400.0
2019-10-11,47.55,47.94,47.44,47.51,4413000.0
2019-10-10,47.68,47.73,47.09,47.42,4937300.0
2019-10-09,47.75,48.11,47.6,47.91,3048100.0
2019-10-08,48.17,48.45,47.75,47.77,4383400.0
2019-10-07,48.23,48.58,47.98,48.46,4686700.0
2019-10-04,47.95,48.49,47.66,48.45,3353400.0
2019-10-03,47.74,47.78,47.35,47.72,4837800.0
2019-10-02,48.05,48.11,47.53,47.62,4271000.0
2019-10-01,48.24,48.35,47.81,47.98,4677200.0
2019-09-30,48.59,48.8,48.22,48.31,3896000.0
2019-09-27,49.23,49.23,48.28,48.58,4642700.0
2019-09-26,49.05,49.32,48.77,49.18,3835800.0
2019-09-25,48.79,49.05,48.48,49.01,4519500.0
2019-09-24,48.54,49.02,48.47,48.8,4921900.0
2019-09-23,48.28,48.42,48.07,48.31,4742400.0
2019-09-20,48.02,48.59,47.96,48.45,10352000.0
2019-09-19,48.08,48.08,47.62,47.8,3650400.0
2019-09-18,47.52,48.02,47.48,47.94,3624500.0
2019-09-17,47.29,47.65,47.07,47.29,5617300.0
2019-09-16,47.27,47.4,46.97,47.38,4223100.0
2019-09-13,47.6,47.88,46.64,47.27,8184100.0
2019-09-12,49.0,49.09,47.87,47.88,7599700.0
2019-09-11,48.26,48.76,47.95,48.73,3625900.0
2019-09-10,47.93,48.47,47.85,48.35,6037000.0
2019-09-09,47.92,48.25,47.78,48.03,4996600.0
2019-09-06,48.57,48.77,47.96,48.12,4812700.0
2019-09-05,47.79,48.28,47.65,48.12,9220000.0
2019-09-04,48.19,48.24,47.65,48.0,5124500.0
2019-09-03,47.08,47.95,46.97,47.92,5705100.0
2019-08-30,46.97,47.47,46.76,47.26,5474400.0
2019-08-29,46.68,46.78,46.32,46.75,3595300.0
2019-08-28,46.17,46.52,46.03,46.43,5309200.0
2019-08-27,46.6,47.0,46.21,46.24,9734400.0
2019-08-26,45.03,45.69,44.89,45.68,3979400.0
2019-08-23,45.34,45.63,44.7,44.88,6978000.0
2019-08-22,45.44,45.69,45.21,45.52,3670500.0
2019-08-21,45.22,45.59,45.05,45.44,3780500.0
2019-08-20,45.38,45.39,44.9,45.21,6164800.0
2019-08-19,45.2,45.45,44.94,45.28,3984500.0
2019-08-16,44.82,45.18,44.32,45.13,5429100.0
2019-08-15,44.42,44.96,44.32,44.65,5173500.0
2019-08-14,45.07,45.16,44.25,44.48,5664000.0
2019-08-13,45.28,45.77,44.77,45.52,6680900.0
2019-08-12,45.21,45.48,44.83,45.2,6181900.0
2019-08-09,45.61,45.79,45.13,45.2,5661700.0
2019-08-08,44.98,45.46,44.73,45.42,5158500.0
2019-08-07,45.13,45.36,44.33,45.01,5055600.0
2019-08-06,44.54,45.38,44.22,45.21,7561600.0
2019-08-05,44.8129,45.31,44.31,44.42,9973900.0
2019-08-02,44.57,45.46,44.5,44.75,7878900.0
2019-08-01,44.04,45.15,43.69,44.4,7890400.0
2019-07-31,46.04,46.08,44.9,45.06,6978400.0
2019-07-30,46.06,46.44,45.87,46.05,4200500.0
2019-07-29,45.9,46.21,45.46,46.05,6875300.0
2019-07-26,46.24,46.48,45.81,45.82,5525900.0
2019-07-25,45.5,46.2686,45.2,46.13,8945700.0
2019-07-24,46.15,46.3,45.11,45.48,10354600.0
2019-07-23,47.2,47.26,46.23,46.36,7742100.0
2019-07-22,47.69,47.78,47.07,47.28,5328900.0
2019-07-19,48.62,48.72,47.53,47.57,6827000.0
2019-07-18,48.72,48.86,48.31,48.76,4691400.0
2019-07-17,48.65,48.86,48.44,48.6,3983400.0
2019-07-16,48.81,49.07,48.07,48.4,5742000.0
2019-07-15,49.01,49.21,48.6781,48.88,4945900.0
2019-07-12,49.6196,49.71,49.02,49.06,3981700.0
2019-07-11,49.42,49.57,49.0,49.54,4379900.0
2019-07-10,49.19,49.8,48.98,49.37,6124500.0
2019-07-09,48.77,49.08,48.4224,48.98,5700000.0
2019-07-08,49.15,49.26,48.58,48.77,6751800.0
2019-07-05,48.7,49.26,48.19,49.2,4583400.0
2019-07-03,48.88,49.21,48.71,49.03,3560800.0
2019-07-02,48.16,48.84,48.12,48.83,7305100.0
2019-07-01,47.97,48.14,47.5,48.05,4397000.0
2019-06-28,47.59,48.06,47.5,47.94,6728400.0
2019-06-27,47.98,48.07,47.38,47.56,6226100.0
2019-06-26,48.86,48.99,47.76,47.79,6191200.0
2019-06-25,50.02,50.1,49.0,49.04,5656000.0
2019-06-24,50.24,50.57,49.89,50.16,5140500.0
2019-06-21,50.17,50.46,49.8,50.4,8194800.0
2019-06-20,50.12,50.47,49.67,50.24,4882600.0
2019-06-19,49.66,50.18,49.32,50.0,6665600.0
2019-06-18,50.61,50.69,49.52,49.9,5449300.0
2019-06-17,50.77,50.86,50.24,50.45,3999100.0
2019-06-14,50.18,50.95,50.07,50.8,4110700.0
2019-06-13,50.53,50.67,49.82,50.17,3781700.0
2019-06-12,49.39,50.49,49.11,50.45,5176400.0
2019-06-11,49.44,49.69,48.9227,49.21,4177500.0
2019-06-10,49.96,49.96,49.25,49.57,3739100.0
2019-06-07,50.77,51.18,49.95,49.95,5780600.0
2019-06-06,49.73,50.36,49.62,50.23,4637400.0
