,open,high,low,close,volume
2019-10-25,8.67,8.75,8.62,8.72,50599921.0
2019-10-24,8.87,8.89,8.55,8.6,120395200.0
2019-10-23,9.01,9.21,8.97,9.21,44770400.0
2019-10-22,9.01,9.14,8.96,9.07,35878500.0
2019-10-21,9.19,9.24,9.01,9.03,33610200.0
2019-10-18,9.09,9.32,9.09,9.29,42422900.0
2019-10-17,9.12,9.14,9.03,9.11,28361200.0
2019-10-16,9.11,9.19,9.06,9.07,27190300.0
2019-10-15,8.84,9.1,8.78,9.07,29771700.0
2019-10-14,8.82,8.84,8.76,8.82,24794500.0
2019-10-11,8.73,8.87,8.73,8.78,34175700.0
2019-10-10,8.58,8.65,8.52,8.62,28069600.0
2019-10-09,8.61,8.64,8.56,8.56,16898500.0
2019-10-08,8.65,8.66,8.5,8.54,31091200.0
2019-10-07,8.7,8.79,8.61,8.68,29340400.0
2019-10-04,8.72,8.76,8.66,8.74,27827400.0
2019-10-03,8.55,8.71,8.45,8.71,40827900.0
2019-10-02,8.85,8.86,8.44,8.61,68137000.0
2019-10-01,9.19,9.24,8.87,8.9,39559500.0
2019-09-30,9.11,9.21,9.1,9.16,21510000.0
2019-09-27,9.14,9.6,9.06,9.08,32459500.0
2019-09-26,9.23,9.23,9.07,9.14,26556300.0
2019-09-25,9.1,9.23,9.09,9.2,20510300.0
2019-09-24,9.19,9.23,9.05,9.11,33092500.0
2019-09-23,9.13,9.23,9.08,9.16,22051100.0
2019-09-20,9.13,9.3,9.11,9.17,37491300.0
2019-09-19,9.31,9.33,9.1,9.1,28780700.0
2019-09-18,9.26,9.36,9.22,9.25,24309400.0
2019-09-17,9.27,9.31,9.18,9.28,27391200.0
2019-09-16,9.36,9.45,9.24,9.3,50052600.0
2019-09-13,9.47,9.59,9.44,9.45,27161300.0
2019-09-12,9.36,9.48,9.32,9.41,35687700.0
2019-09-11,9.29,9.43,9.29,9.42,34190300.0
2019-09-10,9.08,9.42,9.04,9.42,70567300.0
2019-09-09,9.39,9.65,9.39,9.54,48059400.0
2019-09-06,9.37,9.41,9.2,9.34,29210100.0
2019-09-05,9.25,9.4,9.25,9.34,36626800.0
2019-09-04,9.17,9.23,9.07,9.2,27406400.0
2019-09-03,9.18,9.2,9.04,9.1,26331000.0
2019-08-30,9.16,9.23,9.1,9.17,32057900.0
2019-08-29,9.1,9.14,9.03,9.12,22011000.0
2019-08-28,8.72,9.04,8.7,9.0,35147300.0
2019-08-27,8.89,8.91,8.75,8.76,23024400.0
2019-08-26,8.88,8.91,8.79,8.82,31888200.0
2019-08-23,8.9,8.99,8.73,8.77,44982300.0
2019-08-22,9.05,9.14,9.02,9.04,20974700.0
2019-08-21,9.02,9.05,8.97,9.04,20434800.0
2019-08-20,9.0,9.07,8.93,8.96,25108600.0
2019-08-19,9.05,9.1,9.02,9.03,21844000.0
2019-08-16,8.92,9.06,8.78,8.96,27369900.0
2019-08-15,9.06,9.0602,8.78,8.86,40682800.0
2019-08-14,9.13,9.15,8.9592,9.0,45967400.0
2019-08-13,9.29,9.42,9.18,9.26,28231500.0
2019-08-12,9.39,9.43,9.28,9.29,23050400.0
2019-08-09,9.5398,9.58,9.39,9.45,38739700.0
2019-08-08,9.56,9.6197,9.505,9.56,25469000.0
2019-08-07,9.43,9.56,9.32,9.53,43042400.0
2019-08-06,9.42,9.51,9.36,9.48,51856100.0
2019-08-05,9.18,9.27,9.06,9.23,47963400.0
2019-08-02,9.26,9.34,9.21,9.28,41495200.0
2019-08-01,9.53,9.59,9.28,9.31,58060800.0
2019-07-31,9.57,9.58,9.4006,9.53,56715500.0
2019-07-30,9.56,9.58,9.48,9.55,36944700.0
2019-07-29,9.6,9.68,9.52,9.6,36487800.0
2019-07-26,9.58,9.65,9.51,9.57,47710200.0
2019-07-25,9.75,9.78,9.4,9.56,133898600.0
2019-07-24,10.18,10.35,10.14,10.33,61107500.0
2019-07-23,10.13,10.22,10.06,10.17,74624800.0
2019-07-22,10.13,10.169,10.0,10.02,36238600.0
2019-07-19,10.3,10.32,10.2,10.2,38505600.0
2019-07-18,10.3,10.31,10.18,10.26,25810600.0
2019-07-17,10.48,10.5,10.31,10.33,25204400.0
2019-07-16,10.37,10.51,10.29,10.51,29530500.0
2019-07-15,10.49,10.56,10.34,10.42,33753500.0
2019-07-12,10.24,10.5,10.24,10.49,40761600.0
2019-07-11,10.15,10.2002,10.11,10.19,27667500.0
2019-07-10,10.19,10.26,10.11,10.11,29082200.0
2019-07-09,10.17,10.19,10.1,10.14,25140600.0
2019-07-08,10.2,10.26,10.18,10.2,23244100.0
2019-07-05,10.18,10.27,10.0896,10.2,21397900.0
2019-07-03,10.18,10.3,10.13,10.2,19326600.0
2019-07-02,10.15,10.21,10.04,10.12,29708000.0
2019-07-01,10.34,10.43,10.07,10.15,38452600.0
2019-06-28,10.2,10.31,10.2,10.23,37551600.0
2019-06-27,10.0396,10.24,10.0,10.2,42954600.0
2019-06-26,9.87,9.959,9.82,9.91,33739100.0
2019-06-25,9.97,9.99,9.83,9.84,28682000.0
2019-06-24,9.95,10.02,9.93,9.95,28091200.0
2019-06-21,10.03,10.05,9.91,9.99,47904000.0
2019-06-20,10.13,10.15,9.95,10.04,32086500.0
2019-06-19,10.15,10.18,10.03,10.04,29051300.0
2019-06-18,10.08,10.2,10.048,10.1,32591700.0
2019-06-17,9.99,10.09,9.94,10.05,19383800.0
2019-06-14,10.01,10.04,9.9411,9.98,21553200.0
2019-06-13,9.87,10.06,9.8,10.06,25555900.0
2019-06-12,9.9,9.93,9.84,9.85,21746700.0
2019-06-11,9.87,9.98,9.79,9.92,26434200.0
2019-06-10,9.89,10.03,9.76,9.82,33883400.0
2019-06-07,9.76,9.82,9.7,9.76,18848700.0
2019-06-06,9.72,9.82,9.66,9.75,28291100.0
