,open,high,low,close,volume
2019-10-25,28.62,29.25,28.49,29.05,8917909.0
2019-10-24,28.28,28.42,27.93,28.19,3222700.0
2019-10-23,28.11,28.38,27.98,28.27,4557900.0
2019-10-22,27.83,28.64,26.93,28.3,8416600.0
2019-10-21,27.57,28.04,27.57,28.02,6067100.0
2019-10-18,27.19,27.51,27.06,27.33,6307300.0
2019-10-17,27.35,27.42,26.95,27.08,5085900.0
2019-10-16,27.28,27.58,27.1,27.17,3897500.0
2019-10-15,27.1,27.57,26.9,27.38,3990400.0
2019-10-14,26.58,27.07,26.57,26.99,3674600.0
2019-10-11,26.99,27.14,26.77,26.85,5213500.0
2019-10-10,25.89,26.35,25.78,26.18,4585000.0
2019-10-09,25.74,25.79,25.57,25.66,4037800.0
2019-10-08,25.81,25.92,25.42,25.45,5921100.0
2019-10-07,26.49,26.62,26.26,26.29,3188100.0
2019-10-04,26.15,26.52,25.84,26.5,4576500.0
2019-10-03,25.86,26.1,25.46,26.08,4812800.0
2019-10-02,26.29,26.36,25.82,25.94,4184300.0
2019-10-01,27.52,27.66,26.46,26.47,4449800.0
2019-09-30,27.58,27.64,27.31,27.38,3654800.0
2019-09-27,27.4,27.71,27.13,27.48,4831500.0
2019-09-26,27.52,27.63,27.26,27.39,5249100.0
2019-09-25,27.39,27.8,27.32,27.66,3293000.0
2019-09-24,27.73,27.88,27.32,27.45,5499500.0
2019-09-23,27.58,27.83,27.43,27.72,4794000.0
2019-09-20,28.12,28.15,27.78,27.83,8049600.0
2019-09-19,28.23,28.44,27.93,27.95,4468700.0
2019-09-18,27.99,28.45,27.85,28.29,4088000.0
2019-09-17,28.36,28.49,27.89,28.18,5711200.0
2019-09-16,27.96,28.54,27.92,28.51,4594500.0
2019-09-13,28.32,28.66,28.18,28.38,4536400.0
2019-09-12,27.59,28.11,27.28,28.03,5386800.0
2019-09-11,27.84,27.97,27.39,27.79,6311300.0
2019-09-10,27.6,28.12,27.48,27.92,6290700.0
2019-09-09,26.95,27.65,26.89,27.53,6194200.0
2019-09-06,26.91,26.96,26.58,26.76,5535000.0
2019-09-05,26.5,27.01,26.27,26.75,5282200.0
2019-09-04,26.03,26.09,25.68,25.95,5370200.0
2019-09-03,26.18,26.25,25.46,25.74,5528500.0
2019-08-30,26.58,26.79,26.37,26.45,4240600.0
2019-08-29,25.99,26.4,25.99,26.31,4482900.0
2019-08-28,25.21,25.93,25.13,25.77,5012700.0
2019-08-27,25.51,25.56,25.08,25.3,8431200.0
2019-08-26,25.34,25.41,25.06,25.41,3490700.0
2019-08-23,25.59,25.83,24.97,25.08,8413500.0
2019-08-22,25.74,25.88,25.5,25.78,4685800.0
2019-08-21,25.52,25.71,25.39,25.55,4808800.0
2019-08-20,25.67,25.8,25.36,25.41,4525300.0
2019-08-19,26.12,26.23,25.91,25.92,3345100.0
2019-08-16,25.39,25.89,25.36,25.67,5220500.0
2019-08-15,25.59,25.75,25.07,25.22,5107700.0
2019-08-14,25.7,25.83,25.405,25.51,9994800.0
2019-08-13,26.03,26.65,25.83,26.44,5811500.0
2019-08-12,26.3585,26.54,26.04,26.08,5161900.0
2019-08-09,26.71,26.925,26.405,26.74,3661900.0
