,open,high,low,close,volume
2019-10-25,43.73,45.0,43.41,44.34,1107335.0
2019-10-24,45.15,45.26,43.81,44.12,1669200.0
2019-10-23,45.05,45.32,44.4,45.02,1699200.0
2019-10-22,45.0,45.19,43.93,44.96,1879900.0
2019-10-21,44.97,45.45,44.49,45.17,2156600.0
2019-10-18,43.71,44.5,43.12,44.4,2533300.0
2019-10-17,43.95,44.77,43.23,44.18,3147800.0
2019-10-16,44.02,44.47,43.46,44.02,1679500.0
2019-10-15,43.19,44.23,43.14,43.96,2311600.0
2019-10-14,43.0,43.15,42.3,42.89,1825900.0
2019-10-11,42.59,43.31,42.47,42.96,1839500.0
2019-10-10,41.6,42.3,41.54,41.99,1540100.0
2019-10-09,41.23,41.68,40.72,41.47,1557000.0
2019-10-08,40.76,41.4,40.14,40.85,1451600.0
2019-10-07,41.37,41.74,41.1,41.43,1210600.0
2019-10-04,41.52,41.85,40.86,41.62,1406900.0
2019-10-03,41.3,41.63,40.04,41.45,1624300.0
2019-10-02,41.77,42.04,40.98,41.38,2516600.0
2019-10-01,43.3,43.86,41.77,41.91,2224000.0
2019-09-30,42.2,43.22,42.11,43.16,2628100.0
2019-09-27,41.32,42.32,41.04,42.01,2562000.0
2019-09-26,40.84,41.32,39.97,41.25,2590900.0
2019-09-25,40.25,41.51,40.09,40.91,2866200.0
2019-09-24,40.49,40.94,39.63,39.79,2424600.0
2019-09-23,39.67,40.49,39.6,40.28,2398300.0
2019-09-20,40.94,41.52,39.78,39.78,3907200.0
2019-09-19,40.6,40.82,40.27,40.71,1783800.0
2019-09-18,40.2,40.54,39.84,40.47,1613700.0
2019-09-17,40.05,40.44,39.41,40.24,1845400.0
2019-09-16,40.1,40.69,39.82,40.01,2261200.0
2019-09-13,41.26,41.35,40.08,40.31,2995700.0
2019-09-12,41.03,41.52,40.09,40.52,2764100.0
2019-09-11,42.1,42.28,40.9,41.36,2626400.0
2019-09-10,41.05,42.49,41.0,42.23,3658700.0
2019-09-09,39.48,41.15,39.36,40.96,3875700.0
2019-09-06,40.37,40.85,39.3,39.4,3523600.0
2019-09-05,38.83,40.4,38.81,40.19,3928000.0
2019-09-04,36.91,38.57,36.79,38.4,4170500.0
2019-09-03,35.9,36.61,34.79,36.51,4395300.0
2019-08-30,36.09,36.99,35.97,36.19,3663500.0
2019-08-29,36.14,36.46,35.76,35.84,4282800.0
2019-08-28,35.09,35.95,34.75,35.73,3065900.0
2019-08-27,36.0,36.0,35.13,35.32,3592300.0
2019-08-26,33.86,35.71,33.12,35.69,8357800.0
2019-08-23,37.01,38.15,33.74,34.0,23540000.0
2019-08-22,40.46,42.06,40.1,41.93,5184800.0
2019-08-21,39.74,40.26,39.42,39.76,2674600.0
2019-08-20,39.35,39.72,39.06,39.21,2568500.0
2019-08-19,39.3,40.15,39.3,39.57,3842000.0
2019-08-16,37.33,39.09,36.82,38.8,2795700.0
