,open,high,low,close,volume
2019-10-25,19.48,20.01,19.35,19.84,1760970.0
2019-10-24,19.7,19.83,19.16,19.5,1624400.0
2019-10-23,19.75,19.86,19.31,19.69,2570700.0
2019-10-22,19.54,19.9,18.98,19.8,1268300.0
2019-10-21,19.3,19.92,19.1,19.52,1492500.0
2019-10-18,19.09,19.35,18.86,19.06,1749000.0
2019-10-17,19.12,19.31,18.95,19.25,1502700.0
2019-10-16,18.97,19.51,18.88,19.0,1291100.0
2019-10-15,19.0,19.45,18.72,19.16,1603500.0
2019-10-14,18.75,18.89,18.16,18.88,2596100.0
2019-10-11,18.33,19.36,18.33,18.86,2472000.0
2019-10-10,17.79,18.33,17.69,17.92,1649100.0
2019-10-09,17.76,17.84,17.47,17.67,1343900.0
2019-10-08,17.87,17.87,17.25,17.52,1717100.0
2019-10-07,18.32,18.58,18.07,18.18,1240200.0
2019-10-04,18.08,18.38,17.96,18.32,1516100.0
2019-10-03,17.67,18.13,17.45,18.04,1801700.0
2019-10-02,17.9,18.2,17.45,17.8,1681700.0
2019-10-01,19.27,19.55,18.02,18.2,2099800.0
2019-09-30,18.59,19.21,18.45,19.13,2115600.0
2019-09-27,18.29,18.75,18.21,18.56,2192600.0
2019-09-26,18.92,18.92,18.24,18.29,1555400.0
2019-09-25,18.84,19.38,18.4,19.18,2382000.0
2019-09-24,20.7,20.76,18.33,18.95,4647000.0
2019-09-23,19.71,20.88,19.49,20.7,2072500.0
2019-09-20,20.99,21.08,19.33,20.15,4371400.0
2019-09-19,20.94,21.35,20.76,20.91,1584400.0
2019-09-18,21.2,21.6,20.7,20.83,1976200.0
2019-09-17,21.61,21.9,21.1,21.53,2278600.0
2019-09-16,21.61,22.14,20.9,21.91,2268100.0
2019-09-13,22.2,22.49,20.89,20.96,4820700.0
2019-09-12,21.23,21.97,20.41,21.83,2999700.0
2019-09-11,20.78,21.29,20.05,21.21,2064300.0
2019-09-10,20.53,20.85,20.19,20.75,2333800.0
2019-09-09,19.58,20.51,19.47,20.44,2979000.0
2019-09-06,19.51,19.7,19.24,19.34,2109800.0
2019-09-05,19.14,19.84,19.06,19.64,3057600.0
2019-09-04,17.99,18.97,17.97,18.86,2958800.0
2019-09-03,17.31,17.77,17.01,17.68,3002200.0
2019-08-30,17.58,17.92,17.4,17.67,2698700.0
2019-08-29,17.0,17.63,16.95,17.3,2115500.0
2019-08-28,16.29,17.13,16.26,16.84,2060400.0
2019-08-27,17.1,17.15,16.25,16.35,3757000.0
2019-08-26,17.29,17.37,16.84,16.92,1955300.0
2019-08-23,17.43,17.7,16.98,17.07,2886700.0
2019-08-22,17.5,18.02,17.48,17.65,3121600.0
2019-08-21,17.26,17.58,17.14,17.35,2436300.0
2019-08-20,17.42,17.49,16.54,17.05,2461500.0
2019-08-19,17.74,17.97,16.52,17.47,3574200.0
2019-08-16,16.8803,17.73,16.52,17.38,5846300.0
2019-08-15,17.59,17.73,16.52,16.8,4668900.0
2019-08-14,17.9998,18.2,16.97,17.55,3752000.0
2019-08-13,18.3,18.98,18.032,18.4,3929500.0
2019-08-12,19.17,19.26,18.24,18.33,1970600.0
2019-08-09,20.0,20.08,19.1778,19.41,2567500.0
2019-08-08,20.32,20.549,19.8,20.02,4852900.0
2019-08-07,20.35,20.47,19.79,20.14,6340200.0
2019-08-06,21.38,21.89,20.07,20.75,6925800.0
2019-08-05,22.2109,22.4,21.07,21.09,5571500.0
2019-08-02,26.74,27.7779,22.1,22.67,10348700.0
2019-08-01,32.4,32.51,30.34,30.91,2332100.0
2019-07-31,32.95,33.6685,32.25,32.51,1719400.0
2019-07-30,32.19,33.04,31.05,33.02,1706400.0
2019-07-29,32.95,33.22,32.66,32.74,1109000.0
2019-07-26,32.82,33.09,32.57,32.95,1125200.0
2019-07-25,33.28,33.45,32.78,32.87,882500.0
2019-07-24,32.3,33.23,32.3,33.18,1190300.0
2019-07-23,32.12,32.57,32.06,32.54,1047400.0
2019-07-22,31.6171,32.36,31.62,31.81,1240200.0
2019-07-19,31.18,32.05,30.99,31.69,1149500.0
2019-07-18,31.93,31.93,30.7886,30.94,1604800.0
2019-07-17,32.85,32.85,32.11,32.12,984600.0
2019-07-16,33.1,33.49,32.85,32.89,1079300.0
2019-07-15,32.96,33.15,32.39,33.12,2177600.0
2019-07-12,31.99,32.99,31.88,32.88,872000.0
2019-07-11,32.0502,32.1,31.51,31.92,630700.0
2019-07-10,31.86,32.1,31.5416,31.89,876300.0
2019-07-09,31.48,31.68,31.28,31.6,825200.0
2019-07-08,32.11,32.47,31.5985,31.71,860700.0
2019-07-05,31.98,32.39,31.85,32.37,754300.0
2019-07-03,32.31,32.32,31.78,32.25,638100.0
2019-07-02,33.1,33.225,32.05,32.07,1554000.0
2019-07-01,34.28,34.4294,33.04,33.33,1525300.0
2019-06-28,33.07,33.73,32.81,33.69,2472900.0
2019-06-27,32.5,33.07,32.49,32.96,2203000.0
2019-06-26,32.01,32.73,31.98,32.4,2928900.0
2019-06-25,31.09,31.9,31.0935,31.7,1988800.0
2019-06-24,31.99,32.25,31.045,31.11,1736000.0
2019-06-21,31.25,32.27,30.8892,32.06,2948000.0
2019-06-20,31.439,31.76,31.135,31.55,1005200.0
2019-06-19,31.24,31.44,30.57,30.86,1300300.0
2019-06-18,30.17,31.11,30.0,31.09,1824600.0
2019-06-17,29.35,30.26,29.16,29.92,2526600.0
