,open,high,low,close,volume
2019-10-25,47.98,48.75,47.68,48.69,515984.0
2019-10-24,48.64,48.8,47.25,47.78,665500.0
2019-10-23,47.95,48.59,47.6,48.4,572600.0
2019-10-22,47.5,48.38,46.75,47.92,486500.0
2019-10-21,46.96,47.48,46.37,47.39,593900.0
2019-10-18,46.19,46.65,45.87,46.56,732100.0
2019-10-17,45.85,46.39,45.48,46.26,496500.0
2019-10-16,45.75,46.33,45.27,45.33,703600.0
2019-10-15,44.73,46.11,44.65,45.83,398400.0
2019-10-14,45.07,45.24,44.55,44.88,340200.0
2019-10-11,44.56,46.42,44.47,45.47,603900.0
2019-10-10,43.1,44.01,43.1,43.63,422600.0
2019-10-09,42.84,43.32,42.58,43.09,386600.0
2019-10-08,43.41,43.41,42.44,42.5,749800.0
2019-10-07,44.3,44.62,43.75,44.17,634700.0
2019-10-04,43.81,44.6,43.57,44.51,565200.0
2019-10-03,43.51,43.98,42.18,43.88,3038800.0
2019-10-02,44.74,44.99,43.56,43.76,947100.0
2019-10-01,47.09,47.74,45.44,45.7,1236700.0
2019-09-30,46.87,47.07,46.65,46.71,901800.0
2019-09-27,46.46,46.97,46.28,46.84,509000.0
2019-09-26,46.95,46.95,46.03,46.25,836800.0
2019-09-25,46.3,47.26,46.05,47.1,760600.0
2019-09-24,47.41,47.66,46.18,46.34,1250000.0
2019-09-23,46.97,47.48,45.99,47.4,1152400.0
2019-09-20,47.81,48.08,47.38,47.42,1309700.0
2019-09-19,48.05,48.43,47.49,47.66,1081700.0
2019-09-18,48.77,49.01,47.34,48.24,1720100.0
2019-09-17,49.01,49.63,48.49,49.21,893100.0
2019-09-16,49.53,49.72,49.12,49.5,1202000.0
2019-09-13,48.01,48.79,47.8,48.54,1058500.0
2019-09-12,47.83,48.2,47.1,47.53,780500.0
2019-09-11,47.32,48.06,46.42,48.01,601300.0
2019-09-10,45.92,47.19,45.47,47.18,757800.0
2019-09-09,44.34,45.93,44.2,45.79,789100.0
2019-09-06,43.9,44.08,43.34,44.02,855500.0
2019-09-05,42.48,44.29,42.27,43.89,1233900.0
2019-09-04,42.15,42.53,41.91,41.99,871200.0
2019-09-03,42.0,42.0,41.04,41.53,1247800.0
2019-08-30,42.51,42.97,42.26,42.68,656500.0
2019-08-29,41.49,42.29,41.41,42.12,756200.0
2019-08-28,40.08,41.05,39.75,40.84,511400.0
2019-08-27,41.6,41.6,40.12,40.22,972900.0
2019-08-26,40.79,41.32,40.34,41.29,1994200.0
2019-08-23,41.29,41.5,40.01,40.39,1817900.0
2019-08-22,42.19,42.43,41.63,41.8,651500.0
2019-08-21,42.44,42.51,41.93,42.04,471600.0
2019-08-20,42.52,42.52,41.69,41.89,977800.0
2019-08-19,43.16,43.29,42.54,42.68,995600.0
2019-08-16,42.05,42.47,41.4,42.37,977100.0
2019-08-15,42.12,42.19,41.4,41.66,1469400.0
2019-08-14,42.41,42.71,41.63,41.96,1651400.0
2019-08-13,42.36,44.12,42.03,43.37,1365700.0
2019-08-12,43.4599,43.85,42.3,42.5,1411900.0
2019-08-09,44.85,45.1,43.44,43.8,1240900.0
2019-08-08,44.73,45.23,44.73,45.13,1044900.0
2019-08-07,44.61,44.99,43.995,44.52,1656100.0
2019-08-06,44.98,45.6303,44.6,45.5,1592600.0
2019-08-05,44.08,45.25,43.97,44.62,2110300.0
2019-08-02,45.28,45.53,44.62,45.21,1553600.0
2019-08-01,48.53,49.38,45.32,45.41,2853800.0
