,open,high,low,close,volume
2019-10-25,32.39,32.775,32.32,32.41,3904148.0
2019-10-24,33.18,33.39,31.79,32.3,9056900.0
2019-10-23,33.33,33.67,33.15,33.24,7061400.0
2019-10-22,32.73,33.565,32.55,33.45,5518000.0
2019-10-21,32.36,32.81,32.2,32.74,5158700.0
2019-10-18,32.04,32.57,31.96,32.21,8890300.0
2019-10-17,32.1,32.14,31.54,31.98,9068100.0
2019-10-16,31.61,32.01,31.545,31.99,4383300.0
2019-10-15,31.33,31.805,31.15,31.7,3758800.0
2019-10-14,31.27,31.43,31.04,31.39,2998500.0
2019-10-11,30.99,31.755,30.76,31.46,4444200.0
2019-10-10,30.24,30.55,30.05,30.52,3493600.0
2019-10-09,30.36,30.45,29.96,30.23,3537100.0
2019-10-08,30.27,30.28,29.695,30.055,3829600.0
2019-10-07,30.75,31.14,30.58,30.6,4854600.0
2019-10-04,30.6,30.81,30.37,30.57,2858300.0
2019-10-03,30.34,30.55,29.705,30.46,7168800.0
2019-10-02,31.17,31.29,30.365,30.42,4879800.0
2019-10-01,31.73,32.07,31.2,31.24,2703400.0
2019-09-30,31.63,31.87,31.35,31.535,3152800.0
2019-09-27,31.65,31.72,31.15,31.44,4252800.0
2019-09-26,32.18,32.19,31.39,31.45,5960000.0
2019-09-25,31.61,32.18,31.56,32.01,4376500.0
2019-09-24,32.28,32.445,31.475,31.59,5844900.0
2019-09-23,32.37,32.49,31.995,32.27,3485400.0
2019-09-20,31.99,32.425,31.72,32.27,8111700.0
2019-09-19,32.48,32.78,31.96,32.04,4889000.0
2019-09-18,32.88,32.96,32.13,32.64,5590600.0
2019-09-17,33.59,33.59,32.79,32.86,6701300.0
2019-09-16,33.68,33.83,33.47,33.6,2175600.0
2019-09-13,33.96,34.21,33.51,33.83,4606100.0
2019-09-12,34.19,34.19,33.67,33.79,4290500.0
2019-09-11,34.28,34.43,33.8,34.0,3287100.0
2019-09-10,33.85,34.72,33.85,34.3,3198100.0
2019-09-09,33.39,34.34,33.39,34.3,2659800.0
2019-09-06,34.32,34.74,34.06,34.23,2514600.0
2019-09-05,33.64,34.405,33.56,34.25,3946900.0
2019-09-04,32.99,33.61,32.9,33.56,2280900.0
2019-09-03,32.66,33.11,32.54,32.77,2090800.0
2019-08-30,33.72,33.72,32.79,33.17,2924600.0
2019-08-29,32.0,33.125,31.88,32.74,3687100.0
2019-08-28,32.05,32.28,31.62,31.79,3567200.0
2019-08-27,32.22,32.38,31.92,31.93,3449400.0
2019-08-26,31.84,32.14,31.58,32.08,3235600.0
2019-08-23,32.93,33.085,31.63,31.75,3866200.0
2019-08-22,33.38,33.54,32.95,33.05,3725400.0
2019-08-21,33.64,33.725,33.01,33.41,3050400.0
2019-08-20,33.83,34.05,33.52,33.59,2810700.0
2019-08-19,33.32,34.025,33.29,33.87,3915100.0
2019-08-16,33.0,33.3,32.67,32.99,3230900.0
2019-08-15,33.88,34.09,32.725,32.75,7037700.0
2019-08-14,34.7,34.735,33.385,33.69,7489800.0
2019-08-13,34.84,35.59,34.8,35.06,2940800.0
2019-08-12,35.04,35.32,34.7,34.95,4172900.0
2019-08-09,35.11,35.65,34.98,35.4,4234400.0
2019-08-08,37.22,37.2527,35.0,35.13,9539900.0
2019-08-07,35.89,37.15,35.8,37.04,4657400.0
2019-08-06,36.16,36.6,35.93,36.45,3366700.0
2019-08-05,36.47,36.56,35.77,36.05,4517200.0
2019-08-02,36.73,36.96,36.33,36.63,2419000.0
2019-08-01,37.25,37.49,36.725,36.89,3280700.0
2019-07-31,37.67,37.692,36.81,37.32,5280600.0
2019-07-30,37.35,37.98,37.32,37.82,2971800.0
2019-07-29,37.16,37.5686,37.07,37.51,2130600.0
2019-07-26,37.29,37.8,37.077,37.21,2669100.0
2019-07-25,36.63,37.34,36.63,37.17,3251600.0
2019-07-24,36.13,36.86,36.13,36.6,5980600.0
2019-07-23,36.19,36.39,35.84,36.22,5573600.0
2019-07-22,36.51,36.61,36.06,36.1,7865700.0
2019-07-19,36.7,36.74,36.14,36.43,4402000.0
2019-07-18,36.17,36.72,35.96,36.55,5286800.0
2019-07-17,36.73,36.76,36.11,36.17,5740500.0
2019-07-16,36.93,37.11,36.63,36.69,2721500.0
2019-07-15,37.03,37.16,36.64,37.01,2861600.0
2019-07-12,36.4597,37.04,36.1,36.96,2755700.0
2019-07-11,36.17,36.35,35.85,36.29,2987000.0
2019-07-10,36.19,36.4279,36.075,36.14,2400700.0
2019-07-09,36.03,36.27,35.82,36.02,2379600.0
2019-07-08,36.53,36.675,36.08,36.13,1644600.0
2019-07-05,36.24,36.8,36.075,36.6,1982000.0
2019-07-03,36.6016,36.82,36.27,36.35,3160300.0
2019-07-02,36.01,36.62,35.92,36.59,3599500.0
2019-07-01,36.46,36.99,35.74,35.92,6396600.0
2019-06-28,35.98,36.76,35.81,36.64,10930000.0
2019-06-27,35.5301,36.33,35.2,35.99,5083900.0
2019-06-26,35.79,36.1,35.33,35.47,4297300.0
2019-06-25,35.78,35.86,35.14,35.34,7204300.0
2019-06-24,36.01,36.07,35.605,35.8,5280100.0
2019-06-21,35.61,37.295,35.31,36.18,11402200.0
2019-06-20,36.38,36.475,35.56,35.58,5916500.0
