,open,high,low,close,volume
2019-10-25,139.16,139.28,138.27,139.04,231804.0
2019-10-24,140.21,140.21,138.68,139.52,291300.0
2019-10-23,140.65,141.35,138.85,140.05,323400.0
2019-10-22,139.65,140.56,139.29,140.46,377800.0
2019-10-21,138.05,139.74,137.85,139.72,335800.0
2019-10-18,137.46,138.77,137.21,138.04,372900.0
2019-10-17,137.47,138.08,137.17,137.75,406900.0
2019-10-16,136.18,137.25,135.58,137.19,327500.0
2019-10-15,135.47,136.52,135.02,136.47,509200.0
2019-10-14,136.16,136.16,134.74,135.99,235000.0
2019-10-11,134.64,137.02,134.42,136.2,410300.0
2019-10-10,134.93,135.45,134.34,134.43,380800.0
2019-10-09,135.65,135.93,134.65,134.8,434800.0
2019-10-08,135.46,136.2,134.23,134.96,505800.0
2019-10-07,135.6,136.42,135.14,135.85,227300.0
2019-10-04,135.16,135.96,134.97,135.93,288700.0
2019-10-03,134.89,136.66,134.3,135.25,345300.0
2019-10-02,135.59,136.48,134.67,135.4,600400.0
2019-10-01,136.08,136.61,133.94,135.7,409800.0
2019-09-30,136.33,137.12,135.87,136.14,367800.0
2019-09-27,136.18,136.79,135.41,136.56,459800.0
2019-09-26,134.88,136.61,134.63,136.13,306500.0
2019-09-25,134.41,135.34,134.07,134.45,469100.0
2019-09-24,134.82,135.03,133.96,134.68,548700.0
2019-09-23,133.42,135.58,132.98,134.61,398700.0
2019-09-20,134.67,134.95,133.74,134.25,1755400.0
2019-09-19,135.9,136.24,135.02,135.27,356700.0
2019-09-18,136.07,136.07,134.26,135.45,408500.0
2019-09-17,134.91,135.66,134.29,135.66,336600.0
2019-09-16,135.19,135.19,133.74,134.62,330700.0
2019-09-13,136.57,137.14,134.15,135.05,756800.0
2019-09-12,136.9,136.9,135.02,135.76,393200.0
2019-09-11,135.8,136.67,134.56,136.08,410200.0
2019-09-10,134.56,136.18,134.07,136.18,482000.0
2019-09-09,134.12,134.97,131.62,134.93,580800.0
2019-09-06,133.81,134.74,133.37,134.23,690800.0
2019-09-05,133.04,133.51,132.28,133.41,310500.0
2019-09-04,132.17,133.22,131.93,133.0,498400.0
2019-09-03,128.98,131.72,128.86,131.65,591400.0
2019-08-30,129.88,129.96,128.98,129.21,315200.0
2019-08-29,128.73,130.0,128.51,129.51,325100.0
2019-08-28,126.84,128.26,126.84,128.06,281200.0
2019-08-27,129.33,129.78,126.96,126.97,293500.0
2019-08-26,129.83,130.03,127.52,128.78,317800.0
2019-08-23,130.58,131.65,128.28,128.69,360400.0
2019-08-22,131.13,131.71,129.81,130.68,243800.0
2019-08-21,130.96,131.21,130.06,130.93,325400.0
2019-08-20,131.7,131.7,130.31,130.56,278500.0
2019-08-19,131.4,131.56,130.58,131.35,376300.0
2019-08-16,130.25,131.7445,129.6,130.65,649700.0
2019-08-15,130.11,131.75,129.6,130.01,426700.0
2019-08-14,132.27,133.07,129.512,129.6,418600.0
2019-08-13,132.83,133.585,132.31,132.94,350700.0
2019-08-12,132.2,132.99,131.63,132.6,408400.0
2019-08-09,131.26,132.53,130.94,132.19,415600.0
2019-08-08,129.41,131.51,128.36,131.48,369600.0
2019-08-07,128.25,130.5811,126.992,129.12,502200.0
2019-08-06,127.52,129.17,127.41,128.74,605900.0
2019-08-05,131.61,131.86,126.29,127.28,598600.0
2019-08-02,133.55,134.11,131.25,132.28,569900.0
2019-08-01,131.71,132.18,130.23,130.59,356700.0
2019-07-31,131.37,133.05,131.15,132.01,721600.0
2019-07-30,131.76,132.9,130.92,131.48,255300.0
2019-07-29,131.1561,132.44,131.16,131.95,220800.0
2019-07-26,130.08,131.25,129.42,130.78,212400.0
2019-07-25,130.62,130.68,129.56,130.1,238700.0
2019-07-24,130.44,130.7023,129.34,130.64,440800.0
2019-07-23,127.57,130.04,127.26,130.02,266100.0
2019-07-22,128.0005,128.22,126.71,127.34,298900.0
2019-07-19,130.46,130.57,127.78,127.87,282300.0
2019-07-18,130.08,130.73,128.9,130.32,220500.0
2019-07-17,131.37,131.71,129.5408,130.51,265800.0
2019-07-16,131.35,131.39,130.22,131.04,419600.0
2019-07-15,131.76,132.3767,130.92,131.71,255400.0
2019-07-12,131.71,132.32,131.18,131.35,206700.0
2019-07-11,133.24,133.2394,130.87,131.71,359400.0
2019-07-10,132.94,133.56,131.97,133.37,321900.0
2019-07-09,131.72,132.85,130.88,132.69,343600.0
2019-07-08,130.91,131.85,130.89,131.75,265600.0
2019-07-05,130.9335,131.445,128.95,130.93,226700.0
2019-07-03,130.3614,131.83,130.21,131.8,191100.0
2019-07-02,128.41,130.03,128.0045,130.0,275400.0
2019-07-01,129.53,129.53,126.11,128.07,354800.0
2019-06-28,128.5,129.39,128.04,128.76,748700.0
2019-06-27,126.75,128.55,126.75,128.52,393300.0
2019-06-26,131.32,131.78,126.285,126.5,761600.0
2019-06-25,132.84,133.71,131.23,131.31,329400.0
2019-06-24,134.15,134.15,131.95,132.6,398700.0
2019-06-21,134.04,134.04,131.36,133.82,1003400.0
2019-06-20,134.29,135.11,133.66,134.37,356300.0
2019-06-19,134.15,135.75,133.47,135.39,399600.0
2019-06-18,135.8,136.22,133.8,134.5,339900.0
2019-06-17,134.19,135.22,134.19,134.9,317200.0
2019-06-14,133.0,133.65,132.78,133.14,357000.0
2019-06-13,131.52,132.97,131.45,132.76,254300.0
2019-06-12,130.68,131.79,130.14,131.29,479200.0
2019-06-11,131.37,131.685,130.03,130.82,308100.0
2019-06-10,131.58,131.69,130.365,131.14,341900.0
2019-06-07,132.97,133.32,131.9,131.9,240300.0
2019-06-06,133.1,133.3,131.33,132.22,280900.0
