,open,high,low,close,volume
2019-10-25,8.92,9.09,8.92,9.0,33737059.0
2019-10-24,9.12,9.15,8.88,8.95,34131700.0
2019-10-23,8.98,9.15,8.93,9.14,47584900.0
2019-10-22,8.77,9.06,8.61,9.06,57115100.0
2019-10-21,8.99,9.12,8.76,8.79,60584800.0
2019-10-18,9.01,9.1,8.95,8.96,39012900.0
2019-10-17,8.92,9.09,8.88,9.04,32661000.0
2019-10-16,8.86,9.07,8.84,8.9,57841500.0
2019-10-15,8.74,8.92,8.61,8.89,38834300.0
2019-10-14,8.84,8.85,8.64,8.72,34052700.0
2019-10-11,8.59,8.92,8.58,8.8,55835000.0
2019-10-10,8.34,8.52,8.31,8.45,30546100.0
2019-10-09,8.31,8.37,8.24,8.35,32840800.0
2019-10-08,8.48,8.5,8.27,8.28,45502400.0
2019-10-07,8.55,8.65,8.48,8.56,32170400.0
2019-10-04,8.61,8.7,8.54,8.57,52272800.0
2019-10-03,8.5,8.71,8.25,8.71,58626600.0
2019-10-02,8.56,8.62,8.41,8.51,47520800.0
2019-10-01,8.96,9.04,8.51,8.61,68778600.0
2019-09-30,9.08,9.1,8.94,8.94,35091400.0
2019-09-27,9.04,9.17,8.99,9.04,30511000.0
2019-09-26,9.18,9.21,8.96,9.02,37229800.0
2019-09-25,8.96,9.2,8.94,9.16,43859400.0
2019-09-24,9.31,9.35,8.96,8.97,53343000.0
2019-09-23,9.22,9.39,9.2,9.34,33511100.0
2019-09-20,9.46,9.54,9.34,9.37,57530400.0
2019-09-19,9.35,9.5,9.34,9.42,33935300.0
2019-09-18,9.31,9.39,9.18,9.38,40270700.0
2019-09-17,9.3,9.39,9.25,9.36,37954000.0
2019-09-16,9.3,9.42,9.17,9.38,45748400.0
2019-09-13,9.31,9.45,9.14,9.34,45589400.0
2019-09-12,9.4,9.52,9.22,9.26,68115100.0
2019-09-11,9.15,9.36,9.06,9.36,57094900.0
2019-09-10,8.91,9.27,8.9,9.14,62617200.0
2019-09-09,8.75,9.05,8.73,8.96,49960500.0
2019-09-06,8.82,8.82,8.57,8.71,42846200.0
2019-09-05,8.99,9.23,8.8,8.81,86891100.0
2019-09-04,8.41,8.87,8.4,8.8,93653700.0
2019-09-03,8.1,8.39,8.08,8.33,67648900.0
2019-08-30,8.14,8.26,8.11,8.25,47323600.0
2019-08-29,8.04,8.2,8.0,8.11,58741000.0
2019-08-28,7.92,7.99,7.76,7.94,57698300.0
2019-08-27,8.09,8.11,7.91,7.93,66069600.0
2019-08-26,8.06,8.1,7.92,8.05,57987200.0
2019-08-23,8.09,8.1,7.76,7.97,128598300.0
2019-08-22,8.18,8.31,8.11,8.19,68146600.0
2019-08-21,8.36,8.48,8.14,8.16,85258500.0
2019-08-20,8.58,8.6,8.33,8.38,102302300.0
2019-08-19,8.88,8.89,8.61,8.67,111637600.0
2019-08-16,8.41,8.8,7.65,8.79,248883600.0
2019-08-15,8.54,8.63,7.65,8.01,401048700.0
2019-08-14,9.24,9.3,8.96,9.03,89194600.0
2019-08-13,9.23,9.585,9.21,9.35,74026400.0
2019-08-12,9.04,9.09,8.95,9.05,65574900.0
2019-08-09,9.47,9.48,9.12,9.15,76720800.0
2019-08-08,9.51,9.525,9.3193,9.49,49406600.0
2019-08-07,9.44,9.47,9.23,9.46,76790400.0
2019-08-06,9.71,9.75,9.48,9.57,66397800.0
2019-08-05,9.79,9.81,9.61,9.66,70243200.0
2019-08-02,10.01,10.08,9.82,10.0,64296400.0
2019-08-01,10.37,10.49,9.98,10.08,87921700.0
2019-07-31,10.76,10.79,10.05,10.45,172474100.0
2019-07-30,10.39,10.58,10.28,10.52,45314500.0
2019-07-29,10.5,10.58,10.38,10.38,37369400.0
2019-07-26,10.47,10.55,10.4,10.51,27015800.0
2019-07-25,10.6294,10.67,10.36,10.43,46121000.0
2019-07-24,10.58,10.7,10.54,10.68,44897500.0
2019-07-23,10.28,10.68,10.27,10.65,74298300.0
2019-07-22,10.05,10.23,10.05,10.21,43326900.0
2019-07-19,10.0801,10.19,10.03,10.04,34653900.0
2019-07-18,10.01,10.19,9.96,10.06,45155200.0
2019-07-17,10.37,10.37,9.98,9.98,53683000.0
2019-07-16,10.23,10.4,10.21,10.38,39533200.0
2019-07-15,10.25,10.34,10.2,10.27,42095100.0
2019-07-12,10.18,10.39,10.14,10.37,39195500.0
2019-07-11,10.22,10.31,10.1,10.11,33670100.0
2019-07-10,10.2898,10.43,10.18,10.2,39101700.0
2019-07-09,10.12,10.29,10.04,10.25,35455800.0
2019-07-08,10.42,10.43,10.14,10.2,48143100.0
2019-07-05,10.54,10.55,10.37,10.5,30267700.0
2019-07-03,10.66,10.66,10.54,10.61,22175600.0
2019-07-02,10.63,10.715,10.57,10.62,30121700.0
2019-07-01,10.62,10.72,10.53,10.63,39925500.0
2019-06-28,10.39,10.5,10.37,10.5,44020400.0
2019-06-27,10.24,10.44,10.24,10.4,33283300.0
2019-06-26,10.22,10.39,10.2,10.27,34128000.0
2019-06-25,10.26,10.28,10.1,10.22,35496200.0
2019-06-24,10.46,10.53,10.27,10.28,36598800.0
2019-06-21,10.665,10.71,10.45,10.48,65576000.0
2019-06-20,10.4705,10.7,10.465,10.63,65961500.0
2019-06-19,10.47,10.61,10.33,10.34,60616700.0
2019-06-18,10.11,10.43,10.09,10.42,73563600.0
2019-06-17,10.2,10.24,10.02,10.05,46050300.0
2019-06-14,10.28,10.34,10.18,10.23,34355100.0
2019-06-13,10.36,10.52,10.25,10.31,62115700.0
2019-06-12,10.0803,10.39,10.02,10.28,54970100.0
2019-06-11,10.1,10.2,9.96,10.12,38957700.0
2019-06-10,10.05,10.35,10.0,10.05,52267100.0
2019-06-07,9.9,10.045,9.815,9.98,41084600.0
2019-06-06,9.89,10.0,9.77,9.92,38528000.0
