,open,high,low,close,volume
2019-10-25,63.0,64.26,62.52,63.32,10623078.0
2019-10-24,66.75,66.75,65.63,66.0,5555400.0
2019-10-23,65.72,66.65,65.53,66.58,6056100.0
2019-10-22,65.71,66.59,65.67,65.86,5881800.0
2019-10-21,64.94,65.37,64.8,65.21,3737000.0
2019-10-18,65.4,65.45,64.2,64.91,8805600.0
2019-10-17,65.3,65.69,64.78,65.23,4682600.0
2019-10-16,65.06,65.88,65.0,65.35,4854900.0
2019-10-15,64.83,65.74,64.61,65.3,5675700.0
2019-10-14,63.83,65.02,63.83,64.51,4354500.0
2019-10-11,63.95,64.49,63.67,63.99,5598100.0
2019-10-10,62.12,63.41,62.0,63.26,5718400.0
2019-10-09,62.29,62.43,61.76,61.98,3516200.0
2019-10-08,62.33,62.49,61.37,61.69,4559800.0
2019-10-07,62.55,63.58,62.28,62.73,5980700.0
2019-10-04,62.45,62.72,61.92,62.56,5138700.0
2019-10-03,61.74,62.34,60.89,62.23,6325200.0
2019-10-02,62.94,62.94,61.52,61.62,6409700.0
2019-10-01,63.6,64.33,62.96,63.22,4899200.0
2019-09-30,63.0,63.81,62.86,63.38,8291400.0
2019-09-27,63.57,63.92,62.57,62.9,7410900.0
2019-09-26,64.42,64.42,63.09,63.3,6398400.0
2019-09-25,64.5,64.84,64.02,64.2,4914500.0
2019-09-24,65.99,66.03,64.24,64.56,5823400.0
2019-09-23,66.25,66.33,64.88,65.73,5259100.0
2019-09-20,65.89,67.02,65.89,66.42,9700400.0
2019-09-19,65.85,66.44,65.64,65.96,4171100.0
2019-09-18,66.01,66.15,65.11,65.72,4295400.0
2019-09-17,65.9,66.24,65.28,66.17,4819800.0
2019-09-16,66.29,66.43,65.66,65.88,4644100.0
2019-09-13,66.75,67.49,65.96,66.52,4814700.0
2019-09-12,67.5,67.54,66.26,66.36,6495500.0
2019-09-11,66.99,68.16,66.99,68.08,8853300.0
2019-09-10,66.08,67.18,65.77,67.08,7419700.0
2019-09-09,64.65,66.57,64.63,66.33,8701000.0
2019-09-06,64.3,65.0,63.92,64.82,6833300.0
2019-09-05,63.44,64.5,63.33,64.06,6011100.0
2019-09-04,63.36,63.67,62.39,63.27,5898200.0
2019-09-03,63.15,63.34,62.27,62.97,4909200.0
2019-08-30,63.99,64.01,62.85,63.54,5301200.0
2019-08-29,64.27,64.42,63.29,63.75,4758500.0
2019-08-28,63.04,64.19,62.73,63.64,5441100.0
2019-08-27,63.51,63.89,62.94,63.31,5227000.0
2019-08-26,63.3,63.33,62.33,63.0,4053200.0
2019-08-23,64.07,64.67,62.19,62.51,7488300.0
2019-08-22,64.31,64.7,63.54,64.22,5084900.0
2019-08-21,64.04,64.26,63.67,64.13,4493700.0
2019-08-20,64.04,64.31,63.38,63.44,5286400.0
2019-08-19,63.69,64.42,63.69,64.11,6163200.0
2019-08-16,63.41,63.51,62.838,63.14,6967500.0
2019-08-15,63.28,63.81,62.84,62.87,4490800.0
2019-08-14,63.69,63.8,62.92,63.12,6382100.0
2019-08-13,63.72,64.99,63.72,64.3,4779600.0
2019-08-12,64.93,65.47,63.49,63.98,5703200.0
2019-08-09,64.7,65.72,64.3591,65.24,5233000.0
2019-08-08,63.716,64.9,63.61,64.82,5188900.0
2019-08-07,63.34,64.197,62.54,63.88,5450400.0
2019-08-06,63.46,64.15,62.64,63.98,7052100.0
2019-08-05,64.3,64.62,62.87,63.36,7230000.0
2019-08-02,65.19,65.4647,64.25,64.95,6753100.0
2019-08-01,65.66,66.78,65.08,65.47,8259800.0
2019-07-31,65.65,66.72,64.16,65.52,10366300.0
2019-07-30,67.8,67.83,66.66,67.09,6694500.0
2019-07-29,68.09,68.4,67.3,67.87,5571700.0
2019-07-26,66.35,67.04,65.92,66.92,4790600.0
2019-07-25,66.5698,67.07,66.2,66.32,4061200.0
2019-07-24,66.48,66.82,65.83,66.64,4592400.0
2019-07-23,65.07,66.44,64.68,66.4,7854200.0
2019-07-22,65.3,65.8201,64.75,64.91,6302600.0
2019-07-19,67.52,67.53,64.91,65.04,8876400.0
2019-07-18,66.63,67.6,66.3,67.21,4002500.0
2019-07-17,67.13,67.42,66.81,66.92,4858500.0
2019-07-16,68.07,68.2,66.51,66.94,5573200.0
2019-07-15,66.98,68.25,66.84,68.07,7495100.0
2019-07-12,66.17,66.68,65.89,66.26,4740700.0
2019-07-11,67.01,67.39,65.54,66.19,5833100.0
2019-07-10,68.0,68.53,66.9,67.46,4072300.0
2019-07-09,67.18,68.18,66.7496,67.75,5201400.0
2019-07-08,68.27,68.47,66.36,67.48,7191900.0
2019-07-05,68.56,69.345,68.35,68.53,4118300.0
2019-07-03,69.07,69.07,68.32,69.0,2906000.0
2019-07-02,68.64,68.94,67.96,68.84,6010200.0
2019-07-01,68.0,68.86,67.275,67.83,6014500.0
2019-06-28,67.15,68.02,66.86,67.56,19742500.0
2019-06-27,66.64,67.385,66.254,67.08,5996900.0
2019-06-26,68.5,68.54,66.58,66.68,9479000.0
2019-06-25,68.75,69.98,68.125,68.48,6293200.0
2019-06-24,69.13,69.48,68.7,68.84,4013700.0
2019-06-21,68.53,69.47,68.27,69.38,8718500.0
2019-06-20,68.79,69.32,67.71,68.57,4968300.0
2019-06-19,68.03,68.4,67.645,68.26,4643100.0
2019-06-18,67.65,68.9,67.38,68.2,7385700.0
2019-06-17,66.47,67.45,66.07,67.1,5287300.0
2019-06-14,66.9122,66.98,66.2,66.36,5333800.0
2019-06-13,66.31,67.25,66.3,66.99,4452900.0
2019-06-12,66.38,67.461,66.2137,66.78,6406800.0
2019-06-11,66.13,66.835,65.95,66.1,5144600.0
2019-06-10,65.4,66.27,65.275,66.12,5942700.0
2019-06-07,64.14,65.625,63.47,65.35,6255100.0
2019-06-06,64.45,64.8006,63.57,63.73,4982500.0
