,open,high,low,close,volume
2019-10-25,29.79,30.7,29.73,30.51,7315111.0
2019-10-24,30.28,30.34,29.71,29.79,4577900.0
2019-10-23,29.93,30.1,29.7,30.08,4176700.0
2019-10-22,29.65,30.19,29.64,30.01,4821300.0
2019-10-21,29.58,30.13,29.55,29.91,4528400.0
2019-10-18,29.31,29.43,29.2,29.33,7308300.0
2019-10-17,29.71,29.78,29.27,29.35,4590400.0
2019-10-16,29.38,29.66,29.38,29.52,3924400.0
2019-10-15,29.0,29.69,28.93,29.53,3795900.0
2019-10-14,28.92,29.11,28.75,29.01,2723300.0
2019-10-11,28.55,29.34,28.48,29.06,8012800.0
2019-10-10,27.85,28.47,27.8,28.2,4457300.0
2019-10-09,27.54,28.0,27.49,27.82,4370800.0
2019-10-08,27.59,27.71,27.13,27.27,5858800.0
2019-10-07,27.89,28.22,27.8,27.92,3255500.0
2019-10-04,27.65,28.06,27.51,28.02,3271400.0
2019-10-03,27.22,27.61,26.75,27.6,4171500.0
2019-10-02,27.54,27.62,27.23,27.32,4406000.0
2019-10-01,28.7,28.96,27.62,27.78,5338800.0
2019-09-30,28.62,28.7,28.33,28.52,5054800.0
2019-09-27,28.38,28.7,28.15,28.38,3423300.0
2019-09-26,28.25,28.34,27.91,28.23,2724200.0
2019-09-25,27.65,28.36,27.54,28.26,4348200.0
2019-09-24,27.77,27.84,27.41,27.65,5587100.0
2019-09-23,27.65,27.79,27.5,27.67,5354600.0
2019-09-20,27.68,28.14,27.68,27.76,6849800.0
2019-09-19,27.94,27.96,27.59,27.6,5089600.0
2019-09-18,28.23,28.24,27.6,27.9,8495900.0
2019-09-17,27.84,28.29,27.42,28.23,28453300.0
2019-09-16,30.0,30.25,29.9,30.05,2868500.0
2019-09-13,30.29,30.53,30.12,30.16,4434900.0
2019-09-12,30.02,30.44,29.7,30.25,8458700.0
2019-09-11,29.4,29.98,28.95,29.98,5872300.0
2019-09-10,28.61,29.39,28.56,29.19,6321100.0
2019-09-09,28.48,28.79,28.38,28.69,5524500.0
2019-09-06,28.71,28.85,28.27,28.33,4711100.0
2019-09-05,27.77,28.72,27.76,28.58,6776900.0
2019-09-04,27.35,27.52,27.14,27.4,4123400.0
2019-09-03,27.42,27.51,26.79,27.07,4956600.0
2019-08-30,28.04,28.19,27.69,27.85,5084300.0
2019-08-29,27.63,27.94,27.55,27.72,2991800.0
2019-08-28,26.93,27.45,26.78,27.38,3919700.0
2019-08-27,27.42,27.5,26.99,27.07,3642500.0
2019-08-26,27.67,27.76,27.13,27.23,4977200.0
2019-08-23,28.0,28.27,27.29,27.45,5438600.0
2019-08-22,28.1,28.38,27.78,28.18,6952500.0
2019-08-21,27.79,28.07,27.71,27.89,4654300.0
2019-08-20,27.77,27.92,27.47,27.49,4075500.0
2019-08-19,28.08,28.25,27.88,27.89,3358800.0
2019-08-16,27.35,27.7887,26.98,27.63,5262500.0
2019-08-15,27.3091,27.44,26.98,27.13,5039800.0
2019-08-14,27.81,27.87,27.3,27.32,5925200.0
2019-08-13,27.6012,28.75,27.54,28.22,4835600.0
2019-08-12,28.04,28.09,27.6,27.75,3562900.0
2019-08-09,28.98,28.98,28.07,28.28,4387800.0
2019-08-08,28.88,29.215,28.72,29.15,5256200.0
2019-08-07,28.03,28.61,27.92,28.51,7118900.0
2019-08-06,28.53,28.73,28.1,28.52,6229900.0
2019-08-05,28.96,29.0,27.96,28.18,11258200.0
2019-08-02,29.5,29.76,29.07,29.29,6626100.0
2019-08-01,30.39,30.76,29.61,29.74,10966800.0
2019-07-31,31.27,31.33,30.35,30.75,12895000.0
2019-07-30,31.87,32.16,31.21,31.4,16820000.0
2019-07-29,34.01,34.25,33.85,34.1,5975300.0
2019-07-26,33.16,33.84,33.03,33.79,5929700.0
2019-07-25,33.58,33.62,32.92,33.0,6283400.0
2019-07-24,33.5,33.8719,33.5,33.82,4037000.0
2019-07-23,33.46,33.76,33.4197,33.58,3889600.0
2019-07-22,33.1514,33.45,32.98,33.36,3675200.0
2019-07-19,33.55,33.58,33.1,33.11,4471700.0
2019-07-18,32.9482,33.22,32.78,33.16,3945000.0
2019-07-17,33.14,33.21,32.66,32.95,6728200.0
2019-07-16,33.32,33.49,33.15,33.3,2400000.0
