,open,high,low,close,volume
2019-10-25,35.78,36.82,35.76,36.74,7553177.0
2019-10-24,36.62,36.77,35.74,35.82,6718800.0
2019-10-23,36.25,36.64,35.83,36.61,6413900.0
2019-10-22,35.77,36.58,35.56,36.31,6730400.0
2019-10-21,36.44,36.72,35.63,35.93,7039300.0
2019-10-18,36.09,36.37,36.01,36.17,6858800.0
2019-10-17,36.81,36.82,35.87,36.19,8122200.0
2019-10-16,36.49,37.22,36.45,36.65,13294400.0
2019-10-15,35.47,36.56,35.17,36.26,10249400.0
2019-10-14,35.39,35.56,35.27,35.5,5630700.0
2019-10-11,35.22,36.0,35.21,35.57,12177900.0
2019-10-10,34.45,35.3,34.21,34.66,10914900.0
2019-10-09,33.98,34.34,33.79,34.14,6329300.0
2019-10-08,34.31,34.47,33.71,33.88,10686900.0
2019-10-07,34.6,35.11,34.3,34.75,6640500.0
2019-10-04,35.0,35.19,34.58,34.91,7037700.0
2019-10-03,34.51,34.99,34.16,34.98,12044600.0
2019-10-02,35.77,35.77,34.41,34.68,12940100.0
2019-10-01,37.47,37.48,36.03,36.11,9991600.0
2019-09-30,37.53,37.58,37.01,37.48,7477000.0
2019-09-27,37.84,37.97,36.97,37.42,6879500.0
2019-09-26,37.36,37.89,37.17,37.61,8301200.0
2019-09-25,36.76,37.25,36.44,37.11,8414900.0
2019-09-24,37.34,37.49,36.55,36.77,6965500.0
2019-09-23,36.79,37.43,36.57,37.24,7044100.0
2019-09-20,38.06,38.07,37.29,37.37,18762200.0
2019-09-19,38.25,38.35,37.74,37.78,4924600.0
2019-09-18,38.15,38.35,37.92,38.18,5949800.0
2019-09-17,37.2,38.42,36.85,38.29,11349200.0
2019-09-16,37.97,38.16,36.97,37.21,15650300.0
2019-09-13,39.47,39.58,38.78,38.86,10133600.0
2019-09-12,39.41,39.49,38.9,39.07,6982100.0
2019-09-11,39.4,39.54,38.86,39.46,6991800.0
2019-09-10,39.2,39.68,38.84,39.58,7233600.0
2019-09-09,39.06,39.78,38.95,39.58,7543800.0
2019-09-06,38.92,38.93,38.52,38.78,5012700.0
2019-09-05,38.62,39.54,38.62,38.73,10747000.0
2019-09-04,37.31,38.32,37.24,38.24,8105700.0
2019-09-03,36.89,37.01,36.54,36.91,6093900.0
2019-08-30,37.25,37.34,36.91,37.09,4599000.0
2019-08-29,36.8,37.02,36.73,36.91,5123700.0
2019-08-28,35.7,36.57,35.58,36.44,7284600.0
