,open,high,low,close,volume
2019-10-25,1251.03,1269.45,1250.01,1265.13,1163682.0
2019-10-24,1260.9,1264.0,1253.715,1260.99,1028100.0
2019-10-23,1242.36,1259.89,1242.36,1259.13,911500.0
2019-10-22,1247.85,1250.6,1241.38,1242.8,1023800.0
2019-10-21,1252.26,1254.629,1240.6,1246.15,1027200.0
2019-10-18,1253.46,1258.89,1241.08,1245.49,1352800.0
2019-10-17,1250.9301,1263.325,1249.9399,1253.0699,952400.0
2019-10-16,1241.17,1254.74,1238.45,1243.64,1094600.0
2019-10-15,1220.4,1247.33,1220.4,1243.01,1381700.0
2019-10-14,1212.34,1226.33,1211.76,1217.14,867500.0
2019-10-11,1222.21,1228.39,1213.74,1215.45,1272700.0
2019-10-10,1198.58,1215.0,1197.34,1208.67,846600.0
2019-10-09,1199.35,1208.35,1197.63,1202.3101,867700.0
2019-10-08,1197.59,1206.08,1189.01,1189.13,1039300.0
2019-10-07,1204.4,1218.204,1203.75,1207.6801,842900.0
2019-10-04,1191.89,1211.4399,1189.17,1209.0,1162400.0
2019-10-03,1180.0,1189.0601,1162.4301,1187.83,1621200.0
2019-10-02,1196.98,1196.98,1171.29,1176.63,1615100.0
2019-10-01,1219.0,1231.23,1203.58,1205.1,1273500.0
2019-09-30,1220.97,1226.0,1212.3,1219.0,1404100.0
2019-09-27,1243.01,1244.02,1214.45,1225.09,1353900.0
2019-09-26,1241.96,1245.0,1232.2679,1241.39,1538000.0
2019-09-25,1215.8199,1248.3,1210.09,1246.52,1453000.0
2019-09-24,1240.0,1246.74,1210.6801,1218.76,1583200.0
2019-09-23,1226.0,1239.09,1224.17,1234.03,1062400.0
2019-09-20,1233.12,1243.3199,1223.08,1229.9301,2270000.0
2019-09-19,1232.0601,1244.4399,1232.02,1238.71,996000.0
2019-09-18,1227.51,1235.61,1216.53,1232.41,1135100.0
2019-09-17,1230.4,1235.0,1223.6899,1229.15,955100.0
2019-09-16,1229.52,1239.5601,1225.61,1231.3,1053300.0
2019-09-13,1231.35,1240.88,1227.01,1239.5601,1301400.0
2019-09-12,1224.3,1241.86,1223.02,1234.25,1725900.0
2019-09-11,1203.41,1222.6,1202.2,1220.17,1307000.0
2019-09-10,1195.15,1210.0,1194.58,1206.0,1260100.0
2019-09-09,1204.0,1220.0,1192.62,1204.41,1471900.0
2019-09-06,1208.13,1212.015,1202.522,1204.9301,1072100.0
2019-09-05,1191.53,1213.04,1191.53,1211.38,1408100.0
2019-09-04,1176.71,1183.48,1171.0,1181.41,1068900.0
2019-09-03,1177.03,1186.89,1163.2,1168.39,1479900.0
2019-08-30,1198.5,1198.5,1183.803,1188.1,1129800.0
2019-08-29,1181.12,1196.0601,1181.12,1192.85,1088400.0
2019-08-28,1161.71,1176.42,1157.3,1171.02,802000.0
2019-08-27,1180.53,1182.4,1161.45,1167.84,1077200.0
2019-08-26,1157.26,1169.47,1152.96,1168.89,1226100.0
2019-08-23,1181.99,1194.08,1147.75,1151.29,1687000.0
2019-08-22,1194.0699,1198.012,1178.58,1189.53,947500.0
2019-08-21,1193.15,1199.0,1187.4301,1191.25,740700.0
2019-08-20,1195.25,1196.0601,1182.11,1182.6899,915500.0
2019-08-19,1190.09,1206.99,1190.09,1198.45,1231600.0
2019-08-16,1179.55,1182.72,1171.81,1177.6,1313300.0
2019-08-15,1163.5,1175.84,1162.11,1167.26,1218700.0
2019-08-14,1176.31,1182.09,1160.54,1164.29,1578700.0
2019-08-13,1171.46,1204.78,1171.46,1197.27,1294400.0
2019-08-12,1179.21,1184.96,1167.672,1174.71,1003000.0
