,open,high,low,close,volume
2019-10-25,102.55,103.435,102.01,102.51,587463.0
2019-10-24,104.42,104.63,103.58,104.05,753500.0
2019-10-23,103.23,104.41,102.39,104.24,682500.0
2019-10-22,101.87,103.73,101.42,103.31,634800.0
2019-10-21,101.48,102.22,101.41,101.86,582700.0
2019-10-18,98.93,101.55,98.4,101.35,917800.0
2019-10-17,97.89,100.91,97.83,98.93,1069100.0
2019-10-16,97.7,98.61,97.47,97.73,867700.0
2019-10-15,96.89,98.56,96.72,97.94,762800.0
2019-10-14,96.6,97.4,96.24,96.82,400100.0
2019-10-11,95.87,97.95,95.81,96.88,638100.0
2019-10-10,93.34,94.78,93.22,94.52,633400.0
2019-10-09,93.38,93.59,92.63,93.23,691600.0
2019-10-08,93.68,93.72,92.41,92.55,663900.0
2019-10-07,95.63,95.63,94.54,94.54,535500.0
2019-10-04,94.76,96.12,94.19,95.94,463100.0
2019-10-03,94.11,94.65,92.88,94.62,457400.0
2019-10-02,96.64,96.69,93.7,94.36,896100.0
2019-10-01,99.76,100.07,97.22,97.22,1069800.0
2019-09-30,99.14,99.98,98.69,99.59,707800.0
2019-09-27,98.27,98.93,97.84,98.93,598100.0
2019-09-26,97.71,97.71,96.25,97.43,558500.0
2019-09-25,96.44,97.85,96.05,97.72,788000.0
2019-09-24,98.0,98.41,95.9,96.05,1069900.0
2019-09-23,97.2,98.24,97.07,97.77,822000.0
2019-09-20,97.43,98.6,97.26,97.5,1150400.0
2019-09-19,98.25,98.25,96.79,97.02,605400.0
2019-09-18,97.88,98.23,97.19,98.07,450800.0
2019-09-17,97.71,98.09,97.0,97.99,408400.0
2019-09-16,98.02,98.77,97.41,97.89,478600.0
2019-09-13,98.36,99.13,98.02,98.68,490800.0
2019-09-12,98.55,98.94,97.33,97.52,686500.0
2019-09-11,96.99,98.06,96.06,98.05,622300.0
2019-09-10,95.52,97.18,95.11,97.18,582100.0
2019-09-09,94.62,95.58,94.45,95.34,621300.0
2019-09-06,93.65,94.5,92.57,94.33,726500.0
2019-09-05,91.57,93.76,91.41,93.56,924500.0
2019-09-04,90.99,91.77,90.99,91.59,607800.0
2019-09-03,90.06,90.97,89.62,90.8,780600.0
2019-08-30,90.26,90.92,89.9,90.29,998200.0
2019-08-29,89.59,90.14,89.11,89.59,994500.0
2019-08-28,87.52,89.07,87.52,88.6,642400.0
2019-08-27,88.29,89.03,87.74,87.85,664700.0
2019-08-26,88.45,88.46,87.26,87.82,516300.0
2019-08-23,89.37,89.91,87.34,87.73,834500.0
2019-08-22,90.21,90.5,89.32,89.81,536700.0
2019-08-21,90.52,90.72,89.08,89.84,512900.0
2019-08-20,90.05,90.22,89.31,89.55,522200.0
2019-08-19,91.0,91.0,90.15,90.35,536800.0
2019-08-16,89.57,90.15,87.92,89.79,859000.0
2019-08-15,89.13,89.5,87.92,88.85,662700.0
2019-08-14,89.83,90.15,88.84,88.92,750700.0
2019-08-13,88.81,91.97,88.62,91.12,593500.0
2019-08-12,90.81,91.22,89.2384,89.26,455500.0
2019-08-09,92.04,92.15,90.26,91.43,682400.0
2019-08-08,90.87,91.995,90.7,91.91,829700.0
2019-08-07,90.49,91.0,89.66,90.53,1034000.0
2019-08-06,90.59,91.91,89.47,91.72,951300.0
2019-08-05,91.29,91.29,89.25,90.08,1445900.0
2019-08-02,94.28,94.58,92.15,92.2,920200.0
2019-08-01,97.0,97.22,94.0,94.53,1006500.0
2019-07-31,97.89,98.45,96.49,97.12,1148800.0
2019-07-30,98.2,98.36,97.51,97.93,625700.0
2019-07-29,97.9,98.552,97.6,98.35,475700.0
2019-07-26,97.64,98.3,97.35,97.91,549600.0
2019-07-25,97.3,98.03,96.93,97.47,982000.0
2019-07-24,97.08,98.05,96.5,97.3,837100.0
2019-07-23,95.97,97.12,95.0891,97.0,981200.0
2019-07-22,95.18,96.19,94.6838,95.8,1181200.0
2019-07-19,97.41,97.73,95.097,95.18,1403900.0
2019-07-18,100.0,100.27,96.54,97.61,2233400.0
2019-07-17,104.95,105.52,101.9635,102.22,1016300.0
2019-07-16,105.25,105.77,104.726,105.35,682800.0
2019-07-15,105.4,105.68,104.08,104.81,650000.0
2019-07-12,104.1,105.41,104.1,105.41,682900.0
2019-07-11,104.2867,104.41,103.62,103.9,716500.0
2019-07-10,104.36,104.82,104.0,104.19,625500.0
2019-07-09,104.87,104.99,103.92,104.16,920200.0
2019-07-08,105.34,105.93,105.02,105.13,496900.0
2019-07-05,105.9,106.09,104.9,105.6,406800.0
2019-07-03,104.84,106.17,104.816,106.15,456800.0
2019-07-02,104.81,104.871,103.5,104.65,689000.0
2019-07-01,104.36,105.13,103.79,104.61,536500.0
2019-06-28,103.15,103.9,102.74,103.58,970500.0
2019-06-27,102.0,103.02,101.87,102.84,471700.0
2019-06-26,103.26,103.59,101.93,101.95,513100.0
2019-06-25,103.85,103.85,102.74,103.37,1006600.0
2019-06-24,103.79,104.35,103.2,103.95,553000.0
2019-06-21,104.38,104.45,103.31,103.98,1283900.0
2019-06-20,103.41,103.94,102.76,103.79,550100.0
2019-06-19,102.9346,103.28,101.41,102.79,448600.0
2019-06-18,102.6688,103.32,102.67,102.92,298000.0
2019-06-17,103.09,103.4831,102.19,102.39,418700.0
2019-06-14,103.2521,103.25,102.12,102.93,366300.0
2019-06-13,102.77,103.43,102.3,102.85,456700.0
2019-06-12,103.11,103.47,102.27,102.44,502800.0
2019-06-11,102.52,102.9727,102.2,102.9,445800.0
