,open,high,low,close,volume
2019-10-25,17.16,17.52,17.05,17.33,3709684.0
2019-10-24,17.55,17.68,16.83,17.32,6698700.0
2019-10-23,17.9,17.9,17.43,17.56,3748800.0
2019-10-22,17.4,17.9,17.26,17.86,6537000.0
2019-10-21,17.08,17.48,17.01,17.36,6378100.0
2019-10-18,16.77,17.12,16.33,16.88,13360200.0
2019-10-17,17.69,18.15,17.5,17.57,9355400.0
2019-10-16,17.28,17.72,17.23,17.55,8603800.0
2019-10-15,17.09,17.61,16.99,17.32,8992100.0
2019-10-14,17.04,17.08,16.54,17.03,8751200.0
2019-10-11,16.97,17.43,16.91,17.15,8131800.0
2019-10-10,16.34,16.8,16.34,16.65,4684500.0
2019-10-09,16.16,16.41,16.12,16.27,4125500.0
2019-10-08,16.03,16.25,15.83,16.02,7948900.0
2019-10-07,16.21,16.68,16.18,16.57,6422200.0
2019-10-04,16.46,16.6,16.14,16.23,5329700.0
2019-10-03,16.36,16.52,15.86,16.51,6386800.0
2019-10-02,16.91,16.97,16.33,16.45,7302500.0
2019-10-01,17.39,17.68,17.03,17.06,6886000.0
2019-09-30,17.22,17.58,17.07,17.36,4045100.0
2019-09-27,17.08,17.45,17.01,17.18,3931700.0
2019-09-26,17.15,17.15,16.71,16.99,6050700.0
2019-09-25,17.16,17.64,17.16,17.23,3355200.0
2019-09-24,17.57,17.8,17.04,17.18,5349800.0
2019-09-23,17.02,17.5,16.89,17.44,4824900.0
2019-09-20,17.59,17.93,17.17,17.19,8838600.0
2019-09-19,18.07,18.13,17.41,17.54,5514800.0
2019-09-18,18.15,18.38,17.76,17.94,3899700.0
2019-09-17,18.41,18.41,17.86,18.21,6966500.0
2019-09-16,18.96,19.24,18.43,18.55,6377500.0
2019-09-13,19.46,19.76,19.11,19.24,5593200.0
2019-09-12,19.36,19.86,18.68,19.18,13128300.0
2019-09-11,18.75,19.36,18.05,19.25,13437800.0
2019-09-10,18.0,18.7,17.92,18.38,8800100.0
2019-09-09,16.95,18.02,16.88,17.96,7614000.0
2019-09-06,17.08,17.35,16.72,16.86,9464400.0
2019-09-05,16.36,17.23,16.36,16.99,8290200.0
2019-09-04,15.68,16.18,15.65,16.11,6401000.0
2019-09-03,15.68,15.73,15.11,15.59,8765300.0
2019-08-30,15.97,16.06,15.59,15.79,6468200.0
2019-08-29,16.03,16.27,15.84,15.91,6110400.0
