,open,high,low,close,volume
2019-10-25,19.89,20.515,19.79,20.48,12263578.0
2019-10-24,20.3,20.36,19.53,19.91,9416900.0
2019-10-23,19.71,20.4,19.42,20.21,11784100.0
2019-10-22,19.81,20.1,19.2,19.9,14548100.0
2019-10-21,18.15,20.0,18.1,19.61,27859700.0
2019-10-18,18.57,19.21,18.43,18.43,26677300.0
2019-10-17,18.42,18.66,18.26,18.51,13595800.0
2019-10-16,18.66,18.91,18.29,18.3,9417800.0
2019-10-15,18.72,19.18,18.58,18.7,11120800.0
2019-10-14,18.62,18.83,18.05,18.76,9185800.0
2019-10-11,18.63,19.11,18.6,18.95,10477700.0
2019-10-10,18.37,18.61,18.22,18.43,9799100.0
2019-10-09,18.39,18.5,18.02,18.27,11083800.0
2019-10-08,18.14,18.6,18.04,18.25,11337600.0
2019-10-07,18.63,18.8,18.33,18.36,8287800.0
2019-10-04,18.67,18.93,18.27,18.55,7944900.0
2019-10-03,18.06,18.66,18.03,18.64,10074200.0
2019-10-02,18.58,18.9,18.1,18.17,12056800.0
2019-10-01,19.0,19.16,18.36,18.58,12198100.0
2019-09-30,18.61,19.02,18.55,18.85,9884200.0
2019-09-27,19.04,19.48,18.59,18.73,14587700.0
2019-09-26,19.25,19.35,18.86,19.27,10841000.0
2019-09-25,19.13,19.48,19.09,19.44,10550700.0
2019-09-24,20.4,20.5,19.4,19.49,18536300.0
2019-09-23,20.32,20.85,20.23,20.61,11085400.0
2019-09-20,20.91,21.06,20.28,20.44,15934600.0
2019-09-19,21.15,21.32,20.88,20.92,12901700.0
2019-09-18,20.88,21.15,20.56,20.81,15049000.0
2019-09-17,22.28,22.28,20.82,21.03,19353900.0
2019-09-16,21.46,22.75,21.38,22.49,36553100.0
2019-09-13,20.13,20.45,19.77,20.27,10717200.0
2019-09-12,19.46,20.0,19.1,19.75,13410400.0
2019-09-11,20.13,20.6,19.76,20.05,14736400.0
2019-09-10,20.2,20.71,19.91,20.03,16748500.0
2019-09-09,19.28,20.2,19.22,19.95,13565300.0
2019-09-06,18.91,19.13,18.54,19.09,10921200.0
2019-09-05,18.95,19.53,18.94,19.0,12560800.0
2019-09-04,19.03,19.16,18.71,18.76,12794000.0
2019-09-03,18.2,18.83,18.13,18.76,13125600.0
2019-08-30,18.61,19.13,18.51,18.84,12154600.0
2019-08-29,18.19,18.79,18.18,18.53,13070400.0
2019-08-28,17.29,18.26,16.97,18.0,14771300.0
2019-08-27,17.7,17.78,17.21,17.31,10316700.0
2019-08-26,18.01,18.14,17.36,17.5,12999100.0
2019-08-23,18.3,18.58,17.66,17.72,14091600.0
2019-08-22,18.85,19.2,18.66,18.67,13271100.0
2019-08-21,19.3,19.36,18.59,18.6,10964700.0
2019-08-20,19.11,19.19,18.82,19.06,8284200.0
2019-08-19,19.33,19.49,19.07,19.33,13001000.0
2019-08-16,18.35,18.93,17.46,18.87,14359600.0
2019-08-15,18.14,18.3007,17.46,18.25,21154700.0
2019-08-14,18.97,19.0,18.12,18.33,18264700.0
2019-08-13,19.35,20.38,19.18,19.48,12404600.0
2019-08-12,19.4202,19.56,19.1,19.41,10673200.0
2019-08-09,19.93,20.03,19.41,19.52,13613200.0
2019-08-08,19.74,20.03,19.51,19.93,17492900.0
2019-08-07,19.43,19.87,19.1138,19.65,16661000.0
2019-08-06,20.4211,20.6,19.5,19.95,14552800.0
2019-08-05,20.46,20.54,19.96,20.31,13777200.0
2019-08-02,21.72,21.84,20.84,21.0,14128600.0
2019-08-01,22.71,22.76,21.36,21.66,16509400.0
2019-07-31,23.27,23.46,22.75,23.0,13557400.0
2019-07-30,22.0,23.23,21.81,23.2,17794400.0
2019-07-29,22.99,23.0,21.91,22.18,12261500.0
2019-07-26,23.26,23.41,22.931,23.03,6551500.0
2019-07-25,23.99,24.0294,23.03,23.22,12426200.0
2019-07-24,23.7591,24.08,23.58,23.79,12981900.0
2019-07-23,23.67,24.05,23.22,23.84,18363400.0
2019-07-22,22.85,23.82,22.44,23.74,28286300.0
2019-07-19,21.7,21.86,21.42,21.75,17145600.0
2019-07-18,21.69,21.78,21.2193,21.68,12674400.0
2019-07-17,22.82,22.89,21.77,21.78,12759600.0
2019-07-16,23.41,23.56,22.83,22.88,9675800.0
2019-07-15,23.86,24.01,23.41,23.46,13114400.0
2019-07-12,23.9,24.04,23.69,23.75,11853900.0
2019-07-11,23.6,23.85,23.49,23.85,12268800.0
2019-07-10,23.71,23.85,23.36,23.6,15516200.0
2019-07-09,23.11,23.57,22.75,23.57,13350800.0
2019-07-08,22.97,23.5,22.8304,23.25,14363000.0
2019-07-05,22.66,23.09,22.621,23.03,8454700.0
2019-07-03,22.64,22.85,22.46,22.84,6255300.0
2019-07-02,22.83,22.84,22.219,22.65,14286700.0
2019-07-01,23.26,23.54,22.85,22.95,11586900.0
2019-06-28,22.83,23.16,22.595,22.74,36268900.0
2019-06-27,23.2,23.33,22.69,22.73,9923000.0
2019-06-26,22.83,23.54,22.71,23.2,14331500.0
2019-06-25,22.46,22.72,22.15,22.5,8246600.0
2019-06-24,22.91,23.04,22.45,22.51,17465300.0
2019-06-21,22.99,23.2613,22.61,22.84,19469700.0
2019-06-20,22.49,22.97,22.422,22.88,14720600.0
2019-06-19,22.23,22.34,21.77,21.81,11726500.0
2019-06-18,22.1,22.52,21.95,22.22,12887800.0
2019-06-17,21.25,22.245,21.19,21.97,12372800.0
2019-06-14,21.6,21.712,21.1604,21.38,10687900.0
2019-06-13,21.64,21.78,21.23,21.66,23940000.0
2019-06-12,21.8,21.91,21.04,21.07,18406400.0
2019-06-11,22.03,22.425,21.84,22.08,10124300.0
2019-06-10,21.8,22.32,21.76,21.76,10838300.0
2019-06-07,21.6523,21.99,21.433,21.63,15266500.0
2019-06-06,21.37,21.65,21.21,21.55,16250700.0
