,open,high,low,close,volume
2019-10-25,96.15,96.3865,94.19,96.01,2201541.0
2019-10-24,99.29,99.51,95.6,96.16,2428400.0
2019-10-23,100.15,101.75,98.06,99.4,3201900.0
2019-10-22,101.01,104.95,98.85,100.02,6939000.0
2019-10-21,122.93,122.93,119.4,120.16,2064600.0
2019-10-18,122.3,123.05,121.53,121.96,911300.0
2019-10-17,122.34,122.97,121.58,122.39,802400.0
2019-10-16,121.49,122.58,121.11,121.99,647400.0
2019-10-15,121.6,122.48,121.35,121.96,541700.0
2019-10-14,120.67,121.64,120.21,120.9,509100.0
2019-10-11,120.47,122.1,120.03,121.29,611900.0
2019-10-10,118.17,119.7,117.54,119.45,622600.0
2019-10-09,117.35,118.89,117.02,118.16,531700.0
2019-10-08,117.02,118.1,116.65,116.69,602900.0
2019-10-07,117.8,118.2,116.5,117.66,430900.0
2019-10-04,116.43,118.47,116.43,118.24,512600.0
2019-10-03,115.01,116.6,113.94,116.6,491100.0
2019-10-02,116.51,117.59,113.95,115.31,664300.0
2019-10-01,118.95,119.93,116.58,117.1,651700.0
2019-09-30,119.07,119.92,118.63,118.69,672100.0
2019-09-27,118.44,119.53,117.82,118.82,536800.0
2019-09-26,118.55,118.62,117.25,117.4,497300.0
2019-09-25,117.08,119.41,116.62,118.81,525700.0
2019-09-24,119.1,119.45,116.41,117.0,598100.0
2019-09-23,117.73,119.37,117.28,118.08,520600.0
2019-09-20,120.1,121.14,117.41,117.63,2461200.0
2019-09-19,120.33,121.37,119.72,120.92,1027100.0
2019-09-18,119.31,119.79,118.23,119.65,814300.0
2019-09-17,120.01,120.01,118.52,119.3,735200.0
2019-09-16,118.58,120.38,118.13,119.07,433700.0
2019-09-13,119.68,121.48,119.64,119.78,601400.0
2019-09-12,117.66,120.99,117.66,119.64,850600.0
2019-09-11,116.22,117.61,115.01,117.49,755500.0
2019-09-10,114.73,118.68,114.22,116.55,1088700.0
2019-09-09,112.7,114.4,111.79,113.94,580600.0
2019-09-06,110.77,112.49,110.52,112.4,677600.0
2019-09-05,111.31,112.43,110.05,110.99,683800.0
2019-09-04,110.29,110.96,108.79,109.57,619800.0
2019-09-03,109.82,110.27,108.09,109.39,704500.0
2019-08-30,111.04,111.34,109.86,110.47,679300.0
2019-08-29,109.48,110.73,108.93,110.14,504400.0
2019-08-28,106.78,108.63,103.04,108.27,557500.0
2019-08-27,107.85,108.55,106.87,107.26,858700.0
2019-08-26,105.49,107.86,104.79,107.2,1026100.0
2019-08-23,106.95,108.69,103.76,104.13,2044600.0
2019-08-22,115.39,115.67,112.92,114.35,517500.0
2019-08-21,115.95,116.61,114.56,115.5,375100.0
2019-08-20,114.43,115.02,114.21,114.39,422800.0
2019-08-19,115.63,116.23,114.16,114.95,562800.0
2019-08-16,114.44,114.92,113.57,114.37,598800.0
2019-08-15,115.06,115.06,112.22,113.14,598200.0
2019-08-14,114.2,115.04,113.33,114.41,975600.0
2019-08-13,112.98,120.97,112.12,116.25,1623200.0
2019-08-12,113.93,114.365,112.55,113.14,513000.0
2019-08-09,115.11,116.1622,113.69,114.53,720200.0
2019-08-08,114.95,116.7,114.26,116.64,867800.0
2019-08-07,111.14,113.94,109.793,113.76,830300.0
2019-08-06,111.66,113.08,110.9,112.98,1103200.0
2019-08-05,111.9,111.96,109.83,111.41,1499900.0
2019-08-02,114.41,114.83,111.61,113.51,1859600.0
2019-08-01,121.59,122.19,114.61,114.83,2472600.0
2019-07-31,123.11,123.89,120.32,121.16,1230400.0
2019-07-30,125.24,126.87,122.66,124.38,1217200.0
2019-07-29,123.84,126.29,123.73,126.07,958700.0
2019-07-26,123.64,124.33,122.61,123.67,1205900.0
2019-07-25,121.8841,123.63,121.38,122.19,1201000.0
2019-07-24,118.61,121.93,118.56,121.83,1716500.0
2019-07-23,115.87,119.96,114.5,119.31,3924500.0
2019-07-22,108.12,108.94,107.69,108.51,1616900.0
2019-07-19,109.58,109.58,107.64,107.66,1047900.0
2019-07-18,108.37,109.85,108.11,109.38,976700.0
2019-07-17,110.0,110.01,108.39,108.61,751200.0
2019-07-16,109.8,110.65,109.45,109.85,780900.0
2019-07-15,109.3167,111.76,108.23,109.64,795400.0
2019-07-12,108.0,109.77,107.99,109.27,957300.0
2019-07-11,108.62,108.62,106.46,107.61,747700.0
2019-07-10,108.3589,108.65,107.98,108.3,792100.0
2019-07-09,107.64,108.72,106.6118,108.22,629200.0
