,open,high,low,close,volume
2019-10-25,233.49,235.42,232.57,234.38,1903697.0
2019-10-24,234.81,236.37,233.07,233.89,2173900.0
2019-10-23,236.66,237.41,234.36,234.67,2110500.0
2019-10-22,237.3,238.3,236.52,237.2,2003200.0
2019-10-21,238.26,238.99,235.61,236.7,2041700.0
2019-10-18,236.99,238.73,235.64,237.93,3662500.0
2019-10-17,236.36,238.17,235.51,236.77,2250500.0
2019-10-16,235.42,236.17,233.84,235.9,2388100.0
2019-10-15,234.69,236.86,234.6,235.62,2663300.0
2019-10-14,234.22,235.49,234.06,234.18,2183900.0
2019-10-11,234.32,236.7,233.76,234.66,3459200.0
2019-10-10,229.34,232.24,229.08,231.61,2781500.0
2019-10-09,228.5,229.56,226.61,228.94,2657600.0
2019-10-08,225.36,228.78,225.1,226.67,3438500.0
2019-10-07,227.51,228.13,226.05,226.74,2917600.0
2019-10-04,227.17,229.21,227.02,227.93,3163100.0
2019-10-03,225.0,226.81,222.12,226.81,2777700.0
2019-10-02,230.6,230.6,224.34,225.55,4336100.0
2019-10-01,233.01,234.51,230.72,231.08,3335400.0
2019-09-30,230.19,232.59,230.12,232.02,3249200.0
2019-09-27,231.61,231.75,229.13,229.86,3152000.0
2019-09-26,229.68,231.12,229.0,229.79,4200600.0
2019-09-25,226.59,228.45,224.5,228.1,3716700.0
2019-09-24,228.14,230.24,224.78,225.41,4511300.0
2019-09-23,224.16,227.14,223.95,226.25,2754000.0
2019-09-20,227.99,230.05,224.23,224.67,7687700.0
2019-09-19,231.15,231.4,227.95,228.12,3134000.0
2019-09-18,230.37,231.53,229.01,230.83,3341800.0
2019-09-17,226.79,230.33,226.47,230.21,3732500.0
2019-09-16,232.73,233.61,230.61,230.99,3120200.0
2019-09-13,234.33,234.97,232.33,233.98,3805500.0
2019-09-12,233.42,235.49,233.11,233.8,3366100.0
2019-09-11,232.93,233.68,231.02,232.66,2978300.0
2019-09-10,232.25,233.02,229.71,233.0,4210600.0
2019-09-09,231.5,233.87,230.08,232.87,4449100.0
2019-09-06,228.7,231.37,227.88,231.13,3237900.0
2019-09-05,226.3,228.78,226.25,228.15,3373100.0
2019-09-04,223.95,224.15,220.67,224.15,3132900.0
2019-09-03,226.45,227.63,223.38,224.07,4139400.0
2019-08-30,228.43,229.27,226.69,227.91,3768300.0
2019-08-29,223.9,227.7,223.76,227.32,4184200.0
2019-08-28,217.88,222.09,217.11,221.95,3066700.0
2019-08-27,219.55,220.41,217.91,218.21,4311700.0
2019-08-26,218.46,219.5,216.18,218.65,3680200.0
