,open,high,low,close,volume
2019-10-25,66.52,67.49,65.85,66.78,1207967.0
2019-10-24,67.01,67.49,66.2,66.87,2092600.0
2019-10-23,67.38,67.59,66.23,66.62,2607400.0
2019-10-22,66.34,68.61,65.87,67.55,1917000.0
2019-10-21,64.68,66.03,64.4,65.91,1407500.0
2019-10-18,65.26,66.15,64.69,64.95,1567400.0
2019-10-17,65.36,65.64,64.63,65.16,1202600.0
2019-10-16,66.12,66.59,64.99,65.23,1898800.0
2019-10-15,66.92,67.68,65.96,66.13,1633000.0
2019-10-14,65.76,67.56,65.45,67.19,2343200.0
2019-10-11,66.83,67.76,66.26,66.77,2072800.0
2019-10-10,64.69,66.1,64.51,65.91,2214700.0
2019-10-09,63.15,64.72,62.93,64.35,2141300.0
2019-10-08,61.67,63.44,61.4,62.12,2579100.0
2019-10-07,62.76,63.6,62.36,62.7,2887100.0
2019-10-04,61.94,62.56,61.12,62.39,2963100.0
2019-10-03,58.78,61.87,58.31,61.79,3326900.0
2019-10-02,60.21,60.47,58.9,59.32,3356000.0
2019-10-01,61.17,62.09,60.34,60.62,3720100.0
2019-09-30,59.71,60.86,59.53,60.48,2440500.0
2019-09-27,60.53,61.79,59.76,60.13,3256800.0
2019-09-26,62.77,62.82,61.22,61.68,2294200.0
2019-09-25,63.38,64.16,62.48,63.52,1854700.0
2019-09-24,65.13,65.32,63.25,64.32,4229000.0
2019-09-23,65.0,66.02,65.0,65.51,1761600.0
2019-09-20,66.06,66.63,65.4,65.67,3605000.0
2019-09-19,67.8,68.0,65.0,65.58,2451100.0
2019-09-18,66.8,68.06,66.35,66.91,3267900.0
2019-09-17,69.5,69.98,64.91,67.8,4804000.0
2019-09-16,66.95,71.06,66.28,70.29,6852600.0
2019-09-13,63.81,64.14,62.75,63.22,2943900.0
2019-09-12,63.22,64.8,63.06,63.48,2703500.0
2019-09-11,63.6,65.09,63.28,64.95,3408200.0
2019-09-10,64.41,65.04,62.29,63.21,6012000.0
