,open,high,low,close,volume
2019-10-25,57.5,57.54,56.64,56.8,1693093.0
2019-10-24,58.09,58.22,57.3,57.49,1423600.0
2019-10-23,57.59,57.96,57.46,57.87,1817200.0
2019-10-22,59.26,59.46,57.33,57.5,2923100.0
2019-10-21,59.54,59.78,59.21,59.76,1237700.0
2019-10-18,58.79,59.33,58.32,59.0,2292200.0
2019-10-17,59.34,59.35,58.31,58.63,2592200.0
2019-10-16,59.33,59.41,58.43,58.9,2284000.0
2019-10-15,59.26,59.73,59.23,59.49,1580600.0
2019-10-14,58.64,59.26,58.56,59.17,1525600.0
2019-10-11,58.95,59.33,58.59,58.64,2026300.0
2019-10-10,58.18,58.77,58.18,58.36,1354900.0
2019-10-09,58.17,58.37,57.72,58.08,1389600.0
2019-10-08,58.57,58.57,57.81,57.82,2360200.0
2019-10-07,59.42,59.53,58.93,58.94,1340700.0
2019-10-04,58.25,59.59,58.18,59.51,1274400.0
2019-10-03,57.92,58.26,57.41,58.21,1659200.0
2019-10-02,59.13,59.2,57.86,58.07,2067400.0
2019-10-01,60.76,60.78,59.43,59.45,1416500.0
2019-09-30,60.59,60.73,60.27,60.61,1689000.0
2019-09-27,60.8,60.8,60.1,60.45,1464600.0
2019-09-26,60.5,60.82,60.18,60.61,1480800.0
2019-09-25,60.54,60.73,60.17,60.35,1792500.0
2019-09-24,60.34,60.78,60.15,60.55,2289100.0
2019-09-23,60.25,60.51,60.14,60.19,1558800.0
2019-09-20,60.79,60.94,60.18,60.44,2340000.0
2019-09-19,60.78,61.23,60.58,60.64,1279000.0
2019-09-18,60.71,60.83,60.33,60.82,1396000.0
2019-09-17,59.95,60.75,59.75,60.73,1543200.0
2019-09-16,60.06,60.23,59.63,60.03,877800.0
2019-09-13,60.04,60.51,59.69,60.32,1897300.0
2019-09-12,59.3,60.05,58.95,59.93,1815800.0
2019-09-11,59.27,59.35,58.59,59.04,1537900.0
2019-09-10,60.17,60.19,59.13,59.3,2259300.0
2019-09-09,60.68,60.68,59.86,60.3,1843300.0
2019-09-06,60.04,60.77,59.99,60.32,1889800.0
2019-09-05,60.26,60.46,59.75,59.99,2182200.0
2019-09-04,59.25,59.76,58.74,59.71,1877000.0
2019-09-03,58.15,58.89,58.0,58.85,1794100.0
2019-08-30,58.75,58.75,58.06,58.28,1843400.0
2019-08-29,58.85,58.89,58.22,58.66,2438400.0
2019-08-28,58.3,58.7,58.03,58.41,1225800.0
2019-08-27,58.84,59.1,58.27,58.55,1677000.0
2019-08-26,58.31,58.6,57.96,58.57,1086800.0
2019-08-23,59.36,59.81,57.86,58.1,1856600.0
2019-08-22,59.19,59.68,59.01,59.48,1200600.0
2019-08-21,58.72,58.95,58.45,58.88,1436900.0
2019-08-20,58.89,59.3,58.51,58.54,1634600.0
2019-08-19,59.0,59.26,58.76,59.12,1258400.0
2019-08-16,58.11,58.65,57.18,58.47,1768900.0
2019-08-15,57.41,58.0478,57.18,57.89,1461300.0
2019-08-14,58.19,58.64,57.035,57.25,2008100.0
2019-08-13,57.91,59.17,57.8838,58.9,1533000.0
2019-08-12,58.35,58.68,57.85,57.97,1642800.0
2019-08-09,58.75,59.04,58.4,58.6,1402200.0
2019-08-08,58.39,58.91,58.17,58.7,2107800.0
2019-08-07,57.04,58.385,56.51,58.01,1947700.0
2019-08-06,56.5,57.66,56.19,57.62,2002000.0
2019-08-05,57.19,57.55,56.05,56.56,2953600.0
2019-08-02,57.8,58.5,56.582,57.48,3463900.0
2019-08-01,57.6,57.93,56.22,56.9,3023200.0
2019-07-31,57.75,58.07,57.19,57.63,2214300.0
2019-07-30,57.45,57.82,57.24,57.77,1489500.0
2019-07-29,58.08,58.24,57.47,57.75,1916900.0
2019-07-26,57.63,58.14,57.48,58.14,1519100.0
2019-07-25,57.57,57.8,57.28,57.63,1619300.0
2019-07-24,56.8658,57.56,56.75,57.53,1625400.0
2019-07-23,57.02,57.24,56.45,56.9,1730100.0
2019-07-22,57.0881,57.49,56.97,57.04,1197800.0
2019-07-19,58.22,58.22,57.1,57.11,1962100.0
2019-07-18,57.71,58.11,57.65,57.9,1728400.0
2019-07-17,57.95,58.08,57.48,57.66,1800800.0
2019-07-16,57.88,58.19,57.78,58.05,2292700.0
2019-07-15,57.68,57.78,57.45,57.72,1464800.0
2019-07-12,57.07,57.54,56.9,57.49,1995600.0
2019-07-11,57.27,57.34,56.48,56.86,1582800.0
2019-07-10,57.11,57.3809,56.69,57.17,1695100.0
2019-07-09,57.11,57.19,56.74,57.08,1934300.0
2019-07-08,56.73,57.21,56.68,57.11,1850300.0
2019-07-05,57.17,57.18,56.6368,56.95,1181700.0
2019-07-03,56.44,57.23,56.36,57.16,1059900.0
2019-07-02,56.0,56.36,55.77,56.28,1854300.0
2019-07-01,55.98,55.99,55.23,55.89,2344800.0
2019-06-28,55.74,55.93,55.43,55.72,3479900.0
2019-06-27,54.88,55.4554,54.61,55.4,2245500.0
2019-06-26,56.13,56.13,54.74,54.88,2161500.0
2019-06-25,55.59,56.31,55.59,56.03,2678900.0
2019-06-24,55.66,56.1,55.5,55.69,2002400.0
2019-06-21,55.54,55.8,55.358,55.72,4135300.0
2019-06-20,55.4472,55.66,54.89,55.63,2114400.0
2019-06-19,55.05,55.39,54.94,55.25,1426100.0
2019-06-18,54.48,55.02,54.42,54.98,2420000.0
2019-06-17,55.04,55.04,54.45,54.53,1259500.0
2019-06-14,54.52,55.135,54.42,54.95,1606200.0
2019-06-13,54.75,54.865,54.17,54.51,1649500.0
2019-06-12,54.6954,55.02,54.345,54.65,1578400.0
2019-06-11,55.0,55.1099,54.43,54.69,1819700.0
2019-06-10,55.27,55.33,54.67,54.83,1308100.0
2019-06-07,55.04,55.42,54.95,54.97,1311700.0
2019-06-06,54.94,55.19,54.753,54.99,1646500.0
