,open,high,low,close,volume
2019-10-25,171.24,172.08,170.65,171.63,1579943.0
2019-10-24,169.96,171.72,168.96,171.46,2181000.0
2019-10-23,169.94,170.0,169.0,169.85,2379100.0
2019-10-22,168.7,170.11,167.89,168.94,3290100.0
2019-10-21,166.97,169.24,166.57,168.94,2534400.0
2019-10-18,167.15,167.47,162.43,165.57,4421900.0
2019-10-17,166.3,168.99,165.59,167.52,3302700.0
2019-10-16,163.61,164.34,162.68,163.63,3449800.0
2019-10-15,163.52,164.82,163.12,163.64,2814500.0
2019-10-14,163.62,164.22,162.51,162.98,1055900.0
2019-10-11,163.01,165.35,162.74,163.53,2244900.0
2019-10-10,159.86,162.25,159.85,160.97,1613100.0
2019-10-09,160.63,160.67,158.75,159.84,1680400.0
2019-10-08,161.32,161.37,158.59,158.62,3418100.0
2019-10-07,163.28,164.57,162.54,163.18,2214400.0
2019-10-04,162.0,163.77,161.83,163.63,2741600.0
2019-10-03,160.61,161.53,158.84,161.52,3088200.0
2019-10-02,162.14,162.83,159.44,161.08,4520100.0
2019-10-01,169.55,170.16,164.02,164.19,2793200.0
2019-09-30,168.83,169.54,168.06,169.2,2079500.0
2019-09-27,167.86,168.48,166.31,168.04,2514800.0
2019-09-26,166.87,168.0,166.47,167.03,1983000.0
2019-09-25,165.93,167.28,165.26,166.93,1645000.0
2019-09-24,167.79,168.45,164.93,165.76,2638200.0
2019-09-23,166.74,167.81,166.21,167.14,2325500.0
2019-09-20,167.6,168.71,166.69,168.31,5050400.0
2019-09-19,168.08,168.76,166.53,166.77,1950200.0
2019-09-18,165.89,167.99,165.51,167.97,1831700.0
2019-09-17,166.49,166.79,165.26,166.46,2287200.0
2019-09-16,167.04,167.41,165.76,166.21,2427700.0
2019-09-13,168.93,169.18,167.48,167.71,2739600.0
2019-09-12,171.53,172.0,168.4,168.63,2777500.0
2019-09-11,169.79,171.36,169.2,171.28,4047500.0
2019-09-10,168.63,169.64,166.9,169.61,4221600.0
2019-09-09,171.89,172.73,169.06,169.66,4991800.0
2019-09-06,170.95,171.79,170.52,171.16,3327800.0
2019-09-05,168.61,170.96,168.51,170.37,4511600.0
2019-09-04,165.18,167.73,165.18,167.14,3974700.0
2019-09-03,163.51,164.46,162.65,163.53,2799500.0
2019-08-30,165.0,165.64,164.1,164.62,3156600.0
2019-08-29,161.48,164.0,160.94,163.6,3919300.0
2019-08-28,157.17,160.0,156.46,159.55,2363400.0
2019-08-27,158.11,158.2,156.24,157.48,2530200.0
2019-08-26,157.87,158.03,154.91,156.91,3094000.0
2019-08-23,161.48,162.28,155.49,156.49,4342900.0
2019-08-22,164.68,164.9,161.58,162.9,1940000.0
2019-08-21,165.0,165.0,162.78,163.79,1732200.0
2019-08-20,165.61,165.85,163.39,163.47,1726200.0
2019-08-19,167.21,167.33,165.5,165.86,1647200.0
2019-08-16,163.81,165.56,161.1,165.03,1748200.0
2019-08-15,163.32,163.89,161.1,162.27,2220400.0
2019-08-14,166.03,166.79,163.9837,164.04,2457300.0
2019-08-13,164.91,170.03,164.5,167.98,3221800.0
2019-08-12,165.42,166.87,164.42,164.96,1490200.0
2019-08-09,166.89,167.67,165.25,166.67,1802100.0
2019-08-08,164.59,167.44,164.2,167.01,2428800.0
2019-08-07,162.96,163.84,161.075,163.39,3079200.0
2019-08-06,163.37,165.5229,163.22,164.52,3604800.0
2019-08-05,165.18,165.99,160.89,162.01,3295400.0
2019-08-02,168.89,169.05,166.64,168.01,2154700.0
2019-08-01,171.8874,173.81,169.25,169.55,2751600.0
2019-07-31,173.48,173.98,170.17,172.46,2896900.0
2019-07-30,174.22,174.9301,173.34,173.91,1433500.0
2019-07-29,173.86,174.86,173.38,174.53,1519800.0
2019-07-26,173.52,173.73,172.66,173.61,1758900.0
2019-07-25,174.55,174.66,173.01,173.77,1759200.0
2019-07-24,174.25,175.31,173.8,173.96,1751300.0
2019-07-23,175.21,175.59,173.4738,174.86,2081300.0
2019-07-22,173.02,174.49,172.43,173.58,1764200.0
2019-07-19,174.04,175.0,172.92,172.99,3037900.0
2019-07-18,170.6,173.88,169.7,173.88,4128000.0
2019-07-17,174.57,174.65,168.52,168.62,5475500.0
2019-07-16,175.0,175.89,174.3,174.78,1989000.0
2019-07-15,177.3608,177.36,174.53,175.01,1668000.0
2019-07-12,174.75,177.19,174.7435,177.14,2197200.0
2019-07-11,174.83,175.03,173.232,174.54,2426400.0
2019-07-10,176.12,176.94,174.37,174.46,1865600.0
2019-07-09,175.0,175.76,174.59,175.52,1595900.0
2019-07-08,176.3,176.31,174.8,175.67,1573900.0
2019-07-05,177.21,177.45,174.67,176.59,1208800.0
2019-07-03,176.77,178.47,176.21,178.4,1240000.0
2019-07-02,176.99,177.48,176.15,176.62,1407000.0
2019-07-01,176.63,176.99,175.66,176.81,1613600.0
2019-06-28,174.19,175.38,174.0,174.59,3551300.0
2019-06-27,174.08,174.62,173.206,173.84,1811600.0
2019-06-26,174.55,174.79,173.54,173.59,1815800.0
2019-06-25,175.02,175.41,173.63,173.94,1843700.0
2019-06-24,174.29,175.51,174.21,174.61,1795600.0
2019-06-21,176.88,176.8801,173.56,174.31,3813800.0
2019-06-20,176.42,177.36,175.13,176.29,4234300.0
2019-06-19,175.64,176.15,174.25,175.41,2187000.0
2019-06-18,173.56,176.43,173.14,175.75,2883700.0
2019-06-17,173.38,173.5105,172.02,172.36,1646400.0
2019-06-14,172.94,173.51,171.101,172.81,1627600.0
2019-06-13,173.57,173.59,172.33,173.19,1400700.0
2019-06-12,171.86,173.17,171.44,172.9,1570800.0
2019-06-11,172.49,173.41,170.39,171.65,1726700.0
2019-06-10,173.491,173.97,171.1993,171.28,3015800.0
2019-06-07,171.06,173.24,170.93,172.26,2027800.0
2019-06-06,169.47,170.68,168.92,170.26,2229200.0
