,open,high,low,close,volume
2019-10-25,39.41,40.28,39.24,40.25,1326616.0
2019-10-24,39.32,39.47,38.3,39.33,1238100.0
2019-10-23,38.91,39.95,38.2,39.22,1256800.0
2019-10-22,38.68,39.56,37.85,39.16,1182200.0
2019-10-21,36.57,38.68,36.47,38.43,1235100.0
2019-10-18,36.73,37.33,36.35,36.56,1474500.0
2019-10-17,37.91,38.11,36.58,36.65,1836500.0
2019-10-16,37.63,38.25,37.52,37.69,1910900.0
2019-10-15,37.58,38.77,37.41,37.65,1623400.0
2019-10-14,37.57,38.17,36.69,37.85,1038900.0
2019-10-11,37.46,38.87,37.3,38.35,1176100.0
2019-10-10,36.88,37.08,36.21,36.74,1348200.0
2019-10-09,37.27,37.27,36.25,36.4,1902700.0
2019-10-08,36.4,37.27,35.74,36.62,2670500.0
2019-10-07,38.67,38.96,37.18,37.24,2585100.0
2019-10-04,38.76,39.3,38.06,38.31,1198900.0
2019-10-03,38.15,38.84,37.65,38.83,1427900.0
2019-10-02,39.09,39.83,38.3,38.49,1111800.0
2019-10-01,40.48,40.83,39.15,39.2,1068400.0
2019-09-30,39.66,40.23,39.18,40.07,1488200.0
2019-09-27,40.23,41.35,39.94,40.57,1396000.0
2019-09-26,41.08,41.2,40.1,41.07,1219600.0
2019-09-25,39.9,41.35,39.57,41.08,1004900.0
2019-09-24,42.9,42.9,40.39,40.76,1153300.0
2019-09-23,43.0,43.48,42.38,43.33,678600.0
2019-09-20,43.14,43.87,42.87,43.24,2254700.0
2019-09-19,44.33,44.44,42.98,43.01,907900.0
2019-09-18,43.26,44.44,43.02,43.58,1048600.0
2019-09-17,46.84,46.92,43.74,44.06,2534300.0
2019-09-16,44.31,47.45,43.77,47.4,3447600.0
2019-09-13,41.17,41.84,40.75,41.46,965100.0
2019-09-12,40.81,41.63,40.01,40.76,1651800.0
2019-09-11,42.26,43.59,41.58,42.65,1857000.0
2019-09-10,42.26,43.24,41.84,42.16,1705200.0
2019-09-09,38.91,41.78,38.91,41.72,1871100.0
2019-09-06,37.37,38.84,36.78,38.43,2292200.0
2019-09-05,37.63,38.19,37.09,37.61,1660300.0
2019-09-04,37.25,37.61,36.69,37.09,1458500.0
2019-09-03,36.6,36.94,36.06,36.36,1445900.0
2019-08-30,37.47,38.34,37.34,37.59,1527800.0
2019-08-29,37.35,37.91,37.1,37.25,1997200.0
2019-08-28,36.83,37.38,36.48,36.82,2075000.0
2019-08-27,37.39,37.69,36.22,36.65,1924000.0
2019-08-26,37.58,37.91,36.99,37.08,1056300.0
2019-08-23,38.45,39.27,36.87,37.06,1469300.0
2019-08-22,39.57,40.19,39.0,39.04,1240700.0
2019-08-21,39.53,39.91,39.24,39.27,901500.0
2019-08-20,39.64,39.73,38.65,38.96,1246800.0
2019-08-19,40.2,40.33,39.44,39.83,1662400.0
