,open,high,low,close,volume
2019-10-25,15.91,16.2,15.9,16.16,5955256.0
2019-10-24,16.17,16.235,15.675,15.89,8343400.0
2019-10-23,15.9,16.2,15.7,16.02,10984200.0
2019-10-22,16.02,16.09,15.87,15.95,10852100.0
2019-10-21,15.85,16.41,15.79,15.97,19431100.0
2019-10-18,15.23,15.39,15.2,15.35,9987100.0
2019-10-17,15.08,15.29,15.025,15.21,4793500.0
2019-10-16,15.17,15.215,15.04,15.09,5205500.0
2019-10-15,14.94,15.27,14.69,15.14,7585800.0
2019-10-14,14.62,14.95,14.59,14.95,8724200.0
2019-10-11,14.36,14.535,14.28,14.35,6507200.0
2019-10-10,14.01,14.25,13.98,14.11,4448400.0
2019-10-09,13.97,14.225,13.95,14.07,6318600.0
2019-10-08,14.19,14.215,13.82,13.85,11912400.0
2019-10-07,14.4,14.665,14.33,14.35,8194000.0
2019-10-04,14.51,14.51,14.245,14.4,9735000.0
2019-10-03,14.39,14.5,14.05,14.5,5705100.0
2019-10-02,14.53,14.555,14.31,14.44,7444400.0
2019-10-01,15.31,15.395,14.64,14.65,7893900.0
2019-09-30,15.0,15.32,14.99,15.17,11141900.0
2019-09-27,14.74,15.1,14.69,15.0,10224700.0
2019-09-26,14.53,14.7,14.35,14.63,6972100.0
2019-09-25,14.25,14.67,14.19,14.59,8018700.0
2019-09-24,14.43,14.57,14.14,14.25,16093600.0
2019-09-23,14.3,14.485,14.21,14.4,11750000.0
2019-09-20,14.87,14.93,14.35,14.43,19541900.0
2019-09-19,14.79,14.97,14.69,14.85,14516200.0
2019-09-18,14.87,14.99,14.62,14.74,12714800.0
2019-09-17,15.01,15.01,14.75,14.99,7239300.0
2019-09-16,15.19,15.37,15.09,15.12,11458500.0
2019-09-13,15.35,15.4,15.21,15.32,9229000.0
2019-09-12,15.34,15.455,15.1,15.36,8500800.0
2019-09-11,15.15,15.4,14.92,15.37,7938900.0
2019-09-10,14.86,15.17,14.86,15.09,10404700.0
2019-09-09,14.66,15.04,14.63,14.95,12951200.0
2019-09-06,14.47,14.61,14.39,14.57,8599500.0
2019-09-05,13.95,14.5,13.91,14.4,9380500.0
2019-09-04,13.61,13.78,13.53,13.75,6934000.0
2019-09-03,13.67,13.75,13.375,13.49,7907500.0
2019-08-30,13.85,13.92,13.68,13.82,8841100.0
2019-08-29,13.69,13.82,13.63,13.68,11195600.0
2019-08-28,13.5,13.829,13.09,13.37,15022500.0
2019-08-27,13.05,13.17,12.87,12.93,14197700.0
2019-08-26,12.92,13.06,12.79,12.94,8709600.0
2019-08-23,13.03,13.28,12.69,12.75,12131000.0
2019-08-22,13.16,13.32,13.03,13.25,7900700.0
2019-08-21,13.13,13.235,12.94,13.07,7453000.0
2019-08-20,12.94,13.06,12.87,12.94,5084400.0
2019-08-19,12.99,13.22,12.99,13.11,7196200.0
2019-08-16,12.8,12.97,12.52,12.8,10818700.0
2019-08-15,12.88,12.97,12.52,12.68,11024400.0
2019-08-14,13.11,13.16,12.84,12.86,11300900.0
2019-08-13,13.09,13.68,13.03,13.4,11899900.0
2019-08-12,13.24,13.29,13.0,13.08,6964700.0
2019-08-09,13.46,13.551,13.29,13.39,11271600.0
2019-08-08,13.14,13.58,13.1094,13.55,10874400.0
2019-08-07,12.88,13.14,12.77,13.06,8026100.0
2019-08-06,13.1697,13.2,12.92,13.07,9594600.0
2019-08-05,13.02,13.11,12.611,12.9,15207900.0
2019-08-02,13.74,13.84,13.02,13.27,21673400.0
2019-08-01,14.33,14.709,14.105,14.14,7903700.0
2019-07-31,14.63,14.665,14.23,14.37,8325300.0
2019-07-30,14.56,14.76,14.51,14.61,5362900.0
2019-07-29,14.59,14.745,14.56,14.66,6046500.0
2019-07-26,14.54,14.73,14.46,14.63,6893000.0
2019-07-25,14.72,14.72,14.435,14.51,8822700.0
2019-07-24,14.64,14.845,14.59,14.74,8067900.0
2019-07-23,14.4,14.655,14.37,14.61,8771300.0
2019-07-22,14.8,14.87,14.26,14.3,11954800.0
2019-07-19,14.79,14.96,14.78,14.84,5765000.0
2019-07-18,14.61,14.82,14.5988,14.75,8277300.0
2019-07-17,14.8,14.85,14.67,14.69,7100800.0
2019-07-16,14.98,15.03,14.785,14.81,6996500.0
2019-07-15,14.89,15.05,14.87,14.96,4655900.0
2019-07-12,14.64,14.975,14.64,14.91,8061900.0
2019-07-11,14.79,14.875,14.48,14.6,12929500.0
2019-07-10,15.01,15.13,14.76,14.77,7082100.0
2019-07-09,14.92,14.94,14.655,14.87,7482600.0
2019-07-08,15.08,15.08,14.855,15.03,7342700.0
2019-07-05,15.16,15.29,15.025,15.17,6018500.0
2019-07-03,15.07,15.315,15.045,15.29,6049000.0
2019-07-02,15.13,15.22,14.965,15.08,7444700.0
2019-07-01,15.24,15.485,15.0411,15.14,10192800.0
2019-06-28,15.03,15.17,14.94,14.95,20533100.0
2019-06-27,14.99,15.22,14.94,14.97,6214500.0
2019-06-26,14.87,15.12,14.86,14.96,8407600.0
2019-06-25,14.96,15.015,14.75,14.76,8223300.0
2019-06-24,15.02,15.11,14.95,15.01,6810300.0
2019-06-21,15.03,15.06,14.84,14.94,15542100.0
2019-06-20,14.98,15.04,14.74,15.0,10038200.0
2019-06-19,14.67,14.84,14.61,14.71,9637200.0
2019-06-18,14.41,14.74,14.375,14.59,8172200.0
2019-06-17,14.18,14.43,14.11,14.3,9903400.0
2019-06-14,14.25,14.25,14.05,14.15,5930300.0
2019-06-13,14.21,14.3607,14.17,14.35,7195300.0
2019-06-12,14.2501,14.31,14.11,14.14,5917600.0
2019-06-11,14.27,14.409,14.11,14.26,7146300.0
2019-06-10,14.18,14.39,14.18,14.26,8844800.0
2019-06-07,13.98,14.16,13.89,14.09,8912000.0
2019-06-06,13.99,14.055,13.69,13.99,10444300.0
