,open,high,low,close,volume
2019-10-25,24.9,25.285,24.795,25.18,1805492.0
2019-10-24,24.69,24.88,24.39,24.87,1720300.0
2019-10-23,24.35,24.77,24.15,24.61,3094700.0
2019-10-22,23.76,24.38,23.74,24.35,2382900.0
2019-10-21,23.38,23.8,23.38,23.73,2959900.0
2019-10-18,23.66,23.75,23.27,23.28,2109000.0
2019-10-17,23.66,23.85,23.55,23.72,1948800.0
2019-10-16,23.46,23.66,23.32,23.6,3150800.0
2019-10-15,23.66,23.75,22.99,23.44,4009700.0
2019-10-14,23.56,23.78,23.51,23.61,2049600.0
2019-10-11,23.76,23.9,23.58,23.63,2213100.0
2019-10-10,23.26,23.8,23.26,23.63,2906900.0
2019-10-09,23.19,23.4,23.09,23.26,2717300.0
2019-10-08,23.47,23.47,23.01,23.11,2405300.0
2019-10-07,23.32,23.7,23.29,23.56,3130900.0
2019-10-04,23.66,23.66,23.11,23.4,2206800.0
2019-10-03,23.29,23.56,23.11,23.55,2635300.0
2019-10-02,23.29,23.54,23.19,23.43,3909200.0
2019-10-01,23.64,23.88,23.37,23.39,2465400.0
2019-09-30,23.24,23.71,23.24,23.62,3359100.0
2019-09-27,23.74,23.86,23.16,23.33,3382300.0
2019-09-26,23.56,23.65,23.42,23.64,2356300.0
2019-09-25,23.72,23.85,23.52,23.56,2155400.0
2019-09-24,23.82,23.92,23.52,23.7,2314800.0
2019-09-23,23.35,23.88,23.25,23.74,2269500.0
2019-09-20,23.85,23.89,23.42,23.42,4488200.0
2019-09-19,24.11,24.11,23.68,23.75,2260100.0
2019-09-18,24.05,24.17,23.81,24.05,3015000.0
2019-09-17,24.04,24.23,23.96,24.05,2895600.0
2019-09-16,24.02,24.16,23.92,24.06,2278500.0
2019-09-13,24.1,24.64,24.1,24.17,2581600.0
2019-09-12,24.51,24.64,24.09,24.09,2937000.0
2019-09-11,24.35,24.66,24.31,24.64,3696400.0
2019-09-10,24.1,24.52,24.0,24.45,5635500.0
2019-09-09,24.17,24.29,23.97,24.2,4465300.0
2019-09-06,24.34,24.5,24.1,24.14,3506000.0
2019-09-05,24.32,24.37,24.08,24.24,3382100.0
2019-09-04,24.32,24.38,24.07,24.18,5540900.0
2019-09-03,24.11,24.52,24.05,24.26,6135700.0
2019-08-30,24.23,24.54,23.9,24.22,5237200.0
2019-08-29,25.96,26.04,23.87,24.37,9770100.0
2019-08-28,26.8,27.18,26.71,26.88,4137600.0
2019-08-27,27.25,27.28,26.61,26.9,3691900.0
2019-08-26,26.92,27.35,26.92,27.16,3187500.0
2019-08-23,27.13,27.27,26.62,26.71,2912000.0
2019-08-22,27.12,27.31,27.02,27.2,2166000.0
2019-08-21,27.32,27.36,26.93,27.05,2448200.0
2019-08-20,27.63,27.71,27.12,27.21,2089600.0
2019-08-19,27.81,27.84,27.67,27.68,1815200.0
2019-08-16,27.38,27.7,27.1,27.52,2647200.0
2019-08-15,27.24,27.51,27.1,27.25,2176200.0
2019-08-14,27.48,27.515,27.125,27.18,2103700.0
2019-08-13,27.07,27.86,26.98,27.78,2575700.0
2019-08-12,27.37,27.46,26.9707,27.09,2320500.0
2019-08-09,27.6,27.63,27.195,27.47,2435100.0
2019-08-08,27.26,27.74,27.22,27.7,2952400.0
2019-08-07,26.75,27.1593,26.58,27.1,2143800.0
2019-08-06,26.74,26.94,26.63,26.91,1796000.0
2019-08-05,27.38,27.4,26.52,26.7,2101800.0
2019-08-02,27.47,27.63,27.23,27.47,1349700.0
2019-08-01,27.73,28.08,27.4,27.47,2142800.0
2019-07-31,27.81,27.92,27.58,27.69,2771800.0
2019-07-30,27.75,27.98,27.57,27.86,1947800.0
2019-07-29,27.51,27.8687,27.49,27.79,1505400.0
2019-07-26,27.46,27.61,27.36,27.45,1680300.0
2019-07-25,27.9,27.9,27.42,27.44,3249100.0
