,open,high,low,close,volume
2019-10-25,40.61,40.785,40.4,40.57,1756871.0
2019-10-24,40.7,40.95,40.56,40.87,997400.0
2019-10-23,40.55,40.82,40.55,40.78,1203700.0
2019-10-22,40.72,40.81,40.49,40.53,1459800.0
2019-10-21,40.81,40.94,40.6,40.64,1457900.0
2019-10-18,40.71,40.93,40.49,40.81,1561000.0
2019-10-17,40.45,40.94,40.26,40.86,2544100.0
2019-10-16,41.22,41.3,40.48,40.56,1891900.0
2019-10-15,41.01,41.16,40.71,41.01,2594400.0
2019-10-14,41.27,41.42,40.9,40.97,1979000.0
2019-10-11,41.66,41.67,41.12,41.16,3386500.0
2019-10-10,42.69,42.79,41.67,41.67,3870800.0
2019-10-09,43.07,43.09,42.63,42.84,2828700.0
2019-10-08,43.7,43.83,43.06,43.08,2296700.0
2019-10-07,43.54,43.88,43.52,43.7,2778100.0
2019-10-04,43.15,43.75,42.97,43.74,1850900.0
2019-10-03,43.16,43.42,42.84,43.05,1975400.0
2019-10-02,43.55,43.99,42.61,42.74,2680800.0
2019-10-01,43.78,43.91,43.46,43.62,2030400.0
2019-09-30,43.61,43.88,43.48,43.73,1886300.0
2019-09-27,43.67,43.73,43.32,43.54,1441300.0
2019-09-26,43.49,43.68,43.21,43.54,1751500.0
2019-09-25,43.04,43.42,42.99,43.3,2208000.0
2019-09-24,42.89,43.04,42.65,42.96,3570900.0
2019-09-23,43.03,43.4,42.58,42.6,1615500.0
2019-09-20,43.07,43.17,42.73,42.94,2571600.0
2019-09-19,43.02,43.24,42.77,42.96,1584300.0
2019-09-18,43.39,43.69,42.56,42.96,1831200.0
2019-09-17,42.81,43.49,42.71,43.17,1464200.0
2019-09-16,42.84,43.0,42.41,42.83,1613400.0
2019-09-13,43.72,44.18,42.81,42.98,3139300.0
2019-09-12,44.5,44.73,43.85,44.0,3139200.0
2019-09-11,43.6,44.57,43.39,44.54,3289400.0
2019-09-10,42.47,43.68,42.47,43.67,2444400.0
2019-09-09,42.68,42.94,42.39,42.91,1764700.0
2019-09-06,42.69,42.76,42.41,42.6,1474600.0
2019-09-05,42.87,42.93,42.36,42.55,2391300.0
2019-09-04,42.83,43.14,42.33,42.53,2857300.0
2019-09-03,42.42,42.89,42.18,42.84,2305200.0
2019-08-30,42.73,43.0,42.42,42.61,1643600.0
2019-08-29,42.5,42.63,42.07,42.45,1778900.0
2019-08-28,42.47,42.68,42.19,42.3,1830000.0
2019-08-27,42.61,42.7,42.17,42.41,2555200.0
2019-08-26,42.27,42.63,41.73,42.63,3037600.0
2019-08-23,42.7,42.75,41.4,42.0,3552300.0
2019-08-22,42.25,43.09,41.17,42.95,5667000.0
2019-08-21,41.09,41.23,40.63,40.97,3832300.0
2019-08-20,41.08,41.45,40.78,40.9,3030100.0
2019-08-19,41.67,41.74,40.92,41.21,3038300.0
2019-08-16,41.5,41.6,40.74,41.45,2270700.0
2019-08-15,40.9304,41.49,40.74,41.39,2072700.0
2019-08-14,41.66,41.7,40.68,40.69,2461200.0
2019-08-13,41.92,42.406,41.67,41.79,3102400.0
2019-08-12,41.6,41.955,41.5,41.83,2406000.0
2019-08-09,41.8,42.16,41.67,41.71,2802900.0
2019-08-08,40.89,41.9,40.71,41.78,3123500.0
2019-08-07,40.47,41.06,40.16,40.89,4404000.0
2019-08-06,40.8,40.8,40.2002,40.52,3248100.0
2019-08-05,41.37,41.77,40.53,40.73,3509000.0
2019-08-02,41.32,41.87,41.19,41.36,3697600.0
2019-08-01,41.17,42.04,41.02,41.23,3225500.0
2019-07-31,41.45,41.74,40.56,40.99,2202400.0
2019-07-30,41.51,41.85,41.36,41.63,1300600.0
2019-07-29,41.38,41.71,41.15,41.44,1256600.0
2019-07-26,40.95,41.56,40.8,41.38,1424200.0
2019-07-25,40.3,40.93,40.06,40.83,1882600.0
2019-07-24,41.03,41.16,40.3,40.41,3422200.0
2019-07-23,41.4407,41.53,41.1,41.15,1793900.0
2019-07-22,41.22,41.65,41.21,41.36,1734900.0
2019-07-19,41.78,41.87,41.21,41.26,1501100.0
2019-07-18,41.3,41.94,41.1,41.79,1828000.0
2019-07-17,41.3,41.31,40.94,41.2,1895300.0
2019-07-16,41.2615,41.49,41.05,41.23,2223700.0
2019-07-15,41.0,41.27,40.85,41.24,1078100.0
2019-07-12,41.15,41.19,40.82,41.01,1497800.0
2019-07-11,41.4,41.4,40.8,41.22,2114900.0
2019-07-10,41.11,41.32,40.9,41.3,2007400.0
2019-07-09,41.32,41.41,41.02,41.18,2328200.0
2019-07-08,41.52,41.69,41.09,41.37,1547000.0
2019-07-05,41.55,41.56,41.24,41.5,1082600.0
2019-07-03,41.43,41.98,41.31,41.77,1222500.0
2019-07-02,41.0,41.22,40.82,41.2,1679200.0
2019-07-01,40.73,40.98,40.54,40.91,2318500.0
2019-06-28,40.32,40.665,40.22,40.54,2901200.0
2019-06-27,40.29,40.44,39.82,40.27,1350500.0
2019-06-26,40.2,40.41,39.68,40.13,4340300.0
2019-06-25,42.07,42.07,40.5,40.5,5116700.0
2019-06-24,41.5,42.28,41.36,42.14,3532200.0
2019-06-21,41.48,41.75,41.3,41.41,3176400.0
2019-06-20,41.22,41.59,40.875,41.56,2411900.0
2019-06-19,40.92,41.3052,40.31,41.18,2374600.0
2019-06-18,41.09,41.205,40.62,40.87,2053400.0
2019-06-17,41.45,41.594,40.67,40.96,2045900.0
2019-06-14,41.81,41.895,41.385,41.43,1680300.0
2019-06-13,41.52,41.945,41.5,41.75,2733700.0
2019-06-12,41.95,42.2,41.42,41.55,2361700.0
2019-06-11,41.45,42.01,41.45,41.84,2546200.0
2019-06-10,42.03,42.2,41.27,41.47,2573200.0
2019-06-07,41.73,42.23,41.67,42.05,2936400.0
2019-06-06,41.35,41.59,41.19,41.49,2268700.0
