,open,high,low,close,volume
2019-10-25,61.79,62.675,61.7251,62.25,680828.0
2019-10-24,62.97,63.18,61.75,61.94,900100.0
2019-10-23,62.49,63.63,62.44,63.25,1064700.0
2019-10-22,63.2,63.2,62.26,62.49,956100.0
2019-10-21,62.97,63.48,62.63,62.9,980200.0
2019-10-18,63.63,64.26,62.77,62.81,1255700.0
2019-10-17,62.9,63.83,62.66,63.55,1177600.0
2019-10-16,61.82,63.46,61.64,62.45,1627500.0
2019-10-15,61.57,62.07,61.12,61.84,905500.0
2019-10-14,63.0,63.0,61.33,61.36,919800.0
2019-10-11,63.17,63.73,62.84,62.94,926300.0
2019-10-10,62.26,62.91,61.91,62.38,765300.0
2019-10-09,62.52,62.53,61.43,62.11,778700.0
2019-10-08,62.51,62.69,61.89,62.13,953800.0
2019-10-07,62.72,63.16,62.45,62.88,584700.0
2019-10-04,62.27,62.95,61.95,62.93,869300.0
2019-10-03,61.78,62.33,60.94,61.85,790800.0
2019-10-02,62.93,63.03,61.01,61.78,945500.0
2019-10-01,63.32,63.96,62.73,63.05,871000.0
2019-09-30,62.92,63.77,62.54,63.5,964300.0
2019-09-27,61.97,62.81,61.61,62.58,810000.0
2019-09-26,62.59,62.59,61.04,61.62,752900.0
2019-09-25,60.93,62.29,60.86,62.23,659100.0
2019-09-24,62.48,62.72,60.84,61.06,951600.0
2019-09-23,62.65,62.97,61.86,62.33,669900.0
2019-09-20,62.75,63.41,62.4,62.85,1671300.0
2019-09-19,63.02,63.78,63.02,63.15,651800.0
2019-09-18,62.77,63.25,62.51,62.87,938600.0
2019-09-17,65.24,65.75,62.72,62.76,1363200.0
2019-09-16,63.81,65.24,63.69,65.12,1006200.0
2019-09-13,65.21,65.61,64.09,64.32,1323400.0
2019-09-12,66.02,66.57,65.0,65.03,1473400.0
2019-09-11,63.9,65.85,63.51,65.84,1479300.0
2019-09-10,62.42,64.24,62.37,63.9,1523200.0
2019-09-09,61.79,62.75,61.69,62.61,909600.0
2019-09-06,62.0,62.0,60.51,61.56,1463500.0
2019-09-05,61.45,62.04,61.25,61.83,928200.0
2019-09-04,62.0,62.55,61.0,61.06,713100.0
2019-09-03,61.32,62.0,60.98,61.56,1139700.0
2019-08-30,61.51,61.93,61.2,61.62,1104700.0
2019-08-29,61.02,61.5,60.66,61.35,1003300.0
2019-08-28,60.4,60.88,60.15,60.5,1209900.0
2019-08-27,60.8,61.26,60.06,60.46,1277100.0
2019-08-26,59.75,60.72,59.72,60.71,849500.0
2019-08-23,60.59,61.3,59.25,59.46,1095000.0
2019-08-22,61.42,61.74,60.36,60.71,902800.0
2019-08-21,61.46,61.6,61.15,61.32,960100.0
2019-08-20,62.11,62.16,61.05,61.26,1264800.0
2019-08-19,62.23,62.5,62.05,62.12,855900.0
2019-08-16,61.92,62.52,61.42,61.75,1030100.0
2019-08-15,61.41,63.19,61.01,61.54,1794700.0
2019-08-14,61.73,61.99,60.85,61.06,2071200.0
2019-08-13,62.0922,63.33,61.99,62.28,1736900.0
2019-08-12,62.96,63.39,62.39,62.62,1168400.0
2019-08-09,62.57,63.4896,62.32,63.03,1419000.0
2019-08-08,62.82,62.89,61.95,62.58,1262500.0
2019-08-07,60.17,62.8335,60.013,62.46,3178800.0
2019-08-06,60.0,63.0,59.72,61.76,3141900.0
2019-08-05,65.18,65.92,64.33,64.54,2026800.0
2019-08-02,66.58,66.88,65.46,65.9,1262800.0
2019-08-01,65.99,67.14,65.01,66.62,1303000.0
2019-07-31,69.05,69.48,66.04,66.54,1669700.0
2019-07-30,67.66,68.915,67.49,68.88,806000.0
2019-07-29,67.66,68.2655,67.63,68.18,879200.0
2019-07-26,67.76,67.87,67.12,67.8,867500.0
2019-07-25,67.49,67.6,66.97,67.39,798500.0
2019-07-24,67.31,67.8,67.03,67.63,819100.0
2019-07-23,67.12,67.69,66.69,67.5,938700.0
2019-07-22,67.7323,67.73,66.53,66.78,1119000.0
2019-07-19,69.0,69.76,67.46,67.5,1353700.0
2019-07-18,69.33,69.33,68.37,68.88,1109800.0
2019-07-17,70.03,70.46,69.31,69.33,1137500.0
2019-07-16,71.4971,71.53,69.7,69.93,2760300.0
2019-07-15,70.59,71.63,70.29,71.35,1526900.0
2019-07-12,69.66,71.32,69.05,70.58,2144100.0
2019-07-11,69.56,70.79,68.93,69.45,1560700.0
2019-07-10,69.0,69.55,68.8,69.23,925100.0
2019-07-09,68.97,69.18,68.61,68.9,1081800.0
2019-07-08,69.11,69.11,68.4,68.94,826900.0
2019-07-05,68.82,69.28,68.07,69.16,971700.0
2019-07-03,68.9,69.8543,68.9,69.23,832000.0
2019-07-02,69.71,69.71,68.625,68.87,1000000.0
2019-07-01,70.28,71.5,69.28,69.5,1591300.0
2019-06-28,69.5563,70.02,68.95,69.9,1774700.0
2019-06-27,68.8862,69.48,68.74,69.15,1311000.0
2019-06-26,69.33,69.62,68.483,68.89,1282200.0
2019-06-25,69.92,70.32,69.24,69.32,1481000.0
2019-06-24,70.04,70.33,69.39,69.92,1143100.0
2019-06-21,71.1,71.1,68.87,69.88,2531600.0
2019-06-20,72.43,72.52,70.6,70.94,1446700.0
2019-06-19,72.17,72.56,71.685,72.06,1231800.0
2019-06-18,72.07,72.81,71.45,72.04,1057700.0
2019-06-17,71.29,71.51,70.75,71.42,642900.0
2019-06-14,71.36,71.75,70.75,71.28,654500.0
2019-06-13,71.68,71.785,71.08,71.39,669800.0
2019-06-12,71.05,71.96,70.54,71.63,1342500.0
2019-06-11,71.25,71.56,69.99,71.12,1376000.0
2019-06-10,69.73,71.2,69.4,70.74,991300.0
2019-06-07,68.99,70.57,68.99,69.76,1698000.0
2019-06-06,67.35,69.13,67.28,68.72,1493600.0
