,open,high,low,close,volume
2019-10-25,16.66,16.73,16.58,16.68,3758406.0
2019-10-24,16.9,16.96,16.69,16.79,4083200.0
2019-10-23,16.81,16.92,16.73,16.85,7111500.0
2019-10-22,16.79,16.81,16.6,16.78,4288500.0
2019-10-21,16.52,16.81,16.49,16.8,5118100.0
2019-10-18,16.37,16.5,16.26,16.44,4994700.0
2019-10-17,16.42,16.5,16.28,16.42,4754000.0
2019-10-16,16.35,16.56,16.23,16.35,4531000.0
2019-10-15,16.38,16.56,16.3,16.41,4844200.0
2019-10-14,16.59,16.62,16.16,16.31,5420800.0
2019-10-11,16.69,17.05,16.63,16.66,8320800.0
2019-10-10,16.52,16.66,16.43,16.51,4878000.0
2019-10-09,16.53,16.6,16.36,16.43,6882800.0
2019-10-08,16.72,16.77,16.43,16.45,6093300.0
2019-10-07,16.61,16.93,16.56,16.8,7594900.0
2019-10-04,16.67,16.76,16.5,16.62,5944800.0
2019-10-03,16.55,16.71,16.32,16.65,8623900.0
2019-10-02,16.87,16.99,16.58,16.59,9104600.0
2019-10-01,17.37,17.39,16.97,16.98,5150400.0
2019-09-30,17.14,17.46,17.13,17.29,8606100.0
2019-09-27,16.8,17.11,16.72,17.11,9952000.0
2019-09-26,17.11,17.15,16.84,16.9,8984100.0
2019-09-25,17.13,17.24,17.05,17.06,9790700.0
2019-09-24,17.29,17.35,17.01,17.1,7362300.0
2019-09-23,17.04,17.36,17.04,17.22,5433200.0
2019-09-20,17.3,17.4,17.17,17.24,10822800.0
2019-09-19,17.33,17.44,17.22,17.27,4273400.0
2019-09-18,17.28,17.36,17.18,17.3,5597500.0
2019-09-17,17.38,17.41,17.21,17.25,7303500.0
2019-09-16,17.22,17.47,17.21,17.41,7781200.0
2019-09-13,17.21,17.47,17.2,17.32,8476400.0
2019-09-12,17.46,17.51,16.95,17.08,8777600.0
2019-09-11,17.5,17.59,17.21,17.42,6886900.0
2019-09-10,17.13,17.44,17.13,17.43,8803500.0
2019-09-09,16.68,17.14,16.59,17.14,6115800.0
2019-09-06,16.7,16.82,16.61,16.66,8090700.0
2019-09-05,16.43,16.74,16.37,16.72,14782900.0
2019-09-04,16.16,16.38,16.16,16.34,10226800.0
2019-09-03,15.91,16.04,15.82,16.03,5787800.0
2019-08-30,16.01,16.14,15.93,16.04,6300600.0
2019-08-29,15.94,16.2,15.94,15.98,5924000.0
2019-08-28,15.72,15.91,15.71,15.78,7680800.0
2019-08-27,15.84,15.94,15.69,15.74,6958000.0
2019-08-26,15.8,15.94,15.71,15.77,4894900.0
2019-08-23,16.02,16.08,15.65,15.69,8621600.0
2019-08-22,15.91,16.11,15.82,16.09,4361600.0
2019-08-21,16.09,16.09,15.87,15.94,5716600.0
2019-08-20,15.93,16.02,15.87,15.95,7209200.0
2019-08-19,16.04,16.06,15.95,15.99,4919000.0
2019-08-16,15.66,15.93,15.51,15.85,6919800.0
2019-08-15,15.8,15.87,15.51,15.6,10447100.0
2019-08-14,16.32,16.36,15.78,15.82,8815900.0
