,open,high,low,close,volume
2019-10-25,287.57,289.22,285.52,288.09,447681.0
2019-10-24,290.67,291.5,285.47,286.61,648500.0
2019-10-23,288.37,293.17,287.27,290.21,642800.0
2019-10-22,286.38,293.41,285.88,290.11,785300.0
2019-10-21,289.26,290.02,286.69,287.15,850500.0
2019-10-18,288.15,290.0,282.82,289.26,1884800.0
2019-10-17,276.2,285.71,275.94,285.5,1519300.0
2019-10-16,275.51,277.11,274.08,275.37,955700.0
2019-10-15,269.44,277.42,269.29,276.64,1338000.0
2019-10-14,265.53,266.09,263.37,264.0,840000.0
2019-10-11,263.77,269.52,263.11,266.26,1258300.0
2019-10-10,257.41,262.19,254.72,261.15,1201000.0
2019-10-09,255.13,257.06,253.44,253.8,738700.0
2019-10-08,252.95,253.92,250.52,253.17,962300.0
2019-10-07,255.99,257.09,254.45,255.24,865200.0
2019-10-04,253.94,256.65,253.01,256.06,744300.0
2019-10-03,255.24,256.48,251.48,253.56,936400.0
2019-10-02,253.61,259.09,252.75,255.49,1014700.0
2019-10-01,255.95,256.71,248.64,254.38,1319200.0
2019-09-30,253.01,258.0,252.09,255.67,1390300.0
2019-09-27,264.53,266.97,256.62,257.59,1092100.0
2019-09-26,268.1,268.65,258.42,263.92,2324100.0
2019-09-25,274.59,277.42,265.18,267.69,1660600.0
2019-09-24,277.87,279.25,273.56,274.97,700900.0
2019-09-23,275.67,279.01,274.08,277.3,744700.0
2019-09-20,279.6,282.39,276.76,277.28,994100.0
2019-09-19,273.8,279.74,273.24,278.41,871500.0
2019-09-18,273.17,276.01,271.66,273.13,629800.0
2019-09-17,278.28,278.79,272.35,273.78,861300.0
2019-09-16,271.95,280.39,271.95,278.28,726000.0
2019-09-13,270.4,279.74,270.4,274.69,943000.0
2019-09-12,277.45,278.92,267.78,268.38,1423500.0
2019-09-11,276.2,278.32,272.12,276.81,1066200.0
2019-09-10,276.47,280.84,275.71,276.85,1089100.0
2019-09-09,273.43,278.15,272.27,275.69,816400.0
2019-09-06,274.44,277.68,273.04,273.51,598600.0
2019-09-05,277.85,278.75,271.39,274.71,859400.0
2019-09-04,282.74,283.99,272.72,274.18,1008200.0
2019-09-03,282.48,282.84,277.65,280.36,716100.0
2019-08-30,281.0,284.71,279.86,283.21,633000.0
2019-08-29,278.88,280.96,276.62,279.49,1093800.0
2019-08-28,272.06,279.98,270.72,276.08,859400.0
2019-08-27,289.12,290.51,271.94,272.06,1665200.0
2019-08-26,289.0,290.6,287.45,288.79,539100.0
