,open,high,low,close,volume
2019-10-25,92.83,93.41,91.93,91.96,1392210.0
2019-10-24,92.82,93.94,92.82,92.91,1657400.0
2019-10-23,91.76,93.27,91.76,92.93,1995500.0
2019-10-22,93.27,94.34,91.81,91.87,2511800.0
2019-10-21,94.54,94.57,93.15,93.33,2259400.0
2019-10-18,94.43,94.81,93.93,94.4,2177500.0
2019-10-17,93.93,94.55,93.79,94.28,1598500.0
2019-10-16,93.66,93.87,92.42,93.6,2043600.0
2019-10-15,93.98,94.17,93.17,93.3,2127500.0
2019-10-14,94.11,94.63,93.16,93.5,1467000.0
2019-10-11,95.56,95.56,93.81,93.94,2536100.0
2019-10-10,93.75,95.28,93.75,94.74,2741600.0
2019-10-09,93.66,94.37,93.39,94.13,1809200.0
2019-10-08,93.96,94.29,92.93,92.94,1421300.0
2019-10-07,93.65,94.77,93.4,94.36,2304300.0
2019-10-04,91.76,94.07,91.53,94.0,1608000.0
2019-10-03,90.35,91.36,89.94,91.35,1720800.0
2019-10-02,92.0,92.2,90.22,90.43,2064900.0
2019-10-01,92.2,92.8,91.72,92.33,2361600.0
2019-09-30,92.73,92.94,91.93,92.27,2087300.0
2019-09-27,94.5,94.91,92.06,92.4,2552700.0
2019-09-26,93.63,94.23,93.0,94.17,2138700.0
2019-09-25,93.14,93.56,92.08,93.38,1440000.0
2019-09-24,92.82,93.92,92.39,92.9,1526600.0
2019-09-23,92.36,92.82,92.17,92.5,1291200.0
2019-09-20,93.86,93.9,92.06,92.33,3194200.0
2019-09-19,93.07,94.04,92.69,93.53,1380100.0
2019-09-18,94.45,94.62,92.21,93.33,1649900.0
2019-09-17,92.33,94.05,92.33,93.25,2455600.0
2019-09-16,91.0,94.22,90.66,91.88,3139600.0
2019-09-13,90.27,90.96,89.27,90.83,2066300.0
2019-09-12,89.25,90.64,89.25,90.3,2527800.0
2019-09-11,90.57,90.72,88.99,89.06,2431100.0
2019-09-10,91.88,91.94,89.04,90.12,2814700.0
2019-09-09,95.55,95.55,91.6,92.18,2753100.0
2019-09-06,95.0,95.52,94.68,94.89,1573100.0
2019-09-05,95.04,95.45,94.25,94.73,2331300.0
2019-09-04,94.19,94.88,93.76,94.26,1303300.0
2019-09-03,93.12,93.8,93.09,93.77,1871600.0
2019-08-30,93.5,93.77,92.68,93.48,1473600.0
2019-08-29,93.5,93.88,92.47,92.78,1591800.0
2019-08-28,93.0,93.28,92.17,93.27,1741500.0
2019-08-27,92.7,93.31,92.46,93.12,1816700.0
2019-08-26,92.11,92.54,91.56,92.51,1124200.0
2019-08-23,92.5,92.8,90.95,91.44,2116900.0
2019-08-22,93.0,93.33,91.95,92.52,1721200.0
2019-08-21,92.23,92.75,91.97,92.72,1339400.0
2019-08-20,92.8,93.12,91.93,92.03,1303100.0
2019-08-19,92.55,93.15,92.19,92.85,1649600.0
2019-08-16,90.9315,91.95,89.64,91.67,1922500.0
2019-08-15,89.9,90.86,89.64,90.5,1365400.0
2019-08-14,90.9,91.91,89.26,89.27,2074600.0
2019-08-13,90.41,92.25,90.12,92.01,1971100.0
2019-08-12,92.39,92.42,90.48,90.59,2009800.0
2019-08-09,92.25,93.4,91.94,92.88,1693600.0
2019-08-08,91.16,92.135,90.47,91.91,1590900.0
2019-08-07,89.7033,91.17,88.92,90.85,1913200.0
2019-08-06,88.77,90.6,88.25,90.57,2326200.0
2019-08-05,89.51,90.24,88.28,88.42,3134600.0
2019-08-02,89.15,90.68,88.5,90.42,2635000.0
2019-08-01,87.02,89.39,85.79,89.2,3272500.0
2019-07-31,87.96,88.48,87.37,87.86,2533300.0
2019-07-30,88.0706,88.8,87.79,87.87,1382800.0
2019-07-29,89.56,89.5625,87.98,88.18,2194500.0
2019-07-26,89.66,89.86,89.14,89.59,1548500.0
2019-07-25,89.35,89.92,89.01,89.59,1664500.0
2019-07-24,90.54,90.66,87.1,89.25,4039400.0
2019-07-23,90.69,91.08,89.97,90.9,2011400.0
2019-07-22,90.21,91.06,89.17,90.71,1671800.0
2019-07-19,91.79,91.82,90.7,90.77,1510500.0
2019-07-18,90.87,91.64,90.76,91.54,1859200.0
2019-07-17,91.57,91.9,90.78,90.92,1612200.0
2019-07-16,91.96,92.31,91.3,91.77,1176800.0
2019-07-15,91.79,91.92,91.07,91.89,1291100.0
2019-07-12,91.5,91.7353,91.07,91.55,1773200.0
2019-07-11,90.6,91.77,90.22,91.73,2727700.0
2019-07-10,89.42,90.46,89.39,90.29,1837600.0
2019-07-09,89.2,89.64,89.05,89.6,1652800.0
2019-07-08,89.35,89.58,88.86,89.41,1722900.0
2019-07-05,88.82,89.59,88.46,89.52,1799300.0
2019-07-03,87.61,88.66,87.5404,88.59,1665600.0
2019-07-02,86.15,87.38,86.15,87.38,1779500.0
2019-07-01,86.69,86.74,85.705,86.16,1579300.0
2019-06-28,85.51,85.94,85.25,85.94,3252900.0
2019-06-27,85.09,86.02,84.9323,85.51,1434600.0
2019-06-26,86.6,86.6,84.4961,84.52,1987900.0
2019-06-25,86.55,86.67,85.895,86.53,1738800.0
2019-06-24,86.59,87.12,86.42,86.6,2043400.0
2019-06-21,86.67,87.26,86.36,86.77,4287900.0
2019-06-20,85.4374,86.65,85.43,86.43,1721900.0
2019-06-19,84.94,85.59,84.77,85.48,1493100.0
2019-06-18,84.3467,84.87,84.05,84.69,1682400.0
2019-06-17,85.16,85.38,83.95,84.04,1927100.0
2019-06-14,84.69,85.105,84.46,84.93,1248400.0
2019-06-13,85.46,85.46,84.25,84.57,1505400.0
2019-06-12,84.93,85.48,84.75,85.48,1431000.0
2019-06-11,86.52,86.78,84.6779,84.94,1747900.0
2019-06-10,85.9,86.46,85.53,86.08,2669100.0
2019-06-07,85.29,85.85,85.2761,85.38,1633200.0
2019-06-06,85.1,85.47,84.63,85.19,1815300.0
