,open,high,low,close,volume
2019-10-25,268.63,271.105,268.11,268.29,337147.0
2019-10-24,267.99,271.86,266.71,268.33,411800.0
2019-10-23,270.76,273.65,266.72,267.93,372000.0
2019-10-22,279.07,280.02,270.72,270.84,230900.0
2019-10-21,285.44,285.45,278.1,278.88,239200.0
2019-10-18,282.45,283.44,280.48,282.83,294900.0
2019-10-17,281.05,282.82,278.61,282.13,187400.0
2019-10-16,280.06,281.46,277.05,279.57,279600.0
2019-10-15,277.58,282.6,276.82,282.26,236300.0
2019-10-14,277.35,279.2,275.02,275.68,165700.0
2019-10-11,276.38,279.04,275.0,276.8,262100.0
2019-10-10,270.28,274.08,268.45,272.24,178900.0
2019-10-09,268.91,273.08,268.91,271.91,214000.0
2019-10-08,270.69,271.6,265.9,267.72,272000.0
2019-10-07,274.92,276.42,271.4,272.05,359900.0
2019-10-04,272.09,277.18,272.09,276.6,275600.0
2019-10-03,267.53,271.49,265.18,270.03,327600.0
2019-10-02,266.84,270.08,264.07,268.71,726400.0
2019-10-01,273.4,275.45,265.79,268.98,390800.0
2019-09-30,272.48,274.79,270.21,271.93,459300.0
2019-09-27,276.38,276.38,270.57,272.48,263400.0
2019-09-26,274.63,277.24,272.02,275.06,281500.0
2019-09-25,272.5,275.7,270.42,274.8,323200.0
2019-09-24,277.76,279.44,271.34,272.13,670500.0
2019-09-23,272.4,277.06,271.21,275.79,477100.0
2019-09-20,272.42,276.54,272.23,274.17,524500.0
2019-09-19,273.63,276.37,273.23,273.79,237100.0
2019-09-18,271.58,275.35,269.01,272.73,362700.0
2019-09-17,266.27,272.47,266.27,271.86,379400.0
2019-09-16,262.91,267.35,261.86,265.64,308900.0
2019-09-13,270.59,271.69,264.95,265.47,465100.0
2019-09-12,272.6,274.47,270.87,271.05,382800.0
2019-09-11,270.04,274.55,268.42,270.99,439000.0
2019-09-10,265.04,267.76,257.01,267.63,531600.0
2019-09-09,289.05,289.05,266.3,267.2,648600.0
2019-09-06,289.95,290.98,288.21,288.47,273100.0
2019-09-05,291.21,291.64,287.77,289.93,353700.0
2019-09-04,288.21,289.24,284.73,288.9,408600.0
2019-09-03,288.89,290.42,283.53,286.08,326100.0
2019-08-30,291.05,291.05,287.22,289.74,300600.0
2019-08-29,288.1,290.85,286.34,289.29,331500.0
2019-08-28,282.62,287.08,281.01,285.56,456400.0
2019-08-27,279.04,285.14,277.07,284.77,612700.0
2019-08-26,273.84,277.28,272.5,277.13,529200.0
2019-08-23,279.25,281.93,269.23,270.44,427800.0
2019-08-22,282.26,282.26,276.09,279.88,190600.0
2019-08-21,282.88,284.15,280.13,280.96,180800.0
2019-08-20,279.92,283.41,277.31,281.41,337600.0
2019-08-19,278.77,280.22,276.26,279.53,246600.0
2019-08-16,276.29,279.24,274.23,275.41,375600.0
2019-08-15,272.36,276.56,270.51,273.07,321800.0
2019-08-14,276.97,278.41,269.76,269.81,426400.0
2019-08-13,274.29,281.13,274.08,280.91,381500.0
2019-08-12,278.12,279.48,274.11,275.78,296200.0
2019-08-09,274.44,280.5567,274.13,278.86,430200.0
2019-08-08,269.89,276.03,269.89,275.57,384200.0
2019-08-07,267.34,269.75,262.91,267.87,390800.0
2019-08-06,262.21,270.9,262.2,270.38,625000.0
2019-08-05,264.13,266.21,256.27,260.07,624400.0
2019-08-02,268.8686,272.52,265.02,268.71,452700.0
2019-08-01,268.51,281.28,259.73,268.3,1091100.0
2019-07-31,286.49,286.88,278.6717,282.05,448800.0
2019-07-30,283.44,286.41,283.19,286.05,285300.0
2019-07-29,284.33,285.07,281.04,284.91,335900.0
2019-07-26,285.22,285.65,282.68,283.94,239000.0
2019-07-25,284.21,285.15,282.2,283.56,285300.0
2019-07-24,288.64,289.47,283.65,285.4,388700.0
2019-07-23,288.06,288.7,284.94,286.82,208400.0
2019-07-22,285.88,289.83,285.52,287.07,274800.0
2019-07-19,291.16,292.17,284.27,284.69,384400.0
2019-07-18,283.3505,290.39,283.36,289.85,360000.0
2019-07-17,283.76,286.79,283.76,284.73,237200.0
2019-07-16,284.08,285.4,282.59,283.66,248900.0
2019-07-15,284.47,284.47,282.18,284.08,286800.0
2019-07-12,283.51,285.33,282.87,284.24,324300.0
2019-07-11,283.07,285.86,280.56,285.46,304200.0
2019-07-10,280.51,284.37,280.3,282.53,518100.0
2019-07-09,275.41,280.18,274.54,279.55,489100.0
2019-07-08,277.58,277.6792,274.82,276.75,298300.0
2019-07-05,276.57,278.735,273.39,278.49,256500.0
2019-07-03,278.44,279.91,276.72,278.87,280700.0
2019-07-02,279.91,280.7,275.46,277.01,417800.0
2019-07-01,278.25,281.3,276.445,280.16,518100.0
2019-06-28,272.01,275.97,270.59,275.33,646300.0
2019-06-27,270.46,273.83,270.01,272.05,243200.0
2019-06-26,272.33,272.665,268.53,269.89,301500.0
2019-06-25,275.59,276.0,270.68,271.31,299300.0
2019-06-24,274.81,275.94,272.82,275.01,274100.0
2019-06-21,272.74,275.0,270.2034,273.93,557500.0
2019-06-20,277.57,278.6263,272.48,272.88,405200.0
2019-06-19,269.2,275.19,268.17,274.28,262100.0
2019-06-18,271.45,272.25,268.03,269.72,342200.0
2019-06-17,267.85,270.5186,265.5,268.25,261400.0
2019-06-14,267.12,268.85,266.0437,267.74,284200.0
2019-06-13,265.82,267.32,262.53,267.16,253700.0
2019-06-12,264.47,266.2268,262.36,265.05,321700.0
2019-06-11,269.8733,271.34,261.55,263.93,358100.0
2019-06-10,266.04,269.52,266.04,268.47,300400.0
2019-06-07,261.3,265.9,261.3,264.92,369600.0
2019-06-06,256.76,261.37,256.39,259.68,320400.0
