,open,high,low,close,volume
2019-10-25,119.4,120.52,118.28,119.96,811010.0
2019-10-24,120.45,120.45,118.28,119.71,581400.0
2019-10-23,119.41,120.93,119.41,120.02,725200.0
2019-10-22,117.88,119.54,117.22,119.12,604100.0
2019-10-21,118.44,118.95,117.62,118.39,844300.0
2019-10-18,119.83,120.18,117.09,117.84,788000.0
2019-10-17,119.73,120.39,118.9,119.45,457100.0
2019-10-16,118.96,120.25,118.45,119.16,786000.0
2019-10-15,118.94,119.98,118.18,119.18,490700.0
2019-10-14,117.99,119.38,117.76,118.33,518900.0
2019-10-11,117.43,119.66,117.25,118.15,798700.0
2019-10-10,115.09,116.36,113.88,115.97,1316300.0
2019-10-09,115.05,115.78,113.41,115.1,1070300.0
2019-10-08,117.0,117.29,112.87,114.12,1591900.0
2019-10-07,118.75,120.28,118.32,118.4,908200.0
2019-10-04,117.2,119.27,116.36,119.15,1727600.0
2019-10-03,116.65,117.98,114.58,117.92,829700.0
2019-10-02,120.74,121.55,116.87,116.99,1463700.0
2019-10-01,123.05,123.53,120.63,121.62,817800.0
2019-09-30,121.25,123.47,121.09,122.69,914300.0
2019-09-27,120.27,121.39,119.8,120.81,492400.0
2019-09-26,122.08,122.08,117.31,119.8,925100.0
2019-09-25,121.18,122.96,120.75,122.11,1382800.0
2019-09-24,123.02,123.65,120.12,120.69,1112300.0
2019-09-23,119.6,123.01,119.5,122.78,1065100.0
2019-09-20,122.32,122.72,119.97,120.17,1974400.0
2019-09-19,122.82,124.37,122.32,122.86,711100.0
2019-09-18,122.68,124.86,121.73,122.99,901700.0
2019-09-17,121.95,122.57,119.85,122.23,1114800.0
2019-09-16,126.26,126.57,122.0,122.03,1039900.0
2019-09-13,127.03,127.89,125.93,127.3,785900.0
2019-09-12,127.82,128.25,124.59,127.1,1169800.0
2019-09-11,125.09,127.48,124.12,127.46,1467900.0
2019-09-10,120.08,124.27,120.08,123.86,2225900.0
2019-09-09,118.0,120.67,118.0,119.93,1590200.0
2019-09-06,115.04,118.77,114.68,117.86,2096400.0
2019-09-05,112.81,115.02,112.72,114.5,1418800.0
2019-09-04,110.57,112.25,110.57,111.9,882000.0
2019-09-03,109.1,109.57,108.52,109.15,985000.0
2019-08-30,109.41,110.23,109.17,109.75,858000.0
2019-08-29,109.92,110.04,108.5,108.76,839600.0
2019-08-28,107.25,109.02,107.25,108.36,915400.0
2019-08-27,109.62,109.79,106.91,107.33,1044300.0
2019-08-26,107.54,108.83,107.18,108.72,1070300.0
2019-08-23,107.49,107.6,104.86,106.5,1611100.0
2019-08-22,111.06,111.06,107.64,107.8,950100.0
2019-08-21,111.73,112.34,110.21,110.49,648800.0
2019-08-20,113.14,113.2,109.77,110.04,1082500.0
2019-08-19,113.37,113.74,112.64,113.14,841100.0
2019-08-16,110.62,113.8,109.63,112.78,1115700.0
2019-08-15,113.46,113.8,109.63,110.61,1936100.0
2019-08-14,117.11,117.5,112.28,113.0,1775900.0
2019-08-13,121.07,121.205,118.48,118.71,1214100.0
2019-08-12,122.79,122.79,119.345,120.08,1292600.0
2019-08-09,122.4,123.53,121.2701,122.54,1217100.0
2019-08-08,121.5,126.25,121.04,122.05,3173300.0
2019-08-07,117.29,122.29,116.87,121.55,4506700.0
2019-08-06,124.7,130.0,118.26,118.91,6584200.0
2019-08-05,142.49,143.34,140.3,141.47,1364600.0
2019-08-02,143.03,144.37,141.85,143.82,821400.0
2019-08-01,144.02,145.45,142.29,143.1,823500.0
2019-07-31,145.73,147.2,142.54,143.99,512800.0
