,open,high,low,close,volume
2019-10-25,76.41,78.2,76.28,77.55,617444.0
2019-10-24,78.18,78.18,76.73,77.5,618800.0
2019-10-23,78.67,79.36,77.92,78.1,645300.0
2019-10-22,78.76,80.37,78.36,78.51,848400.0
2019-10-21,77.89,78.69,77.01,78.59,851200.0
2019-10-18,77.64,79.38,77.25,77.76,863000.0
2019-10-17,78.35,78.68,77.38,77.43,667600.0
2019-10-16,78.06,79.07,77.51,78.12,1044300.0
2019-10-15,77.42,79.06,77.36,78.52,783400.0
2019-10-14,76.39,78.3,76.26,77.46,659700.0
2019-10-11,76.28,77.22,76.01,76.12,761700.0
2019-10-10,74.55,75.9,74.13,75.77,620600.0
2019-10-09,75.13,75.73,74.06,74.68,589800.0
2019-10-08,74.44,75.48,73.52,74.44,631000.0
2019-10-07,73.01,75.22,73.01,74.76,654100.0
2019-10-04,74.91,75.82,73.38,74.87,766700.0
2019-10-03,73.64,74.93,72.25,74.88,1171500.0
2019-10-02,73.97,73.97,72.91,73.04,1074900.0
2019-10-01,73.53,74.75,73.3,73.96,1259200.0
2019-09-30,72.93,74.88,72.78,74.23,1224700.0
2019-09-27,74.27,74.27,72.0,72.82,1065400.0
2019-09-26,75.19,75.47,72.85,73.76,1477200.0
2019-09-25,76.62,77.5,75.02,75.07,1211300.0
2019-09-24,78.38,78.38,75.49,76.95,1370400.0
2019-09-23,81.01,81.97,76.63,77.64,1621800.0
2019-09-20,78.52,81.64,78.37,81.21,2160800.0
2019-09-19,78.5,79.22,77.91,78.12,1050400.0
2019-09-18,79.52,80.21,77.39,78.54,721800.0
2019-09-17,77.71,79.37,77.57,79.1,954300.0
2019-09-16,76.19,79.04,75.6,78.34,1128700.0
2019-09-13,76.4,78.17,75.54,76.43,1646100.0
2019-09-12,78.75,78.95,75.0,76.07,2311000.0
2019-09-11,77.85,79.79,77.84,78.48,871000.0
2019-09-10,78.37,78.91,76.83,77.91,1247000.0
2019-09-09,78.53,79.53,77.35,78.97,934600.0
2019-09-06,79.45,80.11,79.08,79.24,676100.0
2019-09-05,79.92,80.13,78.21,79.27,1678500.0
2019-09-04,81.0,81.07,76.75,77.62,1643900.0
2019-09-03,81.73,81.95,79.56,80.06,899900.0
2019-08-30,82.77,82.82,80.69,81.82,887600.0
2019-08-29,82.06,82.49,81.41,82.44,1198200.0
2019-08-28,79.87,82.61,79.26,81.35,1040600.0
2019-08-27,83.51,84.08,79.43,80.26,1507200.0
2019-08-26,82.29,83.19,81.09,82.81,1070900.0
2019-08-23,85.56,85.82,81.58,81.91,1213400.0
2019-08-22,86.32,86.32,84.63,85.56,858400.0
2019-08-21,84.75,86.11,84.48,86.07,705200.0
2019-08-20,84.23,84.96,83.92,84.1,797200.0
2019-08-19,84.08,84.92,83.15,84.52,872800.0
2019-08-16,81.42,83.35,80.8,83.12,1071100.0
2019-08-15,80.96,81.47,79.59,80.61,1171900.0
2019-08-14,82.14,83.29,80.91,81.06,1460000.0
2019-08-13,82.3,84.78,81.96,82.89,971000.0
2019-08-12,81.66,83.84,80.56,82.48,1062400.0
2019-08-09,80.97,82.72,80.22,81.79,1280500.0
2019-08-08,80.66,81.31,78.01,81.26,1566700.0
2019-08-07,81.78,81.78,79.765,80.46,1278500.0
2019-08-06,81.2,82.77,79.9,82.63,1308100.0
2019-08-05,82.32,82.45,80.03,80.92,1401600.0
2019-08-02,84.73,85.9,82.71,83.47,1267200.0
2019-08-01,84.52,87.23,84.24,84.85,1016800.0
2019-07-31,85.5,86.53,83.86,84.92,1263000.0
2019-07-30,82.77,85.57,80.06,85.43,1740300.0
2019-07-29,80.09,80.46,78.15,80.26,1058500.0
2019-07-26,79.34,80.95,79.009,80.15,985800.0
2019-07-25,78.69,79.3,77.3,78.8,732900.0
2019-07-24,78.54,79.72,77.6,79.15,1568400.0
2019-07-23,81.67,81.83,78.42,78.51,1816600.0
2019-07-22,80.89,82.71,80.39,81.71,750600.0
2019-07-19,81.81,82.26,80.23,80.54,935600.0
2019-07-18,80.35,81.5,80.14,81.31,756200.0
2019-07-17,79.91,80.88,79.4,80.23,904000.0
2019-07-16,81.35,81.51,79.7,79.88,814400.0
2019-07-15,79.99,81.57,79.53,81.39,1115600.0
2019-07-12,81.38,81.95,79.62,80.1,954300.0
2019-07-11,83.81,83.98,80.17,81.23,1074500.0
2019-07-10,83.94,85.06,83.05,83.77,757100.0
2019-07-09,82.48,84.15,82.35,83.82,985300.0
2019-07-08,84.74,85.0,82.11,83.01,1064200.0
2019-07-05,85.61,87.0636,85.0,85.28,681900.0
2019-07-03,84.84,86.54,83.64,86.52,767700.0
2019-07-02,86.0,86.0,83.95,85.01,947500.0
2019-07-01,85.8,86.5,84.575,85.42,1040400.0
2019-06-28,84.59,85.28,83.37,84.96,1616400.0
2019-06-27,86.0569,86.59,84.53,84.72,992400.0
2019-06-26,87.54,88.2806,85.22,85.63,1226200.0
2019-06-25,87.25,88.6337,86.33,87.61,1231100.0
2019-06-24,88.7,89.3,86.67,86.92,1272500.0
2019-06-21,87.2537,88.85,86.29,88.7,2262000.0
2019-06-20,85.6,87.125,85.6,86.57,1426800.0
2019-06-19,84.7118,85.36,83.7,84.87,1236300.0
2019-06-18,82.82,84.87,82.0,84.28,1954700.0
2019-06-17,79.07,82.5619,78.5,81.84,2414500.0
2019-06-14,76.3,77.7897,75.46,77.71,1250400.0
2019-06-13,75.74,76.4627,75.003,76.37,1367500.0
2019-06-12,76.84,76.98,74.94,75.8,1359500.0
2019-06-11,76.88,77.275,74.48,75.56,1467500.0
2019-06-10,80.78,81.54,76.57,76.8,1460900.0
2019-06-07,80.15,81.11,79.29,80.83,708000.0
2019-06-06,81.06,81.81,79.6867,79.86,810500.0
