,open,high,low,close,volume
2019-10-25,69.73,69.77,69.14,69.35,1022313.0
2019-10-24,69.83,70.52,69.61,69.89,1460700.0
2019-10-23,69.04,69.81,68.9,69.57,1118000.0
2019-10-22,70.29,70.815,69.24,69.28,1258300.0
2019-10-21,70.16,70.2,69.46,70.14,1568900.0
2019-10-18,70.07,70.15,69.56,69.74,1680700.0
2019-10-17,69.37,69.89,69.35,69.71,985800.0
2019-10-16,68.97,69.635,68.22,69.27,1604000.0
2019-10-15,68.46,69.34,68.325,69.24,1591900.0
2019-10-14,68.25,68.67,68.02,68.15,837800.0
2019-10-11,68.39,68.9,68.24,68.31,1368100.0
2019-10-10,67.54,68.21,67.43,67.97,927600.0
2019-10-09,67.1,67.83,67.05,67.67,1304700.0
2019-10-08,67.09,67.41,66.5,66.59,1048000.0
2019-10-07,67.1,67.71,66.98,67.52,1277600.0
2019-10-04,66.55,67.537,66.55,67.36,1245400.0
2019-10-03,65.54,66.53,64.9,66.52,1246900.0
2019-10-02,66.43,66.495,65.52,65.65,2302800.0
2019-10-01,67.0,67.05,66.31,66.96,1760300.0
2019-09-30,65.91,67.24,65.81,66.88,2837000.0
2019-09-27,66.73,66.77,65.29,65.68,2378300.0
2019-09-26,66.42,66.725,65.86,66.48,1616500.0
2019-09-25,66.04,66.68,65.62,66.24,3410200.0
2019-09-24,65.5,66.65,65.25,65.94,4315700.0
2019-09-23,67.57,67.85,66.6,66.92,2980800.0
2019-09-20,67.83,68.05,66.945,67.36,9541000.0
2019-09-19,67.95,68.35,67.62,67.75,1806100.0
2019-09-18,68.2,68.28,67.12,67.84,2620900.0
2019-09-17,68.22,68.86,67.6,67.93,3109000.0
2019-09-16,67.61,68.315,67.57,68.15,1830600.0
2019-09-13,67.5,67.99,67.27,67.86,1907800.0
2019-09-12,66.26,67.9,66.09,67.57,2829800.0
2019-09-11,65.91,66.55,65.57,65.59,2974000.0
2019-09-10,67.13,67.29,66.01,66.41,2638100.0
2019-09-09,68.49,68.88,67.06,67.29,2764000.0
2019-09-06,67.34,68.31,67.08,67.91,2175200.0
2019-09-05,67.08,67.62,66.95,67.17,1207100.0
2019-09-04,66.04,66.66,66.04,66.48,1487200.0
2019-09-03,65.05,66.4,65.05,65.72,1682300.0
2019-08-30,66.0,66.0,65.38,65.61,1407300.0
2019-08-29,65.66,65.9,65.07,65.62,1219400.0
2019-08-28,64.08,64.91,63.78,64.79,1638400.0
2019-08-27,63.89,64.47,63.77,64.39,1528000.0
2019-08-26,63.22,63.67,62.74,63.51,1222000.0
2019-08-23,63.94,64.49,62.48,62.74,1456300.0
2019-08-22,65.3,65.34,64.1,64.13,1539300.0
2019-08-21,65.49,65.675,64.94,65.13,1321900.0
2019-08-20,65.33,65.67,64.82,65.14,1048700.0
2019-08-19,65.21,65.56,64.89,65.4,2204900.0
2019-08-16,64.0,64.93,63.83,64.83,1774800.0
2019-08-15,63.39,64.02,63.13,63.65,1256700.0
2019-08-14,64.05,64.15,62.85,63.21,1632700.0
2019-08-13,63.6,64.86,63.32,64.84,1963800.0
2019-08-12,64.16,64.221,63.37,63.52,1234200.0
2019-08-09,64.33,64.71,63.92,64.41,1371600.0
2019-08-08,63.57,64.7,63.28,64.39,2360400.0
2019-08-07,62.67,63.45,62.04,63.04,2305500.0
2019-08-06,62.36,63.25,62.31,63.12,1711700.0
2019-08-05,63.03,63.06,61.683,62.24,2237300.0
2019-08-02,64.07,64.16,63.24,63.83,2137400.0
2019-08-01,64.24,65.19,63.12,64.04,2943700.0
2019-07-31,65.01,65.28,63.58,64.42,2107200.0
2019-07-30,65.09,65.505,64.885,65.23,1278000.0
2019-07-29,65.36,65.55,65.19,65.39,1655900.0
2019-07-26,64.7313,65.55,64.73,65.46,1116100.0
2019-07-25,64.87,65.02,64.29,64.69,1213300.0
2019-07-24,64.98,65.0251,64.26,64.81,1635600.0
2019-07-23,65.65,65.65,64.97,65.25,1046600.0
2019-07-22,65.38,65.64,65.05,65.25,2098500.0
2019-07-19,65.9034,66.07,64.975,65.05,1256000.0
2019-07-18,65.11,65.68,65.11,65.53,1487000.0
2019-07-17,65.47,65.67,65.09,65.37,1720100.0
2019-07-16,65.73,65.82,65.4,65.56,1809000.0
2019-07-15,65.61,65.7566,65.09,65.58,1451700.0
2019-07-12,65.53,65.6824,65.115,65.57,1637900.0
2019-07-11,64.95,65.41,64.72,65.4,1308800.0
2019-07-10,64.87,65.24,64.76,64.84,1417600.0
2019-07-09,64.47,64.97,64.21,64.81,1362900.0
2019-07-08,64.25,64.8544,64.25,64.58,1009100.0
2019-07-05,64.76,65.1,63.96,64.62,1441400.0
2019-07-03,64.64,65.24,64.16,65.12,2357100.0
2019-07-02,65.6117,65.61,63.44,64.66,1803800.0
2019-07-01,62.93,64.85,62.89,64.61,3487100.0
2019-06-28,62.94,63.83,62.22,63.72,9489900.0
2019-06-27,62.86,63.61,62.24,63.1,2660300.0
2019-06-26,59.54,62.46,59.46,62.37,3360900.0
2019-06-25,59.44,59.6211,59.12,59.26,1887800.0
2019-06-24,59.9788,60.5,59.47,59.56,1443200.0
2019-06-21,59.8,59.93,59.51,59.88,2067400.0
2019-06-20,59.89,60.14,59.42,59.89,1239800.0
2019-06-19,59.1,59.6,58.96,59.55,1521200.0
2019-06-18,59.86,59.99,58.98,59.08,1369800.0
2019-06-17,59.4592,59.82,59.31,59.36,1010800.0
2019-06-14,59.44,59.9476,59.115,59.32,894200.0
2019-06-13,59.48,59.5963,59.1,59.26,1281000.0
2019-06-12,59.63,59.93,59.29,59.45,976700.0
2019-06-11,61.0,61.05,59.5492,59.64,1749100.0
2019-06-10,59.85,60.8557,59.76,60.75,1198700.0
2019-06-07,59.52,59.85,59.43,59.6,1531000.0
2019-06-06,59.29,59.5,58.92,59.22,951300.0
