,open,high,low,close,volume
2019-10-25,259.13,260.28,256.7,257.67,1041296.0
2019-10-24,257.13,260.84,255.84,258.9,1071500.0
2019-10-23,253.33,258.97,252.54,255.97,1227800.0
2019-10-22,260.74,263.55,253.18,253.33,1482400.0
2019-10-21,264.48,264.5,258.58,262.2,1040400.0
2019-10-18,267.67,267.67,260.54,262.47,1551800.0
2019-10-17,269.85,270.79,263.73,266.53,879800.0
2019-10-16,271.52,271.69,265.81,269.15,1065500.0
2019-10-15,270.06,274.11,269.1,273.5,1042100.0
2019-10-14,269.99,271.66,268.9,269.06,1024300.0
2019-10-11,270.4,273.81,269.42,270.07,1068600.0
2019-10-10,262.36,268.94,262.36,267.53,1177400.0
2019-10-09,262.87,265.12,262.37,264.0,864200.0
2019-10-08,265.33,266.2,260.99,260.99,1340000.0
2019-10-07,264.9,268.1,264.86,266.76,1551300.0
2019-10-04,264.05,267.83,262.01,267.09,1312900.0
2019-10-03,259.43,263.54,255.41,263.0,1270300.0
2019-10-02,263.21,263.21,255.47,260.45,1375000.0
2019-10-01,267.69,268.27,263.38,264.3,1007300.0
2019-09-30,263.5,267.27,262.41,265.94,1135600.0
2019-09-27,271.32,271.32,259.26,263.19,1020100.0
2019-09-26,267.08,270.63,266.42,269.72,1182300.0
2019-09-25,264.33,267.1,260.35,266.43,983000.0
2019-09-24,270.76,271.67,264.01,264.85,1169500.0
2019-09-23,268.39,270.99,268.21,269.0,803500.0
2019-09-20,269.98,272.91,267.46,269.18,1584200.0
2019-09-19,268.76,272.42,268.61,270.02,903700.0
2019-09-18,269.39,269.39,263.82,268.27,846800.0
2019-09-17,265.83,268.7,265.52,268.54,935900.0
2019-09-16,262.81,267.23,261.69,265.82,803000.0
2019-09-13,267.31,270.01,264.7,265.22,1031000.0
2019-09-12,268.5,271.2,267.33,268.25,1329500.0
2019-09-11,267.7,269.82,265.02,266.13,1306700.0
2019-09-10,273.8,274.51,263.88,267.56,2095300.0
2019-09-09,288.78,288.78,273.58,275.9,2141500.0
2019-09-06,293.39,293.46,287.23,287.8,1298900.0
2019-09-05,289.35,292.93,287.16,292.31,1092400.0
2019-09-04,285.62,286.4,281.62,286.31,945600.0
2019-09-03,285.31,289.0,282.14,284.2,1399400.0
2019-08-30,287.25,288.99,283.97,288.36,1080100.0
2019-08-29,284.77,288.6,283.35,286.94,1209600.0
2019-08-28,281.08,282.98,273.8,281.94,1482100.0
2019-08-27,283.1,284.99,281.36,283.21,1778000.0
2019-08-26,280.0,282.9,275.61,282.77,2004400.0
2019-08-23,290.37,295.77,277.99,278.74,3381800.0
2019-08-22,277.0,278.0,271.6,275.71,1558800.0
2019-08-21,275.37,277.83,274.54,276.24,925400.0
2019-08-20,273.22,274.61,271.22,272.84,1062200.0
2019-08-19,274.98,275.96,271.65,274.23,1222000.0
2019-08-16,271.27,274.44,269.16,270.96,1044200.0
2019-08-15,269.6,270.69,265.88,268.44,1244600.0
2019-08-14,274.91,276.33,267.32,267.89,1239300.0
2019-08-13,272.38,279.54,271.87,279.15,1241700.0
2019-08-12,274.73,276.22,271.49,272.65,968200.0
2019-08-09,276.08,278.82,274.51,276.57,1279200.0
2019-08-08,270.86,276.83,270.63,276.7,1107000.0
2019-08-07,265.87,269.49,263.8,268.57,1221800.0
2019-08-06,266.7397,270.64,264.87,270.09,1201900.0
2019-08-05,268.98,269.74,261.94,263.53,1774500.0
2019-08-02,278.05,278.65,273.18,274.64,1494500.0
2019-08-01,278.61,283.51,277.07,277.96,1272600.0
2019-07-31,278.77,281.34,275.15,277.31,1147600.0
2019-07-30,279.48,281.84,278.37,279.62,767100.0
2019-07-29,284.29,284.88,279.5304,281.35,1267400.0
2019-07-26,282.16,284.97,281.45,283.77,788700.0
2019-07-25,279.98,282.43,279.16,281.6,868200.0
2019-07-24,281.17,282.64,279.71,281.36,1413900.0
2019-07-23,282.3,283.08,278.28,281.9,1245800.0
2019-07-22,280.41,282.5096,279.17,281.15,723400.0
2019-07-19,284.55,284.55,278.64,279.32,1599100.0
2019-07-18,279.98,283.03,279.03,282.88,1224000.0
2019-07-17,280.9,282.37,280.11,280.63,797100.0
