,open,high,low,close,volume
2019-10-25,42.3,43.21,42.11,43.0,2151540.0
2019-10-24,43.26,43.5,41.85,42.19,2544100.0
2019-10-23,42.75,43.55,42.6,43.39,2996300.0
2019-10-22,42.33,43.1,42.03,42.86,1531200.0
2019-10-21,42.66,43.11,42.25,42.28,2472600.0
2019-10-18,41.76,42.51,41.75,42.26,2517500.0
2019-10-17,41.93,42.04,41.39,41.87,2041700.0
2019-10-16,41.49,42.51,41.35,41.89,4348800.0
2019-10-15,41.15,41.64,41.03,41.42,1820900.0
2019-10-14,41.41,41.41,40.82,41.13,1949700.0
2019-10-11,41.0,42.06,41.0,41.56,3788300.0
2019-10-10,39.25,40.41,39.25,40.23,3378700.0
2019-10-09,38.95,39.52,38.74,39.31,2928100.0
2019-10-08,38.6,38.8,38.33,38.43,2508700.0
2019-10-07,39.15,39.58,38.97,39.12,1682700.0
2019-10-04,39.31,39.57,38.69,39.18,2394700.0
2019-10-03,39.38,39.67,38.57,39.32,3014100.0
2019-10-02,40.01,40.01,39.19,39.46,3226200.0
2019-10-01,42.07,42.24,40.12,40.12,3494900.0
2019-09-30,41.68,41.97,41.62,41.82,2551800.0
2019-09-27,41.65,41.87,41.3,41.66,1860900.0
2019-09-26,41.41,41.53,40.88,41.32,1406700.0
2019-09-25,40.77,41.48,40.73,41.36,2713500.0
2019-09-24,41.34,41.49,40.39,40.67,5677300.0
2019-09-23,40.24,41.34,40.11,41.07,3525900.0
2019-09-20,40.8,41.49,40.43,40.7,4662500.0
2019-09-19,41.3,41.43,40.65,40.76,3625300.0
2019-09-18,41.69,41.79,40.91,41.19,4240300.0
2019-09-17,41.64,42.08,40.79,41.77,3498000.0
2019-09-16,42.32,42.64,41.92,42.48,3967700.0
2019-09-13,42.56,43.46,42.47,42.78,4369800.0
2019-09-12,41.92,42.68,41.36,42.33,4057100.0
2019-09-11,41.09,41.86,40.62,41.84,3370600.0
2019-09-10,40.29,41.24,40.28,41.23,6039000.0
2019-09-09,39.9,41.05,39.76,40.16,5353900.0
2019-09-06,39.56,39.58,39.16,39.43,2005800.0
2019-09-05,38.95,39.51,38.95,39.37,7163000.0
