,open,high,low,close,volume
2019-10-25,144.87,148.57,143.95,147.51,1074898.0
2019-10-24,143.7,146.75,143.54,145.17,1022300.0
2019-10-23,143.14,144.09,142.7,143.48,1190200.0
2019-10-22,143.51,145.42,142.78,142.86,1070700.0
2019-10-21,144.65,144.91,142.04,143.14,1010800.0
2019-10-18,144.0,145.05,143.0,143.49,1460200.0
2019-10-17,145.65,146.07,142.99,143.35,1100500.0
2019-10-16,145.64,147.47,144.31,144.83,1330200.0
2019-10-15,147.21,148.69,146.23,146.56,927500.0
2019-10-14,146.28,147.93,145.85,146.36,709500.0
2019-10-11,146.73,148.97,145.9,145.98,749700.0
2019-10-10,145.5,146.8,144.47,144.89,778600.0
2019-10-09,145.95,146.63,144.88,145.58,743700.0
2019-10-08,147.0,147.0,143.47,144.53,864700.0
2019-10-07,148.41,150.12,147.73,148.7,927100.0
2019-10-04,147.79,149.91,147.65,149.3,949100.0
2019-10-03,143.21,147.57,141.7,147.52,1786500.0
2019-10-02,143.79,144.32,140.56,143.24,1837100.0
2019-10-01,149.87,151.09,143.92,145.03,1634000.0
2019-09-30,148.1,150.25,147.16,149.38,1030700.0
2019-09-27,152.47,154.43,146.66,148.25,1636700.0
2019-09-26,155.07,155.07,151.5,151.84,1167100.0
2019-09-25,154.93,155.16,151.09,154.65,1640800.0
2019-09-24,157.81,158.25,154.71,155.42,1595900.0
2019-09-23,155.13,157.73,154.26,157.34,1731900.0
2019-09-20,154.77,157.32,154.6,155.6,5361600.0
2019-09-19,153.3,155.29,153.14,153.92,1122400.0
2019-09-18,152.54,153.73,151.39,153.44,1460500.0
2019-09-17,151.1,153.47,149.94,152.94,1900600.0
2019-09-16,150.66,152.84,149.76,150.84,1773000.0
2019-09-13,149.72,152.51,147.31,151.35,1467200.0
2019-09-12,150.72,151.82,149.91,150.73,1670200.0
2019-09-11,150.0,152.23,148.79,150.23,1597100.0
2019-09-10,150.18,150.78,146.52,150.41,2097100.0
2019-09-09,154.9,154.9,151.67,151.87,1947800.0
2019-09-06,154.17,155.72,152.75,154.07,998100.0
2019-09-05,152.97,154.52,151.33,154.08,1442900.0
2019-09-04,155.37,155.37,151.29,151.46,1234800.0
2019-09-03,153.78,155.13,153.0,153.91,737000.0
2019-08-30,156.74,156.74,153.44,155.15,788100.0
2019-08-29,155.09,156.52,154.46,155.98,528300.0
2019-08-28,153.33,154.15,151.72,153.46,832200.0
2019-08-27,155.67,155.75,152.76,153.66,975200.0
2019-08-26,154.16,155.19,152.84,155.12,690900.0
2019-08-23,157.8,158.99,152.37,153.15,1065700.0
2019-08-22,158.49,158.74,155.47,156.55,791000.0
2019-08-21,155.89,157.46,154.56,157.19,717400.0
2019-08-20,156.92,157.11,154.77,154.82,585200.0
2019-08-19,156.66,157.54,155.95,156.72,833900.0
2019-08-16,153.87,156.91,150.58,155.21,863400.0
2019-08-15,152.0,153.86,150.58,152.15,1206400.0
2019-08-14,154.96,156.6,150.22,151.21,1437300.0
2019-08-13,153.74,157.6,153.74,157.08,813700.0
2019-08-12,155.21,155.69,153.56,155.43,1083500.0
2019-08-09,157.21,157.4295,154.9,156.0,2073900.0
2019-08-08,156.26,158.58,155.425,158.1,941500.0
2019-08-07,152.99,155.74,151.27,155.25,1114300.0
2019-08-06,152.66,154.81,151.85,154.45,833400.0
2019-08-05,155.17,155.17,150.67,151.8,1478400.0
2019-08-02,157.97,157.97,155.67,157.08,1057600.0
2019-08-01,159.73,160.88,157.28,158.21,760600.0
2019-07-31,160.28,161.51,157.92,159.17,1030400.0
2019-07-30,158.39,161.06,157.1,160.53,1054500.0
2019-07-29,159.58,160.1433,158.1,159.3,734100.0
2019-07-26,160.83,161.427,158.64,159.88,657300.0
2019-07-25,160.75,161.88,159.82,160.09,1527900.0
2019-07-24,156.72,162.62,154.2,160.61,1946800.0
2019-07-23,156.81,157.16,155.1652,156.76,1041100.0
2019-07-22,156.08,158.14,156.03,156.27,890700.0
2019-07-19,157.74,158.02,155.3,155.85,1020100.0
2019-07-18,156.02,157.59,154.38,157.28,1042600.0
2019-07-17,156.38,157.56,155.85,156.02,861400.0
2019-07-16,159.3871,159.99,156.45,156.57,715300.0
2019-07-15,158.19,158.87,157.41,158.4,586100.0
2019-07-12,158.51,159.14,156.37,157.36,783500.0
2019-07-11,159.28,159.34,157.24,159.24,1046900.0
2019-07-10,159.27,159.99,158.32,159.35,1380200.0
2019-07-09,158.4333,159.57,157.66,158.54,1455900.0
