,open,high,low,close,volume
2019-10-25,34.07,34.25,33.865,34.09,1007982.0
2019-10-24,34.37,34.44,33.94,34.18,1560700.0
2019-10-23,33.94,34.31,33.93,34.3,1649900.0
2019-10-22,34.0,34.01,33.59,33.97,1419100.0
2019-10-21,33.46,34.05,33.45,33.94,2332800.0
2019-10-18,32.7,33.53,32.56,33.5,4590600.0
2019-10-17,32.71,32.96,32.68,32.77,1238800.0
2019-10-16,32.83,32.85,32.53,32.71,1479200.0
2019-10-15,32.46,32.81,32.41,32.79,1235400.0
2019-10-14,32.35,32.62,32.16,32.5,960300.0
2019-10-11,32.38,32.67,32.23,32.24,1614200.0
2019-10-10,31.69,32.35,31.63,32.3,2434300.0
2019-10-09,32.08,32.16,31.71,31.76,1081500.0
2019-10-08,32.2,32.4,31.65,31.98,2309100.0
2019-10-07,32.07,32.4,32.0,32.27,961800.0
2019-10-04,32.52,32.72,32.07,32.21,2397900.0
2019-10-03,32.0,32.76,31.99,32.58,1815800.0
2019-10-02,32.27,32.27,31.86,32.02,1984000.0
2019-10-01,32.23,32.42,31.82,32.28,2398200.0
2019-09-30,32.25,32.76,32.03,32.39,2303400.0
2019-09-27,31.92,32.26,31.92,32.18,1656700.0
2019-09-26,31.35,31.96,31.17,31.91,2383900.0
2019-09-25,31.23,31.52,31.09,31.2,2452000.0
2019-09-24,31.3,31.37,31.06,31.2,2745900.0
2019-09-23,31.92,32.24,31.25,31.32,3838000.0
2019-09-20,32.23,32.34,31.94,32.0,2680400.0
2019-09-19,32.3,32.55,32.13,32.15,2634800.0
2019-09-18,32.22,32.29,31.83,32.15,2234300.0
2019-09-17,32.34,32.4,32.14,32.24,2865200.0
2019-09-16,32.55,32.6,32.12,32.28,3670600.0
2019-09-13,33.44,33.51,32.46,32.55,3608500.0
2019-09-12,34.22,34.24,33.91,34.14,2045800.0
2019-09-11,33.75,34.33,33.57,33.9,3124000.0
2019-09-10,33.29,33.65,33.21,33.53,2187800.0
2019-09-09,33.0,33.6,32.84,33.43,3735900.0
2019-09-06,33.08,33.26,32.9,33.05,1572500.0
2019-09-05,32.94,33.19,32.59,33.09,3004000.0
2019-09-04,32.5,32.96,32.42,32.92,4154900.0
2019-09-03,31.79,32.4,31.63,32.37,2231900.0
2019-08-30,31.88,32.14,31.8,31.85,1396600.0
2019-08-29,31.74,31.86,31.67,31.82,998800.0
2019-08-28,31.25,31.65,31.22,31.57,1250200.0
2019-08-27,31.72,31.78,31.21,31.21,1586700.0
2019-08-26,31.32,31.53,31.2,31.53,1129800.0
2019-08-23,31.63,31.93,31.03,31.14,1814400.0
2019-08-22,31.78,31.89,31.56,31.65,1359000.0
2019-08-21,31.44,31.87,31.23,31.72,2468100.0
2019-08-20,32.0,32.03,31.36,31.38,1130400.0
2019-08-19,31.5,32.0,31.45,31.9,1250700.0
2019-08-16,31.1,31.69,30.63,31.49,1959700.0
2019-08-15,30.69,31.1304,30.63,30.99,1532900.0
2019-08-14,30.86,30.93,30.52,30.61,1840200.0
2019-08-13,30.99,31.27,30.79,30.98,1588500.0
2019-08-12,30.6,31.1184,30.58,31.09,1348400.0
2019-08-09,31.13,31.31,30.56,30.58,2038700.0
2019-08-08,30.79,31.22,30.66,31.22,2384800.0
2019-08-07,30.81,31.05,30.54,30.85,2373600.0
2019-08-06,31.08,31.2,30.71,30.81,2145100.0
2019-08-05,31.27,31.39,30.74,31.09,3417000.0
2019-08-02,31.0,32.25,30.89,31.44,6940100.0
2019-08-01,30.09,31.28,29.97,30.83,6872300.0
2019-07-31,29.81,29.87,29.28,29.41,4382000.0
2019-07-30,29.87,30.07,29.68,29.87,2936500.0
