,open,high,low,close,volume
2019-10-25,144.21,146.69,144.08,146.04,332650.0
2019-10-24,143.47,144.68,143.0,144.43,1302600.0
2019-10-23,142.8,143.72,141.98,142.84,524600.0
2019-10-22,145.15,146.71,142.95,142.98,496500.0
2019-10-21,145.43,145.68,144.54,145.07,805600.0
2019-10-18,144.7,145.05,143.13,144.51,394300.0
2019-10-17,146.0,146.0,143.78,144.77,383100.0
2019-10-16,145.89,146.12,144.59,145.68,456300.0
2019-10-15,143.97,145.89,143.82,145.75,317800.0
2019-10-14,144.71,145.01,143.48,143.97,454000.0
2019-10-11,144.99,146.32,144.46,145.15,272800.0
2019-10-10,141.97,143.58,141.97,143.11,248600.0
2019-10-09,141.68,142.39,141.19,141.83,215600.0
2019-10-08,141.54,142.57,140.35,140.59,408700.0
2019-10-07,142.33,143.74,141.8,142.57,378800.0
2019-10-04,141.16,143.53,141.16,143.25,253600.0
2019-10-03,138.84,140.74,136.7,140.63,471700.0
2019-10-02,139.75,139.97,137.97,138.77,610900.0
2019-10-01,143.22,144.44,140.71,140.86,600000.0
2019-09-30,142.72,143.3,141.63,142.99,800800.0
2019-09-27,144.46,144.46,140.57,142.1,819300.0
2019-09-26,143.93,144.5,141.8,143.89,578900.0
2019-09-25,143.0,143.88,141.42,143.49,734800.0
2019-09-24,143.43,143.49,141.88,143.28,854000.0
2019-09-23,142.83,143.46,142.07,142.64,1110400.0
2019-09-20,141.01,143.76,140.41,143.64,1419100.0
2019-09-19,139.07,140.23,138.67,140.13,386200.0
2019-09-18,139.96,139.96,137.96,139.17,521700.0
2019-09-17,138.93,139.42,137.35,139.33,412600.0
2019-09-16,136.41,139.39,136.04,138.67,649000.0
2019-09-13,137.49,138.44,136.69,137.1,404300.0
2019-09-12,137.97,139.24,137.32,137.33,438600.0
2019-09-11,134.06,136.81,132.91,136.77,299300.0
2019-09-10,136.13,136.57,133.79,134.64,493700.0
2019-09-09,138.22,138.23,136.22,136.92,601600.0
2019-09-06,137.15,138.07,136.59,137.19,241600.0
2019-09-05,136.48,137.71,135.96,136.8,291200.0
2019-09-04,133.93,135.02,133.19,134.98,254800.0
2019-09-03,132.73,133.73,131.58,132.46,320800.0
2019-08-30,133.08,134.18,132.65,133.67,426500.0
2019-08-29,132.09,132.95,131.55,131.98,396300.0
2019-08-28,129.56,131.17,128.88,130.72,247200.0
2019-08-27,130.42,131.37,129.5,130.53,379300.0
2019-08-26,130.44,130.74,128.36,129.23,374600.0
2019-08-23,132.09,132.89,129.01,129.43,479100.0
2019-08-22,133.42,133.42,130.83,132.58,374700.0
2019-08-21,132.96,133.96,132.2,132.66,298800.0
2019-08-20,131.37,132.63,130.53,132.07,583300.0
2019-08-19,131.01,131.7,129.92,131.21,454500.0
2019-08-16,127.7346,129.69,124.77,129.29,426300.0
2019-08-15,127.49,128.06,124.77,126.49,410300.0
2019-08-14,127.35,129.52,126.84,127.0,514300.0
2019-08-13,127.8,131.35,127.69,128.56,809200.0
2019-08-12,129.7,129.8,127.6,128.51,327300.0
2019-08-09,131.89,133.106,129.92,130.58,328800.0
2019-08-08,130.56,133.49,130.285,132.47,542800.0
2019-08-07,127.56,130.38,125.86,129.34,606100.0
2019-08-06,128.88,129.63,125.85,128.44,1038100.0
2019-08-05,133.0,133.3,127.58,128.02,903000.0
2019-08-02,136.91,136.98,134.4953,135.11,570300.0
2019-08-01,140.0,140.34,135.65,137.41,790800.0
2019-07-31,138.5,144.19,138.48,139.33,1282000.0
2019-07-30,148.37,149.19,136.16,138.26,2994200.0
2019-07-29,171.25,171.78,169.6297,170.73,432500.0
2019-07-26,168.97,171.44,168.45,171.04,332300.0
2019-07-25,168.54,168.88,167.54,168.14,284800.0
2019-07-24,169.15,169.66,167.53,168.98,218600.0
2019-07-23,169.0,169.44,167.51,169.35,288900.0
2019-07-22,166.2,168.5,166.2,167.72,349300.0
2019-07-19,169.88,169.92,165.7155,165.79,301300.0
2019-07-18,167.99,169.02,167.39,168.55,351300.0
2019-07-17,169.4812,170.65,168.25,168.42,229200.0
2019-07-16,171.04,171.12,168.87,169.02,274200.0
2019-07-15,170.4685,171.36,169.46,170.87,242200.0
2019-07-12,170.14,170.5,168.85,170.24,167100.0
2019-07-11,168.8875,169.91,168.18,169.5,223900.0
2019-07-10,168.31,169.06,168.1,168.36,214100.0
2019-07-09,166.28,168.03,165.96,167.58,321400.0
2019-07-08,168.6012,168.6,166.86,167.14,349900.0
2019-07-05,167.09,168.97,165.87,168.97,227100.0
2019-07-03,165.75,168.032,164.66,167.84,281800.0
2019-07-02,163.22,165.14,163.015,165.07,291000.0
2019-07-01,162.79,163.66,161.54,163.65,269400.0
2019-06-28,159.44,161.17,159.1013,160.94,727500.0
2019-06-27,158.93,159.78,157.24,158.97,377600.0
2019-06-26,161.38,161.72,158.1229,158.14,394800.0
2019-06-25,161.94,162.79,160.37,160.99,338600.0
2019-06-24,161.63,162.66,160.87,161.84,251200.0
2019-06-21,160.19,161.58,158.63,161.47,791600.0
2019-06-20,161.42,162.4,160.22,160.42,288400.0
2019-06-19,159.35,160.77,158.37,160.39,221700.0
2019-06-18,160.01,161.0,159.185,159.43,349500.0
2019-06-17,159.05,160.05,158.64,159.03,170800.0
2019-06-14,158.72,159.29,157.42,158.58,240900.0
2019-06-13,158.0,158.92,157.23,158.6,169600.0
2019-06-12,157.64,158.1545,156.97,157.28,185000.0
2019-06-11,159.47,159.485,155.9,157.11,319000.0
2019-06-10,158.27,159.68,156.8646,159.02,412000.0
2019-06-07,155.48,158.12,155.39,157.48,308100.0
2019-06-06,154.6973,154.843,153.43,154.21,331100.0
