,open,high,low,close,volume
2019-10-25,16.96,17.175,16.72,17.05,4883910.0
2019-10-24,17.39,17.4,16.86,16.94,7753300.0
2019-10-23,16.71,17.32,16.46,17.28,9388100.0
2019-10-22,16.05,16.33,15.91,16.03,8068200.0
2019-10-21,16.16,16.37,16.07,16.15,6061400.0
2019-10-18,15.61,15.94,15.61,15.89,5733100.0
2019-10-17,15.79,15.85,15.59,15.63,5511800.0
2019-10-16,15.78,16.03,15.65,15.65,4531200.0
2019-10-15,15.8,16.11,15.61,15.79,5834600.0
2019-10-14,15.7,15.76,15.47,15.71,4387700.0
2019-10-11,15.67,16.14,15.67,15.84,5396200.0
2019-10-10,15.35,15.52,15.24,15.35,6453100.0
2019-10-09,15.46,15.54,15.28,15.39,4352300.0
2019-10-08,15.53,15.61,15.36,15.38,3719800.0
2019-10-07,15.78,15.97,15.56,15.73,2836500.0
2019-10-04,15.74,15.89,15.57,15.89,4411000.0
2019-10-03,15.63,15.77,15.29,15.77,4565000.0
2019-10-02,16.04,16.12,15.67,15.71,5274500.0
2019-10-01,16.97,17.0,16.09,16.26,6285800.0
2019-09-30,17.1,17.19,16.87,16.94,4297800.0
2019-09-27,16.97,17.19,16.89,17.02,4139200.0
2019-09-26,16.98,16.98,16.71,16.86,3322200.0
2019-09-25,16.72,16.98,16.61,16.95,2890200.0
2019-09-24,17.11,17.24,16.62,16.71,5278300.0
2019-09-23,16.62,17.15,16.55,17.0,4264300.0
2019-09-20,17.11,17.33,16.85,16.87,8053200.0
2019-09-19,16.95,17.25,16.94,17.05,3967200.0
2019-09-18,16.94,17.13,16.8,16.94,4734600.0
2019-09-17,17.09,17.1,16.79,17.04,3851300.0
2019-09-16,17.19,17.43,17.15,17.23,5009600.0
2019-09-13,17.54,17.59,17.16,17.4,6538200.0
2019-09-12,17.1,17.48,16.73,17.26,7180300.0
2019-09-11,17.09,17.58,16.76,17.57,6990900.0
2019-09-10,16.56,17.07,16.55,17.04,5440400.0
2019-09-09,16.15,16.53,16.13,16.41,5045900.0
2019-09-06,15.97,16.1,15.73,15.98,4933800.0
2019-09-05,15.87,16.28,15.87,16.05,3681900.0
2019-09-04,15.66,15.68,15.5,15.6,3454800.0
2019-09-03,15.53,15.62,15.3,15.53,6436800.0
2019-08-30,15.73,15.87,15.64,15.7,3729800.0
2019-08-29,15.65,15.72,15.54,15.62,4259100.0
2019-08-28,15.2,15.56,15.16,15.43,5216000.0
2019-08-27,15.75,15.89,15.16,15.31,9799500.0
2019-08-26,15.8,15.86,15.58,15.68,6812100.0
2019-08-23,15.82,15.96,15.56,15.62,5720500.0
2019-08-22,15.69,16.04,15.65,15.9,5133400.0
2019-08-21,15.62,15.67,15.47,15.57,3783200.0
2019-08-20,15.61,15.72,15.43,15.45,4759000.0
2019-08-19,15.92,15.97,15.69,15.71,4484500.0
2019-08-16,15.36,15.74,15.15,15.65,3764900.0
2019-08-15,15.45,15.57,15.15,15.2,4416100.0
2019-08-14,15.38,15.55,15.19,15.32,6708800.0
2019-08-13,16.06,16.525,15.86,16.16,7617400.0
2019-08-12,16.13,16.1606,15.79,16.06,6142900.0
2019-08-09,16.92,16.97,16.3001,16.37,6736000.0
2019-08-08,17.02,17.12,16.88,17.07,3824600.0
2019-08-07,16.8,16.9199,16.19,16.85,9486300.0
2019-08-06,17.37,17.43,17.01,17.23,5570500.0
2019-08-05,17.42,17.52,16.96,17.17,6428500.0
2019-08-02,17.9,18.1,17.7,17.84,5407000.0
2019-08-01,19.06,19.06,17.99,18.02,8178900.0
2019-07-31,19.37,19.37,18.96,19.19,17284600.0
2019-07-30,19.13,19.37,18.81,19.37,5208100.0
2019-07-29,19.56,19.6,19.24,19.33,6297400.0
2019-07-26,19.43,19.62,19.18,19.61,5359400.0
2019-07-25,20.19,20.33,19.09,19.53,8730700.0
2019-07-24,19.56,20.15,19.54,20.06,7285800.0
2019-07-23,19.65,19.77,19.47,19.67,5169200.0
2019-07-22,19.77,19.86,19.35,19.52,5129100.0
2019-07-19,19.73,20.02,19.73,19.77,3630200.0
