,open,high,low,close,volume
2019-10-25,42.35,42.92,42.24,42.56,3432363.0
2019-10-24,42.58,42.65,42.23,42.3,4231900.0
2019-10-23,42.58,42.66,41.99,42.37,4961400.0
2019-10-22,42.35,42.87,42.23,42.69,6055000.0
2019-10-21,42.07,42.86,41.92,42.39,8328400.0
2019-10-18,42.48,42.61,41.69,41.85,6123500.0
2019-10-17,42.19,42.81,42.15,42.58,7635500.0
2019-10-16,41.83,42.45,41.74,42.0,6424800.0
2019-10-15,42.38,42.67,42.17,42.2,3268400.0
2019-10-14,42.61,42.69,42.21,42.24,2593800.0
2019-10-11,42.26,43.05,42.18,42.72,5266000.0
2019-10-10,41.62,42.39,41.62,41.79,5980000.0
2019-10-09,41.7,42.01,41.56,41.6,9277800.0
2019-10-08,41.84,42.03,41.29,41.31,4889700.0
2019-10-07,42.12,42.65,41.74,42.24,4597200.0
2019-10-04,42.24,42.58,42.0,42.44,4371800.0
2019-10-03,41.77,42.11,41.34,42.03,6224400.0
2019-10-02,42.66,42.68,41.64,41.86,5734000.0
2019-10-01,44.11,44.13,42.9,42.95,3846800.0
2019-09-30,44.01,44.2,43.82,43.89,3961600.0
2019-09-27,43.75,43.75,43.28,43.67,3566900.0
2019-09-26,43.8,43.89,43.44,43.59,4234900.0
2019-09-25,43.44,43.77,43.27,43.7,3710500.0
2019-09-24,44.35,44.65,43.42,43.46,5410700.0
2019-09-23,43.72,44.49,43.6,44.24,3276100.0
2019-09-20,44.31,44.58,43.8,43.91,9911500.0
2019-09-19,44.13,44.5,43.85,44.03,3204400.0
2019-09-18,43.9,44.16,43.68,44.11,4360800.0
2019-09-17,43.63,44.06,43.51,43.86,3989600.0
2019-09-16,43.85,43.98,43.57,43.71,3173300.0
2019-09-13,44.31,44.43,43.83,44.04,3659800.0
2019-09-12,44.32,44.5,43.98,44.3,3703500.0
2019-09-11,43.08,44.12,43.02,44.12,5124100.0
2019-09-10,42.98,43.25,42.8,42.97,4191000.0
2019-09-09,42.93,42.93,42.3,42.89,4637000.0
2019-09-06,43.03,43.21,42.76,42.82,3731600.0
2019-09-05,42.76,43.3,42.7,42.85,4681100.0
2019-09-04,42.41,42.59,42.29,42.4,4946800.0
2019-09-03,42.42,42.42,41.84,42.01,3772600.0
2019-08-30,42.9,43.09,42.52,42.69,4049100.0
2019-08-29,42.98,43.16,42.35,42.62,5835700.0
2019-08-28,41.78,42.57,41.62,42.54,2928100.0
2019-08-27,41.91,42.21,41.73,41.99,5574000.0
2019-08-26,41.47,41.67,41.23,41.59,4297200.0
2019-08-23,41.92,42.37,41.03,41.29,6418400.0
2019-08-22,42.99,43.22,41.96,42.13,5080700.0
2019-08-21,42.77,43.15,42.67,42.9,4361900.0
2019-08-20,42.6,43.15,42.33,42.37,3793900.0
2019-08-19,42.76,43.05,42.61,42.64,4262400.0
2019-08-16,41.85,42.51,41.28,42.33,4848500.0
2019-08-15,41.65,41.75,41.28,41.54,5091400.0
2019-08-14,42.2989,42.38,41.45,41.51,4527800.0
2019-08-13,41.76,42.89,41.75,42.87,4863800.0
2019-08-12,42.17,42.31,41.775,41.85,2335500.0
2019-08-09,42.48,42.68,41.985,42.31,2972400.0
2019-08-08,42.03,42.68,42.01,42.6,4707200.0
2019-08-07,41.4574,41.97,41.105,41.88,4222300.0
2019-08-06,41.24,42.0,41.2181,41.87,4536600.0
2019-08-05,41.42,41.91,40.99,41.4,5493700.0
2019-08-02,41.82,42.41,41.72,41.93,4375700.0
2019-08-01,42.17,42.83,41.5907,42.01,6032700.0
2019-07-31,41.45,42.85,41.32,42.44,8660400.0
2019-07-30,40.74,41.2901,40.63,41.27,3695000.0
2019-07-29,41.23,41.32,40.77,40.91,3405800.0
2019-07-26,41.09,41.37,40.93,41.2,2874600.0
2019-07-25,41.44,41.57,41.03,41.12,3160000.0
2019-07-24,40.91,41.48,40.78,41.4,3074700.0
2019-07-23,41.24,41.26,40.72,41.06,4628900.0
2019-07-22,41.0,41.22,40.85,41.0,2729200.0
2019-07-19,41.39,41.59,41.2599,41.32,3216600.0
2019-07-18,40.93,41.33,40.67,41.17,2873100.0
2019-07-17,42.08,42.08,41.03,41.06,4453800.0
2019-07-16,41.82,42.15,41.72,42.06,3424500.0
2019-07-15,41.54,41.85,41.29,41.82,4185000.0
2019-07-12,41.26,41.58,41.19,41.54,6417800.0
2019-07-11,41.41,41.53,41.07,41.33,4286900.0
2019-07-10,41.68,41.89,41.31,41.33,3635800.0
2019-07-09,41.66,41.8,41.4393,41.65,4571800.0
2019-07-08,42.0,42.18,41.49,41.69,5176600.0
2019-07-05,41.3,41.9,41.25,41.87,3023500.0
2019-07-03,41.68,41.94,41.568,41.83,2952700.0
2019-07-02,41.89,42.07,41.584,41.64,4368400.0
2019-07-01,41.68,41.91,41.47,41.89,3751600.0
2019-06-28,40.61,41.395,40.52,41.31,5236400.0
2019-06-27,40.62,40.67,40.385,40.53,4981100.0
2019-06-26,40.55,40.83,40.41,40.62,4252300.0
2019-06-25,40.6,41.01,40.38,40.58,5953100.0
2019-06-24,39.9898,40.875,39.86,40.44,7712600.0
2019-06-21,39.46,40.09,39.29,40.09,27707400.0
2019-06-20,39.31,39.815,39.157,39.7,7667200.0
2019-06-19,39.58,39.66,38.7607,39.06,6177800.0
2019-06-18,39.46,39.99,39.28,39.66,6630800.0
2019-06-17,40.05,40.1,39.16,39.17,6890500.0
2019-06-14,40.08,40.2,39.77,39.95,4964800.0
2019-06-13,39.82,40.315,39.5,40.27,5996200.0
2019-06-12,38.99,40.04,38.95,39.53,8776200.0
2019-06-11,38.9,39.0,38.745,38.87,8044300.0
2019-06-10,39.08,39.2,38.8,38.81,8651400.0
2019-06-07,39.47,39.545,39.04,39.11,9042000.0
2019-06-06,39.4493,39.49,39.0,39.45,7369500.0
