,open,high,low,close,volume
2019-10-25,93.21,94.025,93.21,93.93,322871.0
2019-10-24,93.23,93.8,93.02,93.37,457300.0
2019-10-23,93.5,94.0,92.55,92.9,665900.0
2019-10-22,93.24,94.04,93.03,93.52,554400.0
2019-10-21,93.75,94.44,93.06,93.11,802200.0
2019-10-18,92.97,93.15,92.32,92.9,648800.0
2019-10-17,92.29,93.57,92.07,93.26,747100.0
2019-10-16,91.86,92.2,91.45,91.81,794100.0
2019-10-15,91.81,93.01,91.36,92.59,580000.0
2019-10-14,91.48,92.22,90.97,91.35,434400.0
2019-10-11,90.66,92.58,90.52,91.85,883900.0
2019-10-10,89.16,90.65,88.6,89.64,820700.0
2019-10-09,89.27,89.41,88.44,89.06,556100.0
2019-10-08,88.1,89.41,86.94,88.34,1053600.0
2019-10-07,89.37,90.07,88.9,88.9,472000.0
2019-10-04,88.07,89.88,87.96,89.82,533000.0
2019-10-03,87.33,88.16,86.24,88.01,486300.0
2019-10-02,88.74,89.0,86.95,87.89,1336800.0
2019-10-01,92.02,92.38,89.32,89.52,698000.0
2019-09-30,90.69,91.9,90.69,91.5,666400.0
2019-09-27,91.14,91.49,90.44,90.69,518300.0
2019-09-26,91.11,91.7,90.4,90.98,449600.0
2019-09-25,89.65,91.55,89.61,91.27,585800.0
2019-09-24,91.34,91.83,89.84,90.42,844700.0
2019-09-23,91.25,91.79,90.27,91.29,1027600.0
2019-09-20,92.5,92.99,91.5,91.79,4341500.0
2019-09-19,93.13,93.68,91.68,92.24,1015500.0
2019-09-18,93.16,94.1,92.58,93.17,988800.0
2019-09-17,92.25,93.9,91.98,93.55,1096900.0
2019-09-16,91.16,92.99,90.85,92.67,1374700.0
2019-09-13,90.94,91.82,90.77,91.21,1038600.0
2019-09-12,90.0,90.76,89.88,90.38,1057700.0
2019-09-11,90.0,90.61,89.06,89.8,1410400.0
2019-09-10,91.93,92.18,89.33,89.97,1669900.0
2019-09-09,92.88,93.93,91.98,92.12,1555200.0
2019-09-06,91.43,92.7,91.43,92.32,859400.0
2019-09-05,91.49,92.25,91.0,91.36,1075500.0
2019-09-04,90.01,91.21,89.85,90.87,1082000.0
2019-09-03,88.06,89.3,87.62,89.29,906900.0
2019-08-30,88.5,88.96,87.98,88.86,774500.0
2019-08-29,86.44,88.26,86.0,87.79,1003400.0
2019-08-28,84.94,85.66,84.04,85.5,623500.0
2019-08-27,86.11,86.39,84.55,85.02,756300.0
2019-08-26,85.86,85.95,84.68,85.61,729600.0
2019-08-23,85.93,87.0,84.66,85.01,986600.0
2019-08-22,86.5,87.47,86.01,86.55,767200.0
2019-08-21,84.64,86.13,84.46,86.03,968400.0
2019-08-20,83.84,83.87,82.16,83.57,1070300.0
2019-08-19,84.87,84.89,83.98,83.99,1026800.0
2019-08-16,82.3,83.67,80.9,83.48,827900.0
2019-08-15,81.0,82.17,80.9,81.68,905200.0
2019-08-14,81.84,82.4,80.5,80.77,798200.0
2019-08-13,82.77,84.89,82.2,83.89,825500.0
2019-08-12,85.38,85.52,82.7,83.01,843000.0
2019-08-09,85.85,86.43,84.38,85.9,868400.0
2019-08-08,83.94,85.937,83.94,85.53,1379400.0
2019-08-07,83.31,83.89,80.55,83.63,1522800.0
2019-08-06,82.12,84.39,81.5,84.17,1634100.0
2019-08-05,81.2,83.47,77.56,81.0,2447800.0
2019-08-02,80.25,80.67,79.01,79.67,1079700.0
2019-08-01,82.84,82.84,80.44,80.57,1258800.0
2019-07-31,84.2,84.72,82.06,82.51,1211500.0
