,open,high,low,close,volume
2019-10-25,125.0,126.65,124.75,126.03,8588286.0
2019-10-24,125.29,125.66,124.07,125.03,8020500.0
2019-10-23,124.2,125.15,124.17,125.12,8828300.0
2019-10-22,123.45,125.1,123.12,124.79,12549100.0
2019-10-21,122.05,123.77,121.99,123.55,12714600.0
2019-10-18,120.0,121.02,119.86,120.56,10417400.0
2019-10-17,120.75,121.57,119.88,120.35,10818500.0
2019-10-16,119.96,120.62,119.38,119.68,11087700.0
2019-10-15,118.85,121.59,117.87,119.96,23379000.0
2019-10-14,115.85,116.87,115.66,116.45,8779000.0
2019-10-11,116.03,117.99,115.87,116.14,15076500.0
2019-10-10,113.14,115.4,113.0,114.21,10994100.0
2019-10-09,112.67,113.16,112.07,112.63,7273700.0
2019-10-08,113.06,113.06,111.66,111.82,10806300.0
2019-10-07,114.19,115.5,114.07,114.37,6771600.0
2019-10-04,112.34,114.94,112.27,114.62,9453100.0
2019-10-03,112.27,112.91,110.52,112.19,12735200.0
2019-10-02,114.81,114.9,112.93,113.25,12548700.0
2019-10-01,118.4,119.0,115.41,115.55,11250300.0
2019-09-30,118.36,118.77,117.22,117.69,9755000.0
2019-09-27,117.96,118.64,117.28,117.72,10207800.0
2019-09-26,117.88,118.05,116.95,117.03,9899200.0
2019-09-25,117.27,118.36,117.12,118.0,9389400.0
2019-09-24,118.75,119.26,117.04,117.33,11696500.0
2019-09-23,117.78,119.12,117.68,118.88,9135100.0
2019-09-20,119.74,120.34,118.87,118.9,21862800.0
2019-09-19,119.7,120.34,119.09,119.38,9382600.0
2019-09-18,118.32,120.08,117.75,119.76,10665600.0
2019-09-17,118.42,118.61,117.24,118.57,10735400.0
2019-09-16,118.9,119.87,118.38,119.16,11993900.0
2019-09-13,119.0,120.4,118.75,120.23,16257200.0
2019-09-12,116.55,118.47,115.92,117.91,12283500.0
2019-09-11,116.89,117.2,115.38,117.19,9919200.0
2019-09-10,116.3,117.27,115.73,116.87,14333100.0
2019-09-09,113.71,116.06,113.6,115.4,13985100.0
2019-09-06,112.66,112.98,111.96,112.61,7836600.0
2019-09-05,111.25,113.72,111.2,112.37,13224700.0
2019-09-04,109.45,110.22,108.56,109.87,6929200.0
2019-09-03,108.98,108.99,107.32,108.56,9868800.0
2019-08-30,109.84,110.56,109.47,109.86,10170300.0
2019-08-29,108.14,109.89,108.02,109.22,10002200.0
2019-08-28,105.08,107.21,105.04,106.8,10585500.0
2019-08-27,107.35,107.56,104.84,105.74,14331800.0
2019-08-26,106.62,106.99,106.01,106.87,8209500.0
2019-08-23,108.0,108.78,105.11,106.02,14762300.0
2019-08-22,108.37,109.27,107.93,108.72,9343400.0
2019-08-21,108.21,108.43,107.45,107.61,8189300.0
2019-08-20,107.85,108.44,107.24,107.31,8374000.0
2019-08-19,109.63,109.75,108.42,108.69,8265400.0
2019-08-16,106.37,107.98,104.3455,107.72,11830600.0
2019-08-15,104.82,106.38,104.34,105.2,13365600.0
2019-08-14,106.3,106.91,104.45,104.8,19491800.0
2019-08-13,107.95,110.33,107.03,109.34,12124700.0
2019-08-12,108.44,108.515,107.21,107.68,9393700.0
2019-08-09,109.35,110.445,108.2921,109.74,9980800.0
2019-08-08,109.05,110.08,108.72,109.86,10903300.0
2019-08-07,108.0,108.28,105.9431,108.03,17320900.0
2019-08-06,110.05,110.5,108.34,110.43,10203500.0
2019-08-05,110.7888,110.98,108.27,109.57,15855300.0
2019-08-02,112.4,113.4236,111.4,112.93,11025500.0
2019-08-01,115.33,116.8,112.6,112.94,15664500.0
2019-07-31,116.1,116.18,114.86,116.0,13648000.0
2019-07-30,115.19,116.083,114.76,115.59,7121100.0
2019-07-29,116.46,117.18,115.79,115.85,8500400.0
2019-07-26,115.77,116.51,115.53,116.22,12800400.0
2019-07-25,116.89,117.24,115.32,115.71,10138400.0
2019-07-24,115.58,116.88,115.52,116.83,10011000.0
2019-07-23,114.88,116.45,114.82,116.36,12752200.0
2019-07-22,112.91,114.45,112.77,114.27,9061100.0
2019-07-19,114.89,115.12,113.4,113.54,10402800.0
2019-07-18,113.93,115.07,113.55,114.67,9397200.0
2019-07-17,114.43,114.94,113.73,113.99,13120900.0
2019-07-16,113.48,115.5,112.92,115.12,16945000.0
2019-07-15,115.54,115.57,113.53,113.9,12946600.0
2019-07-12,114.13,115.35,113.93,115.3,10783400.0
2019-07-11,113.37,114.36,113.12,114.1,11595200.0
2019-07-10,113.37,113.83,112.74,113.02,9242300.0
2019-07-09,112.28,113.49,112.15,113.35,8947300.0
2019-07-08,112.96,113.48,112.5,112.87,6917200.0
2019-07-05,113.51,114.27,112.92,113.49,7929400.0
2019-07-03,113.34,113.87,112.26,112.82,6849400.0
2019-07-02,113.51,114.2,113.22,113.8,10174900.0
2019-07-01,113.23,114.52,113.08,113.68,12724500.0
2019-06-28,111.0414,112.43,110.9,111.8,21634700.0
2019-06-27,108.84,109.55,108.44,108.84,10906600.0
2019-06-26,108.3,109.3106,108.16,108.48,10324600.0
2019-06-25,108.68,108.98,107.67,107.76,18660100.0
2019-06-24,109.28,109.77,108.535,108.66,13039600.0
2019-06-21,110.19,111.67,109.09,109.44,27089500.0
2019-06-20,110.88,111.085,109.033,110.19,13638000.0
2019-06-19,110.82,111.59,109.695,109.91,13126500.0
2019-06-18,109.01,111.405,108.98,110.71,11057300.0
2019-06-17,109.7,110.37,109.06,109.22,8128600.0
2019-06-14,109.5615,110.303,108.63,109.82,9077400.0
2019-06-13,109.46,110.16,109.05,109.54,8406900.0
2019-06-12,110.7,110.9,108.89,109.27,9670500.0
2019-06-11,110.82,111.57,110.37,110.68,9847700.0
2019-06-10,110.75,111.21,110.215,110.34,11380600.0
2019-06-07,109.7,110.02,108.96,109.16,10618900.0
2019-06-06,110.1512,110.87,108.931,110.37,8726700.0
