,open,high,low,close,volume
2019-10-25,18.04,18.34,18.04,18.2,6737346.0
2019-10-24,18.23,18.31,18.04,18.18,8605200.0
2019-10-23,18.09,18.27,18.05,18.23,8038800.0
2019-10-22,18.11,18.41,17.95,18.13,10148500.0
2019-10-21,18.0,18.19,17.96,18.13,8371400.0
2019-10-18,17.46,17.84,17.46,17.77,11816900.0
2019-10-17,17.96,18.03,17.46,17.51,12328000.0
2019-10-16,17.85,17.97,17.6,17.69,10037500.0
2019-10-15,17.66,17.93,17.58,17.78,6499900.0
2019-10-14,17.29,17.67,17.26,17.59,10850100.0
2019-10-11,17.62,17.69,17.39,17.4,10613700.0
2019-10-10,16.89,17.24,16.89,17.19,8274700.0
2019-10-09,16.89,16.94,16.72,16.79,7921000.0
2019-10-08,16.98,17.06,16.73,16.74,9732800.0
2019-10-07,17.26,17.47,17.17,17.28,6438500.0
2019-10-04,17.19,17.28,16.95,17.27,10538500.0
2019-10-03,16.96,17.12,16.59,17.11,10452700.0
2019-10-02,17.2,17.23,16.88,17.05,9314200.0
2019-10-01,18.0,18.04,17.33,17.38,7923700.0
2019-09-30,17.92,18.02,17.74,17.84,6264700.0
2019-09-27,17.95,18.2,17.76,17.86,8897000.0
2019-09-26,17.83,17.97,17.76,17.78,6539500.0
2019-09-25,17.68,18.04,17.66,17.9,8337000.0
2019-09-24,17.83,17.93,17.51,17.65,10337600.0
2019-09-23,17.61,17.91,17.49,17.79,8438200.0
2019-09-20,17.96,18.07,17.68,17.77,19468200.0
2019-09-19,18.21,18.32,18.0,18.05,4896900.0
2019-09-18,18.06,18.35,17.91,18.21,8227300.0
2019-09-17,18.24,18.26,17.92,18.13,7369900.0
2019-09-16,18.01,18.35,17.95,18.34,8598000.0
2019-09-13,18.25,18.49,18.13,18.27,10433700.0
2019-09-12,17.88,18.11,17.62,18.03,13998600.0
2019-09-11,18.14,18.2,17.78,18.0,10971500.0
2019-09-10,17.8,18.19,17.79,18.12,11007800.0
2019-09-09,17.03,17.76,16.95,17.67,16367800.0
2019-09-06,17.0,17.13,16.79,16.8,9037500.0
2019-09-05,16.76,17.18,16.68,17.04,10042800.0
2019-09-04,16.4,16.51,16.32,16.4,5454200.0
2019-09-03,16.46,16.47,16.11,16.22,7514200.0
2019-08-30,16.58,16.76,16.52,16.6,6857700.0
2019-08-29,16.34,16.58,16.3,16.45,8255800.0
2019-08-28,15.69,16.19,15.69,16.15,6138700.0
2019-08-27,16.05,16.08,15.68,15.81,5616600.0
2019-08-26,15.95,16.02,15.77,15.96,5911600.0
2019-08-23,16.43,16.63,15.9,15.98,8863600.0
2019-08-22,16.5,16.62,16.36,16.57,5797700.0
2019-08-21,16.42,16.5,16.25,16.38,7137100.0
2019-08-20,16.39,16.46,16.23,16.26,7070400.0
2019-08-19,16.66,16.77,16.47,16.54,9509700.0
2019-08-16,16.07,16.45,15.84,16.43,8949100.0
2019-08-15,16.08,16.19,15.84,15.92,8638400.0
2019-08-14,16.04,16.291,15.84,16.0,24127900.0
2019-08-13,16.15,16.68,16.06,16.45,9026300.0
2019-08-12,16.23,16.295,16.11,16.2,6794100.0
2019-08-09,16.44,16.63,16.31,16.47,6234000.0
2019-08-08,16.34,16.62,16.28,16.52,8146600.0
2019-08-07,16.18,16.25,15.85,16.16,12742000.0
2019-08-06,16.66,16.7,16.25,16.65,8262800.0
2019-08-05,16.82,16.82,16.26,16.45,11632200.0
2019-08-02,17.32,17.358,16.91,17.2,8371400.0
2019-08-01,18.4,18.3993,17.29,17.32,13471700.0
2019-07-31,18.52,18.56,18.28,18.37,8915900.0
2019-07-30,18.18,18.5402,18.15,18.54,6100700.0
2019-07-29,18.47,18.61,18.33,18.34,5580200.0
2019-07-26,18.21,18.52,18.11,18.51,7633300.0
2019-07-25,18.41,18.51,18.03,18.12,10946600.0
2019-07-24,17.98,18.5,17.98,18.44,10532600.0
2019-07-23,17.48,18.02,17.35,17.97,10200700.0
2019-07-22,17.45,17.5,17.32,17.37,10351900.0
2019-07-19,17.34,17.59,17.29,17.45,7597500.0
2019-07-18,17.17,17.52,17.05,17.31,10130000.0
2019-07-17,17.2597,17.33,17.08,17.13,9816500.0
2019-07-16,17.4,17.52,17.19,17.38,13353400.0
2019-07-15,17.88,17.93,17.52,17.59,8473100.0
2019-07-12,17.88,17.93,17.73,17.87,6045000.0
2019-07-11,17.62,17.85,17.58,17.83,6504500.0
2019-07-10,17.78,17.88,17.55,17.61,7391800.0
2019-07-09,17.73,17.99,17.65,17.84,7963900.0
2019-07-08,17.86,18.02,17.72,17.81,6781100.0
2019-07-05,17.989,18.23,17.92,18.0,5721800.0
2019-07-03,17.75,17.805,17.58,17.79,4519600.0
2019-07-02,17.83,17.9,17.5509,17.67,9047600.0
2019-07-01,17.94,18.07,17.68,17.84,8043800.0
2019-06-28,17.58,17.78,17.35,17.75,13264700.0
2019-06-27,17.25,17.48,17.245,17.34,10968900.0
