,open,high,low,close,volume
2019-10-25,54.55,54.55,53.675,53.75,7826073.0
2019-10-24,54.57,54.82,54.49,54.61,11051400.0
2019-10-23,54.06,54.66,54.01,54.64,8556600.0
2019-10-22,54.23,54.42,53.74,53.85,9533400.0
2019-10-21,54.45,54.56,53.68,54.23,12778900.0
2019-10-18,55.0,55.39,54.45,54.78,18122400.0
2019-10-17,53.69,54.12,53.58,53.79,13190300.0
2019-10-16,53.46,53.57,53.13,53.49,10454800.0
2019-10-15,53.43,53.68,53.27,53.51,9564300.0
2019-10-14,53.49,53.68,53.22,53.3,7306300.0
2019-10-11,53.65,53.7,53.2,53.3,8981700.0
2019-10-10,53.55,53.88,53.36,53.66,8942900.0
2019-10-09,54.06,54.07,53.54,53.83,7135000.0
2019-10-08,53.88,54.07,53.45,53.58,13301900.0
2019-10-07,54.33,54.36,53.77,53.87,5964900.0
2019-10-04,54.0,54.54,53.89,54.54,9295400.0
2019-10-03,53.5,53.98,52.82,53.84,13817500.0
2019-10-02,54.21,54.44,52.9,53.08,14343600.0
2019-10-01,54.53,54.78,54.01,54.65,14261500.0
2019-09-30,54.15,54.68,54.15,54.44,9808700.0
2019-09-27,54.56,54.64,54.0,54.31,7939900.0
2019-09-26,54.47,54.58,54.13,54.39,10031200.0
2019-09-25,54.44,54.48,54.0,54.17,10248400.0
2019-09-24,54.25,54.61,54.04,54.3,10093000.0
2019-09-23,53.91,54.36,53.88,54.14,6485300.0
2019-09-20,54.69,54.69,53.9,53.91,19211500.0
2019-09-19,54.23,54.6,54.13,54.52,7560300.0
2019-09-18,54.2,54.29,53.82,54.23,9700400.0
2019-09-17,54.1,54.7,53.96,54.24,11347400.0
2019-09-16,54.1,54.34,53.63,53.96,11172000.0
2019-09-13,54.48,54.79,54.07,54.26,11486100.0
2019-09-12,55.1,55.31,54.98,55.11,12357900.0
2019-09-11,54.29,54.8,53.97,54.77,9740400.0
2019-09-10,54.23,54.44,53.85,54.4,12038200.0
2019-09-09,55.03,55.08,54.36,54.52,10814900.0
2019-09-06,55.44,55.44,54.76,55.23,9093500.0
2019-09-05,55.75,55.77,55.03,55.12,13677000.0
2019-09-04,55.35,55.92,55.3,55.77,10718100.0
2019-09-03,54.98,55.33,54.87,55.3,12991400.0
2019-08-30,55.16,55.22,54.81,55.04,8746700.0
2019-08-29,55.26,55.34,54.6,55.05,9262800.0
2019-08-28,54.66,55.15,54.42,55.11,10046400.0
2019-08-27,54.7,54.95,54.41,54.72,13537000.0
