,open,high,low,close,volume
2019-10-25,24.89,25.38,24.905,25.28,5719420.0
2019-10-24,25.11,25.11,24.69,24.93,5113100.0
2019-10-23,24.91,25.18,24.81,24.98,7093900.0
2019-10-22,24.25,24.92,24.11,24.85,7216800.0
2019-10-21,24.0,24.34,23.99,24.11,4404200.0
2019-10-18,24.4,24.55,23.91,23.94,7250200.0
2019-10-17,24.51,24.63,24.33,24.43,4016000.0
2019-10-16,24.3,24.72,24.28,24.51,5978000.0
2019-10-15,24.2,24.35,24.05,24.31,7753600.0
2019-10-14,24.15,24.23,23.87,24.1,4431400.0
2019-10-11,24.06,24.42,24.01,24.25,8096400.0
2019-10-10,24.1,24.37,23.71,23.84,14008100.0
2019-10-09,24.54,24.73,24.48,24.53,4706900.0
2019-10-08,24.71,24.81,24.28,24.46,7873700.0
2019-10-07,24.85,25.05,24.81,24.84,7982700.0
2019-10-04,24.53,24.8,24.5,24.79,7781900.0
2019-10-03,24.92,25.15,24.41,24.59,11157100.0
2019-10-02,25.43,25.45,24.92,25.05,7809900.0
2019-10-01,25.85,25.97,25.38,25.59,7813800.0
2019-09-30,25.8,25.93,25.64,25.78,6117000.0
2019-09-27,25.85,25.91,25.56,25.74,4655500.0
2019-09-26,25.86,26.01,25.76,25.78,5129300.0
2019-09-25,25.82,26.13,25.76,25.77,8881300.0
2019-09-24,25.65,26.09,25.57,25.81,5084900.0
2019-09-23,25.59,25.94,25.54,25.72,5231800.0
2019-09-20,25.88,25.98,25.63,25.68,8801900.0
2019-09-19,25.29,26.04,25.12,25.82,10035200.0
2019-09-18,25.6,25.66,25.1,25.22,7449300.0
2019-09-17,25.85,26.0,25.61,25.65,8053000.0
2019-09-16,26.1,26.33,25.88,25.98,6994800.0
2019-09-13,25.49,26.27,25.47,26.23,12448900.0
2019-09-12,25.75,26.77,23.84,25.59,30230500.0
2019-09-11,25.74,25.79,25.21,25.57,14352500.0
2019-09-10,25.11,25.83,25.05,25.82,11613100.0
2019-09-09,24.76,25.22,24.72,25.19,10083700.0
2019-09-06,24.95,25.12,24.59,24.7,11326500.0
2019-09-05,24.93,25.11,24.61,24.83,11177300.0
2019-09-04,24.26,24.81,24.16,24.66,11940400.0
2019-09-03,23.49,24.13,23.3,24.01,8153000.0
2019-08-30,23.71,23.95,23.59,23.68,6170500.0
2019-08-29,23.74,23.98,23.59,23.67,5470700.0
2019-08-28,23.13,23.62,23.02,23.51,7035800.0
2019-08-27,24.0,24.09,23.1,23.12,10237200.0
2019-08-26,23.42,23.93,23.41,23.92,5626600.0
2019-08-23,23.59,23.69,23.22,23.29,7348700.0
2019-08-22,23.4,23.73,23.24,23.67,6468600.0
2019-08-21,23.08,23.39,23.03,23.34,6136200.0
2019-08-20,23.02,23.18,22.85,22.91,7963600.0
2019-08-19,22.84,23.06,22.66,22.99,7218800.0
2019-08-16,22.23,22.78,21.821,22.66,6025100.0
2019-08-15,22.35,22.52,21.82,22.23,9670300.0
2019-08-14,22.72,22.72,22.11,22.11,9269400.0
2019-08-13,23.0,23.38,22.8987,23.05,7462300.0
2019-08-12,23.34,23.39,22.9912,23.07,7820800.0
2019-08-09,23.14,23.4477,23.11,23.32,8259800.0
2019-08-08,23.8,23.95,23.07,23.35,15310800.0
2019-08-07,22.06,23.93,21.91,23.9,30946500.0
2019-08-06,22.02,22.3998,21.7,22.28,12238900.0
2019-08-05,21.99,22.09,21.72,21.92,13792700.0
2019-08-02,21.92,22.44,21.7499,22.24,17253800.0
2019-08-01,21.15,21.71,21.1,21.52,12353600.0
2019-07-31,21.34,21.35,20.91,21.16,10717200.0
2019-07-30,21.4,21.46,21.24,21.43,8743200.0
2019-07-29,21.3909,21.55,21.26,21.43,6599700.0
2019-07-26,21.18,21.67,21.12,21.48,9593300.0
2019-07-25,21.26,21.41,21.1,21.14,10592900.0
2019-07-24,20.79,21.33,20.78,21.24,12400500.0
2019-07-23,20.93,21.0,20.7,20.82,9577700.0
2019-07-22,21.73,21.81,20.85,20.86,10966300.0
2019-07-19,21.71,21.93,21.67,21.69,7071100.0
2019-07-18,21.64,21.73,21.52,21.66,6487400.0
2019-07-17,21.98,22.03,21.59,21.64,7303800.0
2019-07-16,22.09,22.12,21.92,21.96,5659700.0
2019-07-15,21.83,22.15,21.83,22.08,7398900.0
2019-07-12,21.82,22.11,21.71,21.89,6051200.0
2019-07-11,21.74,21.83,21.58,21.76,6102100.0
2019-07-10,21.75,21.82,21.33,21.65,7953600.0
2019-07-09,21.75,21.83,21.59,21.71,5200800.0
2019-07-08,21.76,21.97,21.63,21.8,9034200.0
2019-07-05,21.58,21.81,21.53,21.75,5802500.0
2019-07-03,21.42,21.63,21.36,21.55,5279600.0
2019-07-02,21.56,21.61,21.17,21.44,10437900.0
2019-07-01,21.84,22.03,21.42,21.6,7948500.0
2019-06-28,21.45,21.86,21.39,21.71,10571800.0
2019-06-27,21.42,21.62,21.3,21.39,8460500.0
2019-06-26,21.79,21.96,21.3,21.43,15903400.0
2019-06-25,22.1,22.15,21.47,21.85,15139200.0
2019-06-24,22.17,22.41,22.05,22.08,9738700.0
2019-06-21,23.22,23.25,22.2,22.24,26306700.0
2019-06-20,22.48,23.71,22.43,23.13,28762900.0
2019-06-19,23.75,23.87,23.43,23.64,11300900.0
2019-06-18,24.28,24.71,23.92,23.94,13111600.0
2019-06-17,24.31,24.86,24.3,24.36,14319100.0
2019-06-14,24.66,24.94,24.18,24.26,7835600.0
2019-06-13,24.66,24.81,24.49,24.62,8832900.0
2019-06-12,24.61,24.99,24.53,24.63,6805000.0
2019-06-11,24.41,24.82,24.27,24.66,11197500.0
2019-06-10,24.03,24.47,23.98,24.39,9762700.0
2019-06-07,23.73,24.05,23.57,23.93,6812300.0
2019-06-06,23.4,23.82,23.17,23.7,6564300.0
