,open,high,low,close,volume
2019-10-25,145.39,146.07,144.365,144.49,804115.0
2019-10-24,146.3,147.6,144.05,145.5,1168300.0
2019-10-23,144.29,146.22,143.75,145.85,1361100.0
2019-10-22,146.53,147.81,144.65,145.06,1638600.0
2019-10-21,147.25,149.23,145.86,146.7,1683500.0
2019-10-18,141.0,145.82,140.36,145.25,3349300.0
2019-10-17,135.16,136.14,132.95,135.42,2546500.0
2019-10-16,133.99,135.06,133.51,134.29,643500.0
2019-10-15,132.52,134.32,131.53,134.18,576900.0
2019-10-14,132.61,133.22,131.48,132.0,541200.0
2019-10-11,132.65,134.38,131.14,133.5,1385100.0
2019-10-10,128.67,130.71,128.45,130.45,612700.0
2019-10-09,127.86,129.35,127.44,129.06,480500.0
2019-10-08,126.52,128.16,125.95,126.73,841200.0
2019-10-07,127.33,129.28,126.8,128.13,643600.0
2019-10-04,127.51,128.37,126.6,127.8,835100.0
2019-10-03,126.24,127.54,124.52,127.04,543800.0
2019-10-02,127.72,128.12,125.19,126.58,834500.0
2019-10-01,133.56,133.68,128.45,129.01,727600.0
2019-09-30,133.1,133.41,132.21,133.01,606800.0
2019-09-27,133.79,134.47,132.19,132.52,478800.0
2019-09-26,132.64,133.83,131.91,133.25,426000.0
2019-09-25,132.37,133.05,131.7,132.58,544300.0
2019-09-24,132.21,134.7,131.97,132.56,974700.0
2019-09-23,131.9,133.18,131.32,131.61,765300.0
2019-09-20,132.85,133.51,131.69,132.04,779500.0
2019-09-19,132.71,133.47,132.07,132.3,645900.0
2019-09-18,131.44,132.91,131.08,132.88,506000.0
2019-09-17,132.37,132.5,130.85,132.0,669300.0
2019-09-16,132.19,134.09,132.19,132.75,793000.0
2019-09-13,133.39,133.74,132.34,133.09,947400.0
2019-09-12,133.55,133.74,131.16,132.48,781000.0
2019-09-11,133.26,133.55,131.6,132.66,1312500.0
2019-09-10,131.74,133.39,130.05,133.09,1060900.0
2019-09-09,129.81,132.73,129.5,131.86,1179500.0
2019-09-06,129.56,130.3,128.48,128.91,769000.0
2019-09-05,128.99,130.54,128.82,129.92,832000.0
2019-09-04,126.84,127.82,126.58,127.5,574900.0
2019-09-03,124.88,127.1,124.74,126.37,1058600.0
2019-08-30,125.22,125.98,124.25,125.8,966800.0
2019-08-29,123.72,125.7,123.72,124.59,817100.0
2019-08-28,120.54,123.0,119.66,122.95,661100.0
2019-08-27,121.64,122.37,120.79,121.21,675600.0
2019-08-26,120.53,121.15,118.94,120.88,665500.0
2019-08-23,122.97,123.33,118.93,119.5,877200.0
2019-08-22,124.73,124.73,121.58,123.2,826600.0
2019-08-21,123.94,124.56,123.18,124.33,909600.0
2019-08-20,121.45,122.99,120.99,122.05,745900.0
2019-08-19,121.69,122.73,121.54,122.08,682700.0
2019-08-16,117.82,120.27,116.11,120.07,605700.0
2019-08-15,117.39,118.33,116.11,117.07,615500.0
2019-08-14,118.36,119.79,116.8463,117.16,904300.0
2019-08-13,116.59,120.16,116.35,119.95,715900.0
2019-08-12,117.77,118.01,116.32,116.96,601000.0
2019-08-09,118.7785,119.36,117.79,118.77,522200.0
2019-08-08,117.74,119.4,117.19,119.16,510100.0
2019-08-07,115.82,117.1,115.15,116.9,785100.0
2019-08-06,116.72,117.79,115.92,117.69,588300.0
2019-08-05,118.96,118.9716,115.12,115.79,1069200.0
2019-08-02,120.9818,122.04,120.56,121.2,1219100.0
2019-08-01,123.63,124.39,120.89,121.66,728700.0
2019-07-31,124.68,125.01,122.93,123.74,753700.0
2019-07-30,124.3465,124.77,123.88,124.74,507800.0
2019-07-29,124.28,125.81,123.9,125.0,678300.0
2019-07-26,123.88,125.04,123.54,124.46,518700.0
2019-07-25,123.01,124.0,122.4614,123.32,585400.0
2019-07-24,122.9,125.19,122.02,123.23,928500.0
2019-07-23,126.0,126.47,123.49,123.96,952800.0
2019-07-22,123.59,125.87,123.4,125.34,1366000.0
2019-07-19,121.5,123.61,120.01,123.43,2291700.0
2019-07-18,117.81,118.99,116.78,117.99,2084800.0
2019-07-17,119.34,120.19,116.77,116.79,1286200.0
2019-07-16,122.33,123.99,121.98,122.82,613600.0
2019-07-15,122.79,122.98,121.17,121.6,893900.0
2019-07-12,121.65,122.85,121.5,122.77,738700.0
2019-07-11,119.17,121.17,118.91,121.13,1065500.0
2019-07-10,121.52,121.91,118.75,119.17,734800.0
2019-07-09,120.76,122.33,120.31,120.76,982300.0
2019-07-08,122.06,122.62,120.86,121.28,1017200.0
2019-07-05,123.8729,123.87,121.445,122.94,469000.0
2019-07-03,123.87,124.5,123.51,124.49,378700.0
2019-07-02,123.33,124.135,122.14,123.71,679300.0
2019-07-01,123.01,124.09,122.27,123.33,903300.0
2019-06-28,120.88,122.42,120.4,121.82,976000.0
2019-06-27,119.24,121.85,119.24,120.77,800400.0
2019-06-26,118.19,119.4,117.38,118.53,926300.0
2019-06-25,117.83,118.8,116.4,117.86,1015100.0
2019-06-24,119.35,119.75,117.65,117.88,858800.0
2019-06-21,118.68,120.8,117.9329,119.5,1908600.0
2019-06-20,118.68,118.97,117.59,118.04,801200.0
2019-06-19,116.51,117.55,115.34,117.36,723900.0
2019-06-18,115.03,116.98,114.98,116.45,614300.0
2019-06-17,116.73,116.73,114.36,114.44,590800.0
2019-06-14,117.18,117.21,115.42,116.91,656400.0
2019-06-13,118.31,118.64,116.57,116.98,758000.0
2019-06-12,118.49,118.88,117.53,118.47,446500.0
2019-06-11,120.69,121.3,118.56,119.19,759200.0
2019-06-10,120.0,121.72,118.625,120.01,1240700.0
2019-06-07,117.51,118.53,117.0023,117.5,891600.0
2019-06-06,118.89,119.07,116.09,117.34,1657100.0
