,open,high,low,close,volume
2019-10-25,50.73,51.02,50.66,51.0,673336.0
2019-10-24,51.25,51.32,50.8,50.84,680300.0
2019-10-23,50.92,51.23,50.87,51.1,754700.0
2019-10-22,51.2,51.2,50.68,50.89,626300.0
2019-10-21,51.33,51.52,51.2,51.46,510700.0
2019-10-18,50.74,51.4,50.74,50.96,624100.0
2019-10-17,51.28,51.5,50.8,50.85,773500.0
2019-10-16,50.97,51.02,50.65,50.95,753400.0
2019-10-15,50.54,51.24,50.54,51.07,561300.0
2019-10-14,50.15,50.55,50.14,50.41,603700.0
2019-10-11,50.26,50.93,50.24,50.48,758400.0
2019-10-10,49.24,49.93,49.21,49.54,677700.0
2019-10-09,49.08,49.39,48.81,49.1,586200.0
2019-10-08,49.17,49.19,48.69,48.69,855400.0
2019-10-07,49.94,50.17,49.58,49.58,906800.0
2019-10-04,49.19,50.08,49.15,49.99,1094200.0
2019-10-03,48.81,49.18,48.4,49.17,782000.0
2019-10-02,49.84,49.9,48.67,48.87,1220500.0
2019-10-01,51.65,51.68,50.12,50.12,809400.0
2019-09-30,51.58,51.77,51.45,51.48,833100.0
2019-09-27,51.31,51.51,51.02,51.51,820300.0
2019-09-26,51.01,51.31,50.91,51.15,557100.0
2019-09-25,51.54,51.81,51.02,51.02,939100.0
2019-09-24,51.7,52.31,51.32,51.65,1283800.0
2019-09-23,50.61,51.61,50.51,51.58,925200.0
2019-09-20,51.17,51.32,50.7,50.97,2581400.0
2019-09-19,51.25,51.42,50.95,51.05,606700.0
2019-09-18,51.13,51.36,50.87,51.28,743300.0
2019-09-17,50.94,51.57,50.77,51.37,991000.0
2019-09-16,50.65,51.03,50.37,51.01,932500.0
2019-09-13,50.69,50.97,50.44,50.8,948900.0
2019-09-12,50.08,50.5,49.81,50.39,924800.0
2019-09-11,49.88,50.03,49.3,50.03,737200.0
2019-09-10,49.74,49.96,49.46,49.91,852700.0
2019-09-09,49.57,49.65,49.18,49.61,778000.0
2019-09-06,48.96,49.62,48.92,49.28,1170700.0
2019-09-05,49.19,49.55,48.89,48.96,674300.0
2019-09-04,48.28,48.74,48.18,48.65,869200.0
2019-09-03,47.68,48.0,47.63,47.98,927300.0
