,open,high,low,close,volume
2019-10-25,62.09,62.63,61.66,61.81,1467125.0
2019-10-24,61.63,62.09,61.22,61.97,2294700.0
2019-10-23,61.61,61.92,61.12,61.67,2719700.0
2019-10-22,61.41,62.06,60.86,61.61,3220500.0
2019-10-21,61.88,62.42,60.86,61.02,4603200.0
2019-10-18,61.23,61.72,60.9,61.71,4064100.0
2019-10-17,61.36,61.75,60.72,61.05,3090900.0
2019-10-16,59.82,61.19,59.61,61.17,3148900.0
2019-10-15,59.35,59.75,59.01,59.73,3327300.0
2019-10-14,58.55,59.23,58.47,58.98,2579900.0
2019-10-11,59.25,59.43,58.47,58.52,3819300.0
2019-10-10,59.0,59.22,58.13,58.85,3472700.0
2019-10-09,59.3,59.73,58.94,59.02,2332800.0
2019-10-08,59.11,59.98,58.88,59.14,2878300.0
2019-10-07,59.21,59.7,58.91,59.33,3473200.0
2019-10-04,58.54,59.72,58.32,59.49,4555200.0
2019-10-03,57.97,59.25,57.66,58.51,7304300.0
2019-10-02,56.44,57.92,54.95,57.82,13245100.0
2019-10-01,55.99,56.19,55.28,55.72,4122100.0
2019-09-30,54.93,56.14,54.76,55.85,3617300.0
2019-09-27,55.75,55.77,54.62,54.72,2347600.0
2019-09-26,55.92,55.96,55.09,55.57,2360400.0
2019-09-25,55.95,55.99,54.97,55.56,3877900.0
2019-09-24,54.94,56.05,54.7,55.2,3056800.0
2019-09-23,54.01,55.21,53.83,54.89,2944400.0
2019-09-20,53.94,54.54,53.77,54.1,2569700.0
2019-09-19,54.4,54.49,53.7,53.79,1541400.0
2019-09-18,52.5,54.22,52.43,54.15,3806700.0
2019-09-17,53.34,53.68,52.99,53.1,2691800.0
2019-09-16,53.52,54.07,53.24,53.34,4264400.0
2019-09-13,54.85,55.0,53.34,53.62,5066300.0
2019-09-12,54.58,54.98,53.95,54.58,3173900.0
2019-09-11,53.49,54.35,53.13,54.0,2769300.0
2019-09-10,52.49,53.3,52.13,53.3,2347000.0
2019-09-09,52.14,53.26,52.02,52.44,2927600.0
2019-09-06,51.94,52.47,51.81,52.0,1612400.0
2019-09-05,52.5,52.5,51.21,51.69,2328500.0
2019-09-04,51.26,52.26,51.07,51.99,1329800.0
2019-09-03,50.71,51.4,50.52,51.17,2227600.0
