,open,high,low,close,volume
2019-10-25,56.07,56.8,55.73,56.74,3988375.0
2019-10-24,54.2,57.1,54.0,56.29,10462200.0
2019-10-23,52.93,53.41,52.66,53.24,5038300.0
2019-10-22,53.12,53.51,52.29,52.92,5598400.0
2019-10-21,54.31,54.31,53.14,53.23,6836000.0
2019-10-18,53.87,54.72,53.45,53.48,7672900.0
2019-10-17,54.05,54.21,53.69,53.86,3872500.0
2019-10-16,54.16,54.6,53.66,53.67,4356100.0
2019-10-15,53.99,54.78,53.65,54.16,3505800.0
2019-10-14,53.72,54.3,53.72,54.03,1932800.0
2019-10-11,54.37,54.61,53.88,53.92,3032800.0
2019-10-10,52.7,53.84,52.6,53.67,2822400.0
2019-10-09,53.57,54.14,53.13,53.49,3698600.0
2019-10-08,52.73,53.72,52.41,53.03,3751400.0
2019-10-07,53.0,53.45,52.78,53.04,2775100.0
2019-10-04,52.16,52.99,52.16,52.79,2779800.0
2019-10-03,52.04,52.44,51.26,52.26,4079200.0
2019-10-02,52.72,53.0,51.19,52.04,5131400.0
2019-10-01,54.29,54.9,53.29,53.37,4204900.0
2019-09-30,54.4,54.69,53.73,54.01,3712900.0
2019-09-27,54.9,55.17,54.06,54.34,3160700.0
2019-09-26,54.87,55.18,54.44,54.58,2528900.0
2019-09-25,54.76,55.34,54.52,54.82,2118900.0
2019-09-24,54.94,55.18,54.07,54.73,3402100.0
2019-09-23,54.35,54.76,53.96,54.48,2910200.0
2019-09-20,55.16,55.44,54.27,54.49,7034800.0
2019-09-19,56.09,56.21,55.06,55.08,4054800.0
2019-09-18,55.7,56.49,55.6,56.23,4514200.0
2019-09-17,55.25,56.28,55.21,55.73,4270200.0
2019-09-16,54.39,55.86,54.06,55.81,4727300.0
2019-09-13,55.98,56.35,55.65,55.79,4400800.0
2019-09-12,54.79,55.47,54.3,54.98,2963500.0
2019-09-11,53.47,54.86,53.04,54.71,5496000.0
2019-09-10,53.29,53.63,52.88,53.38,3196200.0
2019-09-09,52.14,53.3,51.82,53.08,3127600.0
2019-09-06,52.75,53.15,52.08,52.14,2773600.0
2019-09-05,52.6,53.13,52.44,52.52,3236100.0
2019-09-04,51.83,52.29,51.01,52.1,3167000.0
2019-09-03,51.89,52.24,50.91,51.38,4298000.0
2019-08-30,52.6,53.19,52.18,52.32,3274700.0
2019-08-29,51.66,52.39,51.61,52.3,3851800.0
2019-08-28,50.24,51.52,50.12,51.16,2614900.0
2019-08-27,50.97,51.12,50.19,50.49,2519100.0
2019-08-26,50.94,51.16,50.24,50.69,3608800.0
2019-08-23,50.95,51.94,50.23,50.56,4692100.0
2019-08-22,50.81,51.57,50.66,51.19,3470200.0
2019-08-21,50.41,50.89,50.35,50.59,2096500.0
2019-08-20,50.45,50.47,49.73,50.02,2296900.0
2019-08-19,50.33,50.95,50.3,50.64,3540100.0
2019-08-16,48.6989,50.01,48.09,49.79,2997200.0
2019-08-15,48.91,49.04,48.09,48.21,2935600.0
2019-08-14,49.42,49.44,48.22,48.76,3653800.0
2019-08-13,49.4,50.95,49.36,49.92,3240500.0
2019-08-12,50.0233,50.15,49.54,50.05,2112100.0
2019-08-09,50.23,50.76,50.062,50.45,2594300.0
2019-08-08,50.24,50.8,49.91,50.49,3673100.0
2019-08-07,49.18,50.165,48.77,49.93,3592400.0
2019-08-06,49.39,49.79,49.05,49.71,3234900.0
2019-08-05,50.0,50.0,48.4,48.96,5156500.0
2019-08-02,50.84,50.97,50.25,50.62,3142500.0
2019-08-01,51.53,52.28,50.42,50.96,4588000.0
2019-07-31,52.55,52.71,51.39,51.53,4985500.0
2019-07-30,52.55,52.8,52.15,52.55,2794400.0
2019-07-29,53.15,53.69,52.69,52.88,3785900.0
2019-07-26,54.86,54.86,53.14,53.25,5835400.0
2019-07-25,53.33,55.94,52.41,54.91,8684100.0
2019-07-24,54.0,54.94,53.85,54.72,4756600.0
2019-07-23,52.75,54.25,52.73,54.12,3399900.0
2019-07-22,52.3098,53.1,52.27,52.68,3567200.0
2019-07-19,52.53,52.93,52.0,52.02,4285500.0
2019-07-18,52.17,52.7278,51.9,52.44,2969400.0
2019-07-17,53.13,53.13,52.27,52.3,3712800.0
2019-07-16,52.28,53.79,52.28,53.28,3601100.0
2019-07-15,52.35,53.0,52.18,52.26,3191400.0
2019-07-12,52.0,52.81,51.82,52.51,2643100.0
2019-07-11,52.17,52.23,51.77,51.84,2094500.0
2019-07-10,51.91,52.34,51.72,51.86,3224000.0
2019-07-09,51.71,52.24,51.47,51.69,3121800.0
2019-07-08,51.6,52.29,51.41,52.08,3164700.0
2019-07-05,51.85,52.25,51.46,51.88,2113200.0
2019-07-03,51.77,52.23,51.58,51.89,2717000.0
