,open,high,low,close,volume
2019-10-25,135.91,135.91,134.88,135.48,254443.0
2019-10-24,135.82,136.99,134.98,136.16,528600.0
2019-10-23,136.4,136.69,134.53,135.95,530100.0
2019-10-22,136.94,137.49,136.28,136.38,635400.0
2019-10-21,135.08,136.94,134.9,136.86,546800.0
2019-10-18,134.11,135.52,133.71,135.15,427000.0
2019-10-17,133.3,134.67,132.99,134.08,492000.0
2019-10-16,132.95,133.46,132.01,133.42,484800.0
2019-10-15,132.69,133.22,131.8,133.19,481000.0
2019-10-14,132.0,132.69,131.79,132.62,283000.0
2019-10-11,132.58,132.63,131.02,131.79,489400.0
2019-10-10,132.64,134.0,132.17,133.47,332900.0
2019-10-09,133.25,134.17,132.83,132.97,313500.0
2019-10-08,132.77,133.76,131.71,132.65,409600.0
2019-10-07,131.74,133.29,131.47,132.68,355600.0
2019-10-04,131.12,132.46,131.12,132.44,584100.0
2019-10-03,130.39,132.54,130.23,131.04,666900.0
2019-10-02,129.9,130.62,129.56,130.53,462900.0
2019-10-01,129.83,130.42,128.19,129.98,491000.0
2019-09-30,130.05,131.06,129.96,130.01,665700.0
2019-09-27,130.85,130.85,129.48,130.33,401400.0
2019-09-26,130.39,130.82,130.16,130.46,557900.0
2019-09-25,129.24,130.22,129.08,129.89,351500.0
2019-09-24,129.22,130.55,128.62,129.24,549700.0
2019-09-23,128.64,130.15,128.39,129.14,323500.0
2019-09-20,129.93,129.93,128.52,129.05,855700.0
2019-09-19,130.02,130.28,129.24,129.82,336200.0
2019-09-18,130.33,130.33,128.54,129.67,404200.0
2019-09-17,128.66,129.69,128.57,129.67,726500.0
2019-09-16,127.2,128.37,127.02,128.06,923000.0
2019-09-13,128.28,129.14,126.55,126.96,437100.0
2019-09-12,129.58,130.28,127.87,128.66,412500.0
2019-09-11,127.46,128.55,126.35,128.55,511500.0
2019-09-10,127.89,127.94,125.14,127.94,456500.0
2019-09-09,128.81,129.53,128.11,128.48,535000.0
2019-09-06,128.66,129.28,128.35,128.82,378800.0
2019-09-05,128.02,128.48,127.01,128.35,352800.0
2019-09-04,128.65,128.97,127.8,128.55,421400.0
2019-09-03,126.3,128.4,126.3,127.88,477100.0
2019-08-30,127.25,127.33,126.27,126.68,425700.0
2019-08-29,127.26,127.58,125.86,126.9,369300.0
2019-08-28,125.42,126.58,125.08,126.44,456800.0
2019-08-27,126.54,126.81,125.12,125.15,536100.0
2019-08-26,125.57,126.15,124.72,126.06,361100.0
2019-08-23,126.96,127.38,124.45,124.82,496900.0
2019-08-22,125.97,127.04,125.75,126.94,406500.0
2019-08-21,125.58,126.09,124.64,125.79,267000.0
2019-08-20,126.81,127.03,125.19,125.33,345800.0
2019-08-19,124.62,126.86,123.91,126.33,570400.0
2019-08-16,124.25,125.25,122.66,124.21,644500.0
2019-08-15,122.91,124.39,122.66,123.53,645500.0
2019-08-14,124.09,124.6,122.44,122.64,809300.0
2019-08-13,124.37,124.5,122.295,124.27,604100.0
2019-08-12,123.73,125.31,123.41,124.24,327100.0
2019-08-09,122.83,123.9,122.16,123.78,450200.0
2019-08-08,121.62,123.37,120.35,123.08,538500.0
2019-08-07,120.33,122.76,118.9,121.55,721600.0
2019-08-06,117.94,120.79,117.69,120.52,817500.0
2019-08-05,121.67,121.67,116.16,117.53,1183000.0
2019-08-02,121.1416,122.5,120.17,121.59,726700.0
2019-08-01,118.23,121.68,117.08,120.74,920900.0
2019-07-31,119.17,119.83,117.76,117.84,840000.0
2019-07-30,119.18,120.45,118.5,119.22,394700.0
2019-07-29,119.21,120.4,118.71,119.18,518000.0
2019-07-26,118.82,119.62,118.04,118.74,711200.0
2019-07-25,118.43,119.01,117.7682,118.63,661000.0
2019-07-24,119.59,119.59,118.2,118.69,800600.0
2019-07-23,118.6517,119.39,117.98,119.15,743000.0
2019-07-22,119.33,119.5,118.08,118.4,509600.0
2019-07-19,121.51,121.93,118.96,119.05,500400.0
2019-07-18,120.66,121.73,119.6655,121.44,292700.0
2019-07-17,121.2,121.73,119.82,120.84,347400.0
2019-07-16,120.95,121.19,119.92,121.07,361600.0
2019-07-15,120.93,121.95,120.36,120.95,439300.0
2019-07-12,121.3,121.48,120.43,120.7,410300.0
2019-07-11,123.68,123.7468,121.31,121.96,630100.0
2019-07-10,122.88,123.88,121.85,123.56,524300.0
2019-07-09,121.68,122.7,121.39,122.48,364300.0
2019-07-08,121.25,122.4,121.04,122.14,377300.0
2019-07-05,120.77,121.56,119.0848,121.26,283400.0
2019-07-03,120.9,122.2678,120.73,121.57,249200.0
2019-07-02,118.91,121.35,118.71,120.55,735900.0
2019-07-01,118.52,118.98,116.4,118.53,685200.0
2019-06-28,116.07,118.703,116.07,117.76,837800.0
2019-06-27,115.85,117.09,115.85,116.32,476800.0
2019-06-26,117.4301,117.43,114.34,115.38,668600.0
2019-06-25,118.98,120.39,117.3,117.45,587700.0
2019-06-24,119.57,120.0,118.26,118.82,474300.0
2019-06-21,119.5,119.5,116.8,119.09,1562000.0
2019-06-20,119.62,120.16,119.47,119.98,713500.0
2019-06-19,117.9,119.73,117.19,119.2,375800.0
2019-06-18,119.41,119.41,117.4,117.79,410300.0
2019-06-17,118.2,119.37,117.95,118.81,369300.0
2019-06-14,118.35,118.58,117.25,117.79,456300.0
2019-06-13,117.59,118.04,117.33,118.04,401100.0
2019-06-12,117.19,118.08,116.765,117.47,382800.0
2019-06-11,117.28,117.43,115.895,117.07,401400.0
2019-06-10,117.24,117.29,115.87,117.11,220500.0
2019-06-07,117.89,118.69,117.3195,117.33,335800.0
2019-06-06,117.01,117.7,116.34,117.54,303700.0
