,open,high,low,close,volume
2019-10-25,123.77,126.72,123.77,126.18,1315689.0
2019-10-24,123.93,124.65,122.86,124.3,1335500.0
2019-10-23,121.46,123.67,121.02,123.49,1446400.0
2019-10-22,122.62,123.01,121.85,122.05,1722600.0
2019-10-21,122.26,123.4,121.91,123.0,1820900.0
2019-10-18,120.4,121.4,118.96,121.05,1437500.0
2019-10-17,120.81,121.73,120.35,120.57,967300.0
2019-10-16,121.18,121.7,120.34,121.09,1097300.0
2019-10-15,120.33,121.71,120.29,121.11,905700.0
2019-10-14,120.79,121.21,119.37,120.1,1065200.0
2019-10-11,119.73,122.31,119.03,121.18,1828800.0
2019-10-10,118.57,119.84,117.67,118.19,1683300.0
2019-10-09,118.59,119.06,117.25,118.49,1454300.0
2019-10-08,118.2,118.93,116.85,117.67,1717700.0
2019-10-07,120.08,120.71,118.88,119.2,1707000.0
2019-10-04,119.96,121.02,119.6,120.86,1909000.0
2019-10-03,120.29,120.68,118.53,119.02,2329100.0
2019-10-02,122.3,122.3,119.6,120.33,1859100.0
2019-10-01,125.05,126.41,123.31,123.4,1840300.0
2019-09-30,121.88,124.61,120.66,124.37,2770700.0
2019-09-27,122.48,123.0,120.02,120.77,3215500.0
2019-09-26,122.36,122.89,121.35,121.67,2709000.0
2019-09-25,122.5,123.37,121.28,123.03,2925900.0
2019-09-24,126.11,126.11,122.19,122.27,2735000.0
2019-09-23,126.25,126.8,125.4,125.85,2961700.0
2019-09-20,129.07,129.46,126.86,126.97,3007100.0
2019-09-19,130.49,131.35,129.41,129.55,1088500.0
2019-09-18,130.13,130.48,128.71,130.19,1087200.0
2019-09-17,130.68,131.43,129.78,130.56,877400.0
2019-09-16,132.8,132.8,130.18,130.48,1310600.0
2019-09-13,132.98,135.46,132.56,133.99,1168300.0
2019-09-12,133.5,134.37,132.39,132.51,1080100.0
2019-09-11,131.39,133.59,130.83,133.09,1613900.0
2019-09-10,130.0,131.71,128.67,131.69,1259000.0
2019-09-09,129.79,129.95,128.36,129.91,1291100.0
2019-09-06,128.5,129.78,128.05,129.43,1120200.0
2019-09-05,126.89,128.87,125.92,128.46,2941800.0
2019-09-04,125.61,126.03,124.92,125.69,2471500.0
2019-09-03,124.94,124.94,123.63,124.27,1895000.0
2019-08-30,126.3,127.61,125.79,126.06,1871600.0
2019-08-29,127.2,127.46,125.38,125.73,1701900.0
2019-08-28,125.17,125.94,124.66,125.34,1892200.0
2019-08-27,127.02,127.2,125.26,125.35,1214800.0
2019-08-26,126.43,126.86,125.37,126.23,1263400.0
2019-08-23,127.26,127.92,124.67,125.1,1736100.0
2019-08-22,128.83,129.43,126.97,128.12,963900.0
2019-08-21,131.58,131.65,128.0,128.35,1646600.0
2019-08-20,130.03,131.6,129.73,130.68,979800.0
2019-08-19,130.89,131.24,129.96,130.57,1289300.0
2019-08-16,127.94,129.26,127.33,128.82,1269600.0
2019-08-15,128.89,129.28,126.02,126.7,1945200.0
2019-08-14,130.36,131.93,126.23,126.85,2103300.0
2019-08-13,130.19,133.23,130.01,132.41,1610200.0
2019-08-12,131.2,131.75,129.84,130.01,2305300.0
2019-08-09,131.3385,132.98,129.73,132.46,2304400.0
2019-08-08,129.11,131.06,128.22,130.34,1651000.0
2019-08-07,126.27,128.91,124.77,127.82,2447900.0
2019-08-06,126.58,132.45,126.3,128.49,3932500.0
2019-08-05,134.09,134.5207,129.86,130.34,3161900.0
2019-08-02,136.76,137.24,135.45,135.98,1098700.0
2019-08-01,138.99,140.49,136.5,136.87,1268700.0
2019-07-31,140.98,141.23,137.8,139.06,1551600.0
2019-07-30,140.33,141.46,139.88,140.81,947500.0
2019-07-29,139.94,141.59,139.46,141.23,1113900.0
2019-07-26,141.29,141.34,139.92,140.27,1235200.0
2019-07-25,139.66,141.74,139.31,140.72,1395500.0
2019-07-24,140.08,140.53,137.75,139.79,1730000.0
2019-07-23,137.32,140.88,136.11,140.69,2288100.0
2019-07-22,137.5,137.79,135.39,136.06,1998100.0
2019-07-19,140.23,140.23,137.63,137.73,1549800.0
2019-07-18,140.68,140.85,138.68,139.8,1597400.0
2019-07-17,143.94,143.9342,141.15,141.24,1229400.0
2019-07-16,142.9924,144.24,142.6,143.96,1023500.0
2019-07-15,142.08,142.88,140.88,142.78,1656100.0
2019-07-12,142.23,142.75,141.64,142.55,1057900.0
2019-07-11,142.25,142.25,140.7,141.9,1290500.0
2019-07-10,139.43,141.62,139.0,141.57,1956800.0
2019-07-09,138.63,139.61,137.85,139.52,1808000.0
2019-07-08,141.74,141.74,140.02,141.3,1166400.0
2019-07-05,140.89,142.18,139.634,142.01,1274100.0
2019-07-03,141.79,142.09,141.09,141.75,650500.0
2019-07-02,140.81,141.27,139.25,141.26,986400.0
2019-07-01,142.41,142.9,140.78,141.23,1824200.0
2019-06-28,138.45,140.46,138.15,140.29,3030300.0
2019-06-27,135.92,138.83,135.91,138.29,1865200.0
2019-06-26,134.15,136.26,133.7,135.65,1546300.0
2019-06-25,136.71,136.73,132.74,133.28,1729600.0
2019-06-24,137.3936,137.98,136.39,136.76,1095200.0
2019-06-21,136.54,138.05,136.04,137.07,2353500.0
2019-06-20,136.9,138.42,136.46,137.19,1582700.0
2019-06-19,135.0,135.84,134.09,135.68,1222300.0
2019-06-18,135.0,136.3,133.85,134.96,1531600.0
2019-06-17,134.04,134.11,132.58,132.85,1263600.0
2019-06-14,133.63,134.03,132.17,133.68,872500.0
2019-06-13,133.26,134.33,132.03,133.62,1115900.0
2019-06-12,134.87,135.4309,132.68,132.7,1184300.0
2019-06-11,134.14,135.47,133.2159,134.52,1387500.0
2019-06-10,133.13,134.76,132.47,132.75,1315500.0
2019-06-07,129.5,133.03,129.0,132.52,1458500.0
2019-06-06,127.62,129.01,126.96,128.6,1355300.0
