,open,high,low,close,volume
2019-10-25,196.1,196.64,194.4013,194.61,4458649.0
2019-10-24,199.54,199.55,195.79,196.02,4955600.0
2019-10-23,200.11,201.14,198.02,199.21,7943700.0
2019-10-22,205.09,205.25,199.15,199.27,10265400.0
2019-10-21,209.7,210.76,208.44,209.85,3684200.0
2019-10-18,206.8,209.05,206.73,208.5,3518800.0
2019-10-17,208.5,209.49,206.84,206.85,3340500.0
2019-10-16,207.0,208.93,206.81,208.3,2891400.0
2019-10-15,209.56,209.72,206.52,207.22,3766800.0
2019-10-14,208.0,210.02,207.79,208.38,3088000.0
2019-10-11,213.03,213.27,208.67,209.02,3945700.0
2019-10-10,211.76,213.13,211.5,211.76,1853100.0
2019-10-09,211.7,213.47,211.62,212.83,1745900.0
2019-10-08,210.98,213.14,209.97,211.11,2555900.0
2019-10-07,211.1,212.87,211.1,211.92,3057000.0
2019-10-04,210.83,211.71,210.04,211.69,2220300.0
2019-10-03,206.82,210.03,206.33,210.03,3499900.0
2019-10-02,207.93,208.48,205.59,206.27,4171400.0
2019-10-01,211.13,211.7,208.46,209.02,4811900.0
2019-09-30,213.16,215.36,212.81,214.71,2488000.0
2019-09-27,213.06,213.63,212.29,213.16,2333200.0
2019-09-26,214.22,215.67,212.48,212.6,3053100.0
2019-09-25,212.02,213.15,211.0,212.63,2414500.0
2019-09-24,212.5,213.52,211.55,212.02,3049800.0
2019-09-23,209.06,212.47,209.06,211.54,2812100.0
2019-09-20,210.34,211.78,209.37,209.39,5979300.0
2019-09-19,210.38,211.83,209.87,210.52,2552000.0
2019-09-18,210.65,210.88,208.29,210.43,2534800.0
2019-09-17,208.0,210.84,207.49,209.85,3667900.0
2019-09-16,209.3,209.86,207.33,207.4,3437700.0
2019-09-13,212.5,212.78,208.95,209.81,3791800.0
2019-09-12,211.9,214.03,211.3,212.15,3439100.0
2019-09-11,209.69,211.55,208.54,210.2,3393300.0
2019-09-10,215.43,215.43,208.28,209.68,6407600.0
2019-09-09,220.5,220.5,217.16,217.26,2569600.0
2019-09-06,219.81,220.84,219.45,220.03,1976500.0
2019-09-05,220.21,220.33,218.4,219.49,2752100.0
2019-09-04,217.5,219.26,216.5,218.5,2252200.0
2019-09-03,217.93,218.67,216.28,217.13,3183100.0
2019-08-30,219.8,220.0,216.94,217.97,2733700.0
2019-08-29,219.83,221.02,218.37,220.54,2729800.0
2019-08-28,216.62,218.21,215.4,218.07,2146100.0
2019-08-27,217.58,217.9,216.05,216.05,2070000.0
2019-08-26,216.08,217.18,214.21,216.91,2553100.0
2019-08-23,219.17,219.47,213.89,214.66,3662300.0
2019-08-22,220.54,220.89,217.88,219.49,2550600.0
2019-08-21,219.9,220.79,218.73,220.71,2053200.0
2019-08-20,218.86,219.92,218.35,218.47,2333800.0
2019-08-19,219.99,220.21,217.11,218.78,2721100.0
2019-08-16,219.18,219.82,215.67,218.47,2475900.0
2019-08-15,216.0,218.4764,215.67,218.27,2774100.0
2019-08-14,218.95,219.74,216.38,216.48,3233700.0
2019-08-13,219.9928,220.22,218.04,219.73,2913300.0
2019-08-12,220.44,220.65,216.37,217.16,2338200.0
2019-08-09,218.08,221.93,218.08,221.15,3784000.0
2019-08-08,217.31,219.74,216.17,218.01,3724300.0
2019-08-07,213.26,217.56,211.34,216.83,3767200.0
2019-08-06,210.5,214.55,209.88,214.08,2970300.0
2019-08-05,213.64,214.5978,209.43,210.45,3685600.0
2019-08-02,211.3,215.09,210.89,214.48,3517800.0
2019-08-01,211.18,213.13,210.11,211.25,3231800.0
2019-07-31,212.08,212.71,209.37,210.72,4048800.0
2019-07-30,214.29,215.21,211.58,212.34,2808500.0
2019-07-29,216.0,217.42,214.3,214.98,4278600.0
2019-07-26,217.95,218.96,214.49,215.58,5029300.0
2019-07-25,212.36,214.6,212.31,214.44,3789000.0
2019-07-24,213.827,214.95,212.27,212.78,2971600.0
2019-07-23,215.74,216.25,212.64,214.31,2503600.0
2019-07-22,213.79,215.33,212.52,215.0,2580000.0
2019-07-19,215.58,216.26,213.8,213.87,2860500.0
2019-07-18,214.08,215.95,213.33,215.91,2259800.0
2019-07-17,213.98,214.9,213.3777,213.71,1698400.0
2019-07-16,213.53,214.9,212.15,213.72,2380400.0
2019-07-15,213.63,214.7,212.69,214.21,2408500.0
2019-07-12,212.69,213.4,211.27,212.99,1960100.0
2019-07-11,214.47,214.8,211.61,212.69,1922800.0
2019-07-10,212.25,213.46,211.95,213.0,1842300.0
2019-07-09,211.99,212.69,211.47,212.09,1618800.0
2019-07-08,211.24,212.53,211.23,212.16,1818000.0
2019-07-05,212.3,213.01,210.25,211.24,1876200.0
2019-07-03,209.82,212.87,209.7,212.81,2306000.0
2019-07-02,206.75,209.58,206.32,209.58,3120000.0
2019-07-01,208.86,209.43,206.19,206.3,2689500.0
2019-06-28,206.9,207.99,206.32,207.66,3658200.0
2019-06-27,204.67,206.35,204.2,206.27,2253500.0
2019-06-26,205.49,205.67,204.01,204.55,2576000.0
2019-06-25,204.8,206.39,204.72,205.71,3020900.0
2019-06-24,204.75,205.25,203.63,203.92,2486800.0
2019-06-21,205.58,205.94,203.98,204.26,4267400.0
2019-06-20,205.0,205.39,204.1,205.12,2162200.0
2019-06-19,204.6246,205.0,202.61,204.55,2328400.0
2019-06-18,205.0,205.4,203.919,204.51,2470900.0
2019-06-17,205.75,205.75,203.09,203.81,2694400.0
2019-06-14,204.0,205.805,203.78,205.29,2715800.0
2019-06-13,205.2,205.4,203.66,204.49,2277800.0
2019-06-12,204.49,205.49,203.7,204.93,2874000.0
2019-06-11,202.3,203.65,201.39,203.26,2991400.0
2019-06-10,206.087,206.1,199.74,201.3,4647500.0
2019-06-07,203.5,206.39,203.5,205.48,4345000.0
2019-06-06,200.12,203.3574,200.03,203.05,4657600.0
