,open,high,low,close,volume
2019-10-25,215.34,217.37,215.34,216.01,353962.0
2019-10-24,213.2,216.18,212.53,215.58,348800.0
2019-10-23,212.92,213.52,209.75,211.97,975500.0
2019-10-22,219.21,219.67,213.03,213.2,462600.0
2019-10-21,218.27,219.4,216.96,219.29,476500.0
2019-10-18,218.14,218.76,215.77,217.3,608900.0
2019-10-17,217.5,219.15,216.91,218.77,430000.0
2019-10-16,217.88,217.88,214.51,217.15,511500.0
2019-10-15,215.93,219.12,215.46,218.69,664200.0
2019-10-14,213.94,215.92,213.2,214.47,835100.0
2019-10-11,215.0,216.27,213.77,214.1,873000.0
2019-10-10,209.19,212.73,208.76,211.05,474400.0
2019-10-09,208.1,210.67,207.24,209.65,570200.0
2019-10-08,206.79,208.85,203.74,205.76,1085700.0
2019-10-07,204.83,210.12,204.83,208.21,1016700.0
2019-10-04,200.08,203.67,199.83,203.56,522200.0
2019-10-03,197.17,200.07,195.57,199.56,665200.0
2019-10-02,199.85,200.84,196.33,196.81,1327000.0
2019-10-01,205.48,205.89,201.38,201.49,891200.0
2019-09-30,205.0,207.95,204.48,204.83,933600.0
2019-09-27,215.44,215.74,203.21,205.88,1727400.0
2019-09-26,213.83,214.43,211.71,213.18,702100.0
2019-09-25,210.87,214.28,210.33,213.73,722100.0
2019-09-24,216.17,217.0,210.48,210.58,1608000.0
2019-09-23,215.48,215.49,212.05,215.38,1068600.0
2019-09-20,217.62,217.62,213.65,214.08,1520800.0
2019-09-19,216.25,218.06,215.58,216.57,1140800.0
2019-09-18,218.9,218.9,213.29,216.76,1302000.0
2019-09-17,213.82,218.56,213.75,218.16,638700.0
2019-09-16,211.19,213.34,210.4,213.33,547800.0
2019-09-13,214.47,214.47,210.27,212.28,690400.0
2019-09-12,214.59,215.53,211.85,212.98,861800.0
2019-09-11,212.0,213.4,208.28,213.09,772400.0
2019-09-10,216.89,216.89,209.42,211.46,1142200.0
2019-09-09,221.57,221.57,215.98,217.37,736100.0
2019-09-06,219.65,222.85,219.09,220.54,510800.0
2019-09-05,216.52,220.5,215.1,219.58,853700.0
2019-09-04,214.09,215.66,211.89,213.7,806900.0
2019-09-03,213.95,215.73,210.89,213.14,812700.0
2019-08-30,218.2,218.4,214.37,215.58,654700.0
2019-08-29,217.0,217.7,215.27,216.36,612000.0
2019-08-28,212.55,216.34,212.2,214.36,595200.0
2019-08-27,213.48,214.6,212.72,213.27,735600.0
2019-08-26,212.0,213.09,210.37,212.26,422000.0
2019-08-23,216.0,216.24,209.14,210.4,946600.0
2019-08-22,219.81,219.98,216.28,216.77,893000.0
2019-08-21,218.46,219.74,218.2,219.04,512400.0
2019-08-20,216.91,218.21,215.4,216.64,515300.0
2019-08-19,215.94,218.31,215.94,217.53,526500.0
2019-08-16,212.51,214.86,206.23,214.29,594400.0
2019-08-15,207.3356,210.76,206.23,209.95,454000.0
2019-08-14,210.17,211.24,205.02,206.51,843700.0
2019-08-13,212.4,215.18,211.5611,213.5,638800.0
2019-08-12,212.71,213.56,210.37,212.93,494500.0
2019-08-09,213.87,215.41,211.79,214.13,524700.0
2019-08-08,210.46,215.115,210.0,214.65,546000.0
2019-08-07,201.84,208.715,201.09,208.25,599600.0
2019-08-06,204.02,206.56,203.02,206.3,856900.0
2019-08-05,212.22,212.22,200.65,202.69,1222100.0
2019-08-02,215.89,216.59,211.9,214.3,866500.0
2019-08-01,212.89,220.6761,212.13,216.05,1582900.0
2019-07-31,208.65,216.74,207.0,214.34,2159000.0
2019-07-30,201.11,202.32,199.9422,202.24,621500.0
2019-07-29,203.5,203.7135,201.41,201.47,731000.0
2019-07-26,201.01,204.16,201.01,203.4,656900.0
2019-07-25,202.52,202.82,200.43,200.86,517400.0
2019-07-24,201.79,203.1571,199.81,203.03,530100.0
2019-07-23,203.27,203.27,201.15,202.65,367500.0
2019-07-22,200.99,203.07,200.46,202.27,401900.0
2019-07-19,204.89,204.99,200.8,200.89,522500.0
2019-07-18,202.95,204.54,202.75,204.27,343100.0
2019-07-17,204.87,205.06,202.7,202.77,709000.0
2019-07-16,206.09,206.09,203.37,204.98,645700.0
2019-07-15,205.21,205.39,204.09,205.0,398700.0
2019-07-12,202.79,205.34,201.7574,205.31,564500.0
2019-07-11,200.18,202.94,199.86,201.66,579700.0
2019-07-10,200.62,200.93,199.1672,199.77,607500.0
2019-07-09,195.95,198.2,195.43,198.05,521200.0
2019-07-08,200.19,200.54,196.8712,197.58,479400.0
2019-07-05,202.01,202.4,199.03,201.43,605600.0
2019-07-03,201.44,202.7251,200.27,202.61,277100.0
2019-07-02,198.12,200.6,198.12,200.26,655600.0
2019-07-01,198.46,199.37,197.44,198.33,1091300.0
2019-06-28,196.28,197.64,195.31,195.31,3133100.0
