,open,high,low,close,volume
2019-10-25,53.09,53.1225,52.35,52.77,5427047.0
2019-10-24,52.77,53.06,52.09,53.04,5610300.0
2019-10-23,52.57,52.95,52.5,52.65,6597500.0
2019-10-22,53.51,53.85,52.39,52.71,7910400.0
2019-10-21,54.79,54.82,53.52,53.57,5798600.0
2019-10-18,54.77,54.87,54.46,54.48,5027500.0
2019-10-17,54.78,54.86,54.44,54.63,4719700.0
2019-10-16,54.01,54.4,53.77,54.27,4969300.0
2019-10-15,54.42,54.59,54.01,54.04,3825900.0
2019-10-14,54.71,55.16,54.19,54.22,4574400.0
2019-10-11,55.67,55.69,54.8,54.82,4810000.0
2019-10-10,54.83,55.74,54.77,55.41,4393900.0
2019-10-09,55.04,55.13,54.42,54.95,3460100.0
2019-10-08,54.92,55.2,54.53,54.56,5168200.0
2019-10-07,55.68,55.81,54.98,55.07,6075400.0
2019-10-04,54.78,56.06,54.72,55.98,5952400.0
2019-10-03,54.23,54.81,53.68,54.52,5163300.0
2019-10-02,54.52,54.62,53.78,53.98,6507000.0
2019-10-01,55.33,55.58,54.61,54.64,5420500.0
2019-09-30,55.38,55.82,55.25,55.32,4408100.0
2019-09-27,55.45,55.62,55.03,55.39,6598400.0
2019-09-26,55.5,55.8,55.26,55.69,4281000.0
2019-09-25,55.1,55.41,54.92,55.19,4330900.0
2019-09-24,55.0,55.6,54.73,55.05,6345500.0
2019-09-23,54.56,55.09,54.36,54.61,4831700.0
2019-09-20,55.02,55.18,54.6,54.65,11308800.0
2019-09-19,54.87,55.55,54.6,55.04,4922600.0
2019-09-18,54.7,54.76,53.96,54.72,7898900.0
2019-09-17,53.64,55.16,53.57,54.7,6701900.0
2019-09-16,53.89,54.29,53.65,54.05,3531200.0
2019-09-13,54.46,54.76,53.79,54.08,6183400.0
2019-09-12,54.82,55.58,54.68,54.81,5549700.0
2019-09-11,54.31,54.77,54.04,54.51,5544900.0
2019-09-10,56.02,56.28,53.92,54.33,8968600.0
2019-09-09,56.71,56.71,56.21,56.48,5781700.0
2019-09-06,56.36,56.72,56.08,56.63,4940000.0
2019-09-05,56.4,56.59,56.06,56.14,5001300.0
2019-09-04,55.83,56.23,55.43,56.2,5318100.0
2019-09-03,54.91,55.71,54.8,55.64,3483200.0
2019-08-30,55.6,55.63,55.06,55.22,4465800.0
2019-08-29,55.0,55.39,54.51,55.28,4074500.0
2019-08-28,54.48,54.91,54.31,54.88,4977500.0
2019-08-27,54.5,54.77,54.33,54.42,4612200.0
2019-08-26,53.85,54.48,53.75,54.46,4575300.0
2019-08-23,54.44,54.82,53.33,53.63,5542600.0
2019-08-22,54.43,54.62,54.08,54.51,3945600.0
2019-08-21,54.43,54.43,54.01,54.3,3181100.0
2019-08-20,54.27,54.5,53.94,53.99,4034600.0
2019-08-19,54.74,54.89,54.4,54.56,4950000.0
2019-08-16,54.05,54.6738,53.89,54.54,5310300.0
2019-08-15,53.42,54.01,53.14,53.78,5258700.0
2019-08-14,54.34,54.4618,53.1,53.2,8391200.0
2019-08-13,54.24,54.99,54.13,54.57,8147600.0
2019-08-12,54.5,54.73,54.0896,54.25,5519900.0
2019-08-09,55.02,55.29,54.34,54.69,5750900.0
2019-08-08,54.1,55.05,53.59,54.95,7489800.0
2019-08-07,52.66,53.62,51.99,53.42,6947000.0
2019-08-06,52.3,52.98,51.92,52.83,7854000.0
2019-08-05,53.5856,53.93,51.96,52.22,9489000.0
2019-08-02,53.46,54.06,53.32,53.76,6627900.0
2019-08-01,53.39,54.94,53.39,53.63,9150200.0
2019-07-31,55.0,55.25,52.82,53.49,10559900.0
2019-07-30,54.97,55.27,54.73,54.81,5496300.0
2019-07-29,54.77,55.25,54.76,54.86,4868500.0
2019-07-26,54.47,54.91,54.31,54.81,3706200.0
2019-07-25,54.07,54.64,53.95,54.41,3516800.0
2019-07-24,54.68,54.89,53.99,54.42,5555900.0
2019-07-23,54.91,55.14,54.41,54.79,5557600.0
2019-07-22,54.96,54.98,54.34,54.64,4058500.0
2019-07-19,55.5,55.5,54.86,54.89,5435700.0
2019-07-18,54.87,55.34,54.59,55.23,5381700.0
2019-07-17,54.77,55.0,54.62,54.89,5049100.0
2019-07-16,54.4979,54.94,54.18,54.77,6540500.0
2019-07-15,54.58,54.88,54.41,54.7,4211300.0
2019-07-12,54.79,54.9694,54.43,54.54,4587800.0
2019-07-11,55.8,55.83,54.41,54.63,6153600.0
2019-07-10,55.56,55.65,55.24,55.53,5311900.0
2019-07-09,55.3,55.4653,55.07,55.38,3766100.0
2019-07-08,55.5,55.76,55.12,55.44,3959200.0
2019-07-05,55.41,55.52,54.92,55.5,3424700.0
2019-07-03,55.33,55.845,55.1,55.81,3816200.0
2019-07-02,54.82,55.01,54.55,54.95,3747500.0
2019-07-01,54.37,54.78,54.03,54.71,7216000.0
2019-06-28,54.17,54.2,53.68,53.9,8614400.0
2019-06-27,54.26,54.35,54.01,54.12,4210900.0
2019-06-26,55.03,55.25,54.19,54.46,7190700.0
2019-06-25,55.29,55.64,55.28,55.48,7037400.0
2019-06-24,55.36,55.5,55.07,55.33,4981400.0
2019-06-21,55.45,55.71,55.01,55.25,11755900.0
2019-06-20,55.5,55.65,55.01,55.46,6958200.0
2019-06-19,54.53,55.15,54.1,55.06,7161500.0
2019-06-18,55.5,55.5,54.48,54.56,5730900.0
2019-06-17,55.0,55.06,54.46,54.75,5031100.0
2019-06-14,54.72,55.22,54.59,55.05,4724800.0
2019-06-13,54.52,54.77,54.15,54.65,4758300.0
2019-06-12,54.36,54.73,54.04,54.55,5083800.0
2019-06-11,54.38,54.43,53.8,53.99,6519000.0
2019-06-10,53.95,54.3,53.75,54.19,5387800.0
2019-06-07,53.73,54.3,53.55,54.02,6644300.0
2019-06-06,53.02,53.557,52.81,53.46,5647900.0
