,open,high,low,close,volume
2019-10-25,105.59,105.7,104.6436,105.44,2424766.0
2019-10-24,105.73,106.19,104.45,105.29,3482500.0
2019-10-23,105.38,106.07,104.81,105.22,4543500.0
2019-10-22,106.93,107.41,104.28,104.49,6141000.0
2019-10-21,108.45,108.61,106.46,106.62,4169000.0
2019-10-18,108.47,108.91,107.96,108.12,3155100.0
2019-10-17,108.63,108.98,108.09,108.51,2332700.0
2019-10-16,108.17,108.74,107.42,108.5,2986200.0
2019-10-15,108.11,108.48,107.53,108.19,2720500.0
2019-10-14,107.94,108.21,107.31,107.57,1906900.0
2019-10-11,108.52,108.74,107.44,107.58,3652800.0
2019-10-10,105.87,107.61,105.78,107.42,2797200.0
2019-10-09,105.8,107.02,105.45,106.75,2901200.0
2019-10-08,106.5,106.74,105.0,105.01,4633800.0
2019-10-07,107.92,108.36,107.17,107.26,3991000.0
2019-10-04,107.54,108.65,107.38,108.56,3421500.0
2019-10-03,105.87,107.26,105.2,106.93,2955200.0
2019-10-02,108.12,108.45,105.24,105.94,4413800.0
2019-10-01,108.84,109.7,108.05,108.22,3539600.0
2019-09-30,107.61,109.06,107.46,108.62,3627500.0
2019-09-27,107.9,108.52,106.5,107.32,3111800.0
2019-09-26,107.94,107.98,106.28,107.4,4042500.0
2019-09-25,109.54,109.76,106.73,107.62,6715100.0
2019-09-24,111.14,112.05,109.48,109.76,6023400.0
2019-09-23,110.79,111.38,110.7,110.84,3268200.0
2019-09-20,111.46,111.6,110.65,111.18,7342900.0
2019-09-19,110.33,111.73,110.13,111.01,3646400.0
2019-09-18,109.5,110.32,108.87,110.0,5486000.0
2019-09-17,109.05,110.03,108.96,109.34,4290900.0
2019-09-16,109.5,109.79,108.83,109.05,3402100.0
2019-09-13,110.0,110.48,109.3,109.67,6828600.0
2019-09-12,109.5,111.24,109.39,110.38,5203200.0
2019-09-11,108.2,109.37,107.5,108.63,6209100.0
2019-09-10,107.22,107.58,106.08,107.48,5063900.0
2019-09-09,108.8,109.25,107.55,107.93,4652700.0
2019-09-06,107.87,108.75,107.42,108.69,4484900.0
2019-09-05,108.76,108.76,107.23,107.72,4148200.0
2019-09-04,107.89,108.1,107.16,107.66,4320900.0
2019-09-03,107.24,107.65,106.79,107.47,4360100.0
2019-08-30,108.43,108.45,107.32,107.89,3776500.0
2019-08-29,108.44,108.7,107.3,107.8,3992900.0
2019-08-28,106.98,108.46,106.97,108.0,3924300.0
2019-08-27,106.97,107.83,106.95,107.54,4429500.0
2019-08-26,106.61,106.96,106.17,106.89,3092600.0
2019-08-23,107.66,108.03,105.55,106.05,5316000.0
2019-08-22,108.0,108.31,107.23,107.83,4402600.0
2019-08-21,106.61,108.01,106.47,107.79,6549300.0
2019-08-20,107.98,109.7,106.74,106.91,11295400.0
2019-08-19,103.5,104.43,103.02,104.18,6106800.0
2019-08-16,102.51,103.04,100.6283,102.76,4758100.0
2019-08-15,100.786,102.12,100.63,101.75,4366000.0
2019-08-14,101.5,102.26,100.81,100.93,4715100.0
2019-08-13,101.27,102.7,101.02,102.4,3687500.0
2019-08-12,101.67,102.01,100.6596,101.0,2668900.0
2019-08-09,101.88,102.99,101.46,101.67,6602100.0
2019-08-08,101.53,102.6,100.93,102.28,4951200.0
2019-08-07,100.36,101.84,99.13,101.39,3954100.0
2019-08-06,100.0,101.29,99.34,101.24,4786400.0
2019-08-05,100.31,101.52,98.43,99.51,4598700.0
2019-08-02,102.02,102.76,101.45,102.33,3632200.0
2019-08-01,101.86,103.71,101.55,102.37,4287800.0
2019-07-31,103.53,103.95,101.24,101.94,6937100.0
2019-07-30,102.97,103.87,102.5128,103.75,3892300.0
2019-07-29,102.57,103.46,102.2,103.26,3131300.0
2019-07-26,102.5,103.29,101.9,102.55,3515600.0
2019-07-25,102.09,102.26,101.48,102.09,3007500.0
2019-07-24,101.85,102.37,101.28,102.33,3429900.0
2019-07-23,101.56,101.95,101.11,101.61,3304500.0
2019-07-22,101.12,101.86,100.96,101.24,3061400.0
2019-07-19,102.08,102.74,100.79,100.8,5292400.0
2019-07-18,100.6,101.84,100.59,101.34,3922900.0
2019-07-17,100.27,101.32,99.85,100.92,5579100.0
2019-07-16,99.98,100.2622,99.54,99.87,3632800.0
2019-07-15,99.29,99.87,98.9611,99.82,3075700.0
2019-07-12,99.87,100.0,98.46,99.25,3545600.0
2019-07-11,99.6,100.0,98.95,100.0,3981500.0
2019-07-10,98.5,98.95,98.01,98.85,3482100.0
2019-07-09,98.4,99.11,98.12,98.44,5665300.0
2019-07-08,98.16,98.39,97.4944,98.02,4384800.0
2019-07-05,97.91,98.35,97.4399,98.11,2319800.0
2019-07-03,98.06,98.81,97.87,98.81,2326000.0
2019-07-02,98.0993,98.6,97.65,98.05,3380300.0
2019-07-01,98.2992,98.56,97.38,98.1,3326900.0
2019-06-28,97.9,97.98,96.88,97.39,5539400.0
2019-06-27,97.84,98.05,96.52,97.48,7428000.0
2019-06-26,98.459,98.492,96.85,97.22,4315000.0
2019-06-25,99.15,99.695,98.8406,98.9,4416100.0
2019-06-24,99.2852,99.87,98.9,99.16,4037900.0
2019-06-21,99.21,99.7547,98.44,99.38,7027600.0
2019-06-20,99.31,99.904,98.45,99.26,4887200.0
2019-06-19,97.63,99.06,97.59,98.75,4307100.0
2019-06-18,97.82,98.39,97.45,97.96,3654000.0
2019-06-17,97.51,97.744,97.05,97.32,2749500.0
2019-06-14,97.6,98.16,97.37,97.5,3056900.0
2019-06-13,97.5,97.77,96.98,97.5,4281400.0
2019-06-12,97.53,97.98,97.1931,97.53,3108800.0
2019-06-11,98.0,98.7426,97.14,97.56,3621500.0
2019-06-10,97.03,97.83,96.8163,97.75,3975900.0
2019-06-07,96.94,97.47,96.89,97.11,4848500.0
2019-06-06,96.51,97.23,95.7,96.5,6495100.0
