,open,high,low,close,volume
2019-10-25,264.45,272.09,263.51,268.33,503083.0
2019-10-24,265.56,266.22,264.23,264.9,572100.0
2019-10-23,268.61,269.84,262.17,264.06,559800.0
2019-10-22,268.2,272.39,267.27,267.71,425100.0
2019-10-21,267.09,271.31,266.89,268.61,424800.0
2019-10-18,265.95,266.58,263.18,265.78,480600.0
2019-10-17,268.0,270.83,266.98,267.02,316100.0
2019-10-16,266.32,267.81,265.06,266.65,452400.0
2019-10-15,268.98,270.11,264.81,265.83,475900.0
2019-10-14,265.5,267.23,265.16,265.72,399200.0
2019-10-11,269.23,270.31,264.93,265.43,491200.0
2019-10-10,266.12,269.87,265.04,267.87,376700.0
2019-10-09,265.31,267.69,264.04,266.1,448800.0
2019-10-08,260.43,267.25,258.96,262.95,608200.0
2019-10-07,261.6,264.1,259.24,262.11,732700.0
2019-10-04,261.09,264.0,259.32,261.93,636100.0
2019-10-03,260.51,261.53,256.52,259.79,612600.0
2019-10-02,266.17,266.32,259.09,261.02,890200.0
2019-10-01,274.41,275.91,267.79,268.04,622500.0
2019-09-30,271.26,275.99,271.26,274.1,399000.0
2019-09-27,274.1,274.69,268.37,270.72,345300.0
2019-09-26,270.42,274.78,268.98,273.59,404800.0
2019-09-25,267.43,270.86,266.01,270.61,403100.0
2019-09-24,267.25,270.37,267.25,268.18,353900.0
2019-09-23,266.32,269.98,265.91,266.85,341300.0
2019-09-20,269.32,269.69,263.64,266.41,800100.0
2019-09-19,268.74,271.5,266.9,268.69,401100.0
2019-09-18,266.47,268.34,263.71,268.24,541000.0
2019-09-17,263.17,269.26,261.61,267.27,512600.0
2019-09-16,263.14,263.32,260.23,263.19,368400.0
2019-09-13,262.09,264.35,260.64,264.04,327400.0
2019-09-12,259.56,264.66,259.21,261.27,480400.0
2019-09-11,256.59,258.46,254.28,258.46,423300.0
2019-09-10,252.13,257.24,247.28,256.82,489300.0
2019-09-09,257.42,257.55,252.46,253.1,533000.0
2019-09-06,255.14,259.48,254.89,258.03,263400.0
2019-09-05,262.47,263.06,254.61,255.72,617900.0
2019-09-04,263.04,264.39,260.48,260.7,554600.0
2019-09-03,252.87,261.51,249.79,261.04,887600.0
2019-08-30,254.41,254.53,251.82,253.77,444300.0
2019-08-29,254.08,256.39,252.51,253.26,605600.0
2019-08-28,250.63,254.45,248.58,252.17,506700.0
2019-08-27,252.85,254.24,249.91,250.21,439900.0
2019-08-26,253.0,253.61,248.66,250.76,366200.0
2019-08-23,254.59,258.37,251.32,252.33,544100.0
2019-08-22,253.01,255.86,251.61,255.11,302200.0
2019-08-21,255.0,256.48,251.45,253.25,715900.0
2019-08-20,255.42,256.31,252.23,252.71,819600.0
2019-08-19,256.0,257.57,254.0,255.38,456000.0
2019-08-16,251.65,255.6818,247.73,254.84,406200.0
2019-08-15,249.48,251.75,247.73,250.08,422900.0
2019-08-14,248.81,251.46,247.33,248.84,485800.0
2019-08-13,248.56,252.88,247.14,251.43,421900.0
2019-08-12,248.68,250.74,247.09,248.55,358800.0
2019-08-09,250.74,252.91,247.91,249.41,317800.0
2019-08-08,246.89,251.27,246.59,250.98,575200.0
2019-08-07,245.8826,246.86,242.78,245.08,725800.0
2019-08-06,245.8666,247.34,242.34,247.17,789500.0
2019-08-05,243.42,248.6616,242.6,245.98,754000.0
2019-08-02,242.8,249.92,240.91,246.05,723500.0
2019-08-01,248.11,248.95,241.38,244.49,686300.0
2019-07-31,247.65,252.08,245.83,247.75,1417600.0
2019-07-30,233.22,246.48,231.0065,246.34,1347900.0
2019-07-29,223.69,225.07,222.57,223.99,760300.0
2019-07-26,221.53,226.08,221.27,223.82,608400.0
2019-07-25,227.1781,227.87,221.47,221.88,522400.0
2019-07-24,222.72,227.32,222.23,226.75,1912000.0
2019-07-23,222.9058,225.01,221.54,223.53,548600.0
2019-07-22,223.4685,225.84,220.61,221.06,492500.0
2019-07-19,226.08,228.58,224.21,224.32,461700.0
2019-07-18,227.82,228.8,222.86,225.53,587400.0
2019-07-17,230.13,231.38,226.45,228.42,362800.0
2019-07-16,225.0,231.25,224.98,230.13,426200.0
2019-07-15,227.34,227.34,222.73,224.99,675300.0
2019-07-12,225.47,227.6,224.09,226.5,386500.0
2019-07-11,225.09,226.02,223.06,225.0,363100.0
2019-07-10,230.07,230.64,224.98,226.01,388900.0
2019-07-09,229.06,229.74,227.25,228.94,345800.0
2019-07-08,229.68,229.87,227.18,229.0,436200.0
2019-07-05,229.92,231.045,228.21,230.84,195600.0
2019-07-03,226.4816,231.265,226.263,231.02,290000.0
2019-07-02,228.79,229.08,225.32,226.71,467800.0
2019-07-01,231.9,232.81,225.4,228.09,503700.0
2019-06-28,226.57,230.83,226.0,230.11,924800.0
2019-06-27,225.68,227.62,223.91,226.72,409700.0
2019-06-26,224.64,225.64,222.72,224.16,511900.0
2019-06-25,224.95,225.71,223.81,224.65,331800.0
2019-06-24,224.7,225.79,222.85,224.94,355200.0
2019-06-21,224.76,227.3,223.38,224.93,636300.0
2019-06-20,224.06,226.69,220.96,224.01,470900.0
2019-06-19,222.29,222.72,214.19,222.22,513700.0
2019-06-18,226.81,227.66,221.27,221.35,471900.0
2019-06-17,224.0,226.3,223.93,224.43,429900.0
2019-06-14,222.43,224.4,220.465,223.98,306000.0
2019-06-13,220.35,225.8,219.04,222.57,452400.0
2019-06-12,221.52,221.5125,217.66,219.52,729100.0
2019-06-11,230.64,231.325,216.12,220.94,980200.0
2019-06-10,231.78,232.44,227.91,229.52,510800.0
2019-06-07,230.0,231.7,228.76,230.63,574200.0
2019-06-06,227.22,229.94,226.0,229.39,688900.0
