,open,high,low,close,volume
2019-10-25,98.99,99.005,97.47,97.57,995466.0
2019-10-24,99.07,99.13,98.11,98.7,1775200.0
2019-10-23,98.88,99.48,98.26,98.99,2233400.0
2019-10-22,99.53,100.07,98.9,99.05,2565800.0
2019-10-21,99.49,99.75,98.98,99.74,1518000.0
2019-10-18,98.09,99.31,97.59,99.05,2367700.0
2019-10-17,98.58,98.77,98.1,98.45,1949800.0
2019-10-16,97.38,98.2,96.83,98.2,1416100.0
2019-10-15,97.46,98.26,97.32,97.68,1146100.0
2019-10-14,96.88,97.51,96.62,97.12,808900.0
2019-10-11,97.41,98.32,97.01,97.09,1427500.0
2019-10-10,95.28,96.6,95.0,96.23,1344600.0
2019-10-09,96.27,96.3,95.36,95.62,2176300.0
2019-10-08,97.01,97.07,95.24,95.25,2403500.0
2019-10-07,98.0,98.56,97.62,97.63,1640900.0
2019-10-04,96.94,98.63,96.7,98.36,1727800.0
2019-10-03,96.11,96.64,95.16,96.54,1361800.0
2019-10-02,97.62,97.94,95.73,96.08,1548200.0
2019-10-01,100.53,100.99,98.29,98.3,1201900.0
2019-09-30,99.96,100.27,99.66,100.05,1048400.0
2019-09-27,100.95,100.95,99.19,99.76,887200.0
2019-09-26,100.66,100.98,99.49,100.27,1128300.0
2019-09-25,100.76,101.87,100.25,100.39,1234100.0
2019-09-24,101.33,102.23,99.99,100.53,1363700.0
2019-09-23,100.37,101.44,100.37,101.12,917400.0
2019-09-20,102.56,102.8,100.73,100.9,4627400.0
2019-09-19,101.72,102.67,101.57,102.24,1143000.0
2019-09-18,101.29,101.76,100.66,101.62,932300.0
2019-09-17,100.29,101.5,100.1,101.46,1330200.0
2019-09-16,99.22,100.09,98.94,100.03,934000.0
2019-09-13,99.92,99.95,99.02,99.84,1202400.0
2019-09-12,98.93,100.0,98.72,99.68,1287800.0
2019-09-11,98.27,98.73,97.66,98.73,2009700.0
2019-09-10,99.68,99.68,96.97,98.08,1721900.0
2019-09-09,101.64,101.64,99.45,99.87,1301800.0
2019-09-06,100.75,101.73,100.75,100.91,1441800.0
2019-09-05,101.22,101.84,100.72,101.05,1167000.0
2019-09-04,99.26,100.06,99.1,99.97,1541700.0
2019-09-03,99.18,99.6,98.36,98.8,1723500.0
2019-08-30,99.93,100.18,99.42,99.89,1992000.0
2019-08-29,98.6,99.75,98.09,99.2,1466000.0
2019-08-28,97.55,97.78,97.1,97.74,962200.0
2019-08-27,97.42,97.72,96.66,97.56,1606500.0
2019-08-26,96.5,97.01,95.66,96.98,1101900.0
2019-08-23,98.12,98.57,95.09,95.66,1478000.0
2019-08-22,98.21,98.64,97.25,98.17,845100.0
2019-08-21,97.86,98.02,97.45,97.8,786300.0
2019-08-20,98.3,98.52,97.12,97.21,1100000.0
2019-08-19,98.56,98.9,98.23,98.61,1363500.0
2019-08-16,97.38,98.01,95.62,97.78,1474900.0
2019-08-15,96.16,97.08,95.62,96.66,1246800.0
2019-08-14,97.99,98.72,96.06,96.13,1869500.0
2019-08-13,97.66,99.53,97.13,99.22,1322700.0
2019-08-12,98.8246,99.07,97.44,97.66,940500.0
2019-08-09,99.6349,100.055,98.39,99.28,888900.0
2019-08-08,97.75,99.725,97.61,99.66,1277100.0
2019-08-07,96.5101,97.3,95.31,97.05,1579900.0
2019-08-06,95.84,97.73,95.81,97.66,1550200.0
2019-08-05,97.85,98.28,94.81,95.73,2363500.0
2019-08-02,98.6,99.41,97.91,98.93,2494600.0
2019-08-01,98.88,100.01,98.29,98.61,1938100.0
2019-07-31,100.32,100.4947,97.72,98.8,2920100.0
2019-07-30,101.7,102.6,100.37,100.45,2360500.0
2019-07-29,102.51,103.37,102.51,103.13,1578700.0
2019-07-26,101.53,102.51,100.97,102.45,1368600.0
2019-07-25,102.21,102.57,101.56,101.74,1230500.0
2019-07-24,101.41,102.17,100.98,102.08,1650100.0
2019-07-23,101.07,101.56,100.8,101.47,1036600.0
2019-07-22,100.65,101.36,100.6,100.98,954200.0
2019-07-19,101.92,101.9235,100.54,100.6,1647100.0
2019-07-18,101.22,101.74,100.87,101.56,1243000.0
2019-07-17,102.2,103.0839,101.13,101.16,1290700.0
2019-07-16,103.22,103.3574,102.46,102.59,1139500.0
2019-07-15,103.0,103.16,102.61,103.02,986200.0
2019-07-12,102.3,102.82,101.96,102.81,1024300.0
2019-07-11,101.61,101.99,101.18,101.91,967300.0
2019-07-10,101.64,102.18,101.02,101.69,1073600.0
2019-07-09,101.54,102.03,101.11,102.03,1551700.0
2019-07-08,102.26,102.74,101.78,102.0,1372500.0
2019-07-05,102.78,102.88,101.45,102.75,1583900.0
2019-07-03,102.23,102.95,102.0793,102.92,1046900.0
2019-07-02,100.9,102.07,100.71,102.07,1365500.0
2019-07-01,100.37,100.9,99.96,100.83,1475700.0
2019-06-28,99.63,99.99,98.74,99.75,4391100.0
2019-06-27,98.05,99.46,97.68,99.33,1366500.0
2019-06-26,98.69,99.01,97.57,97.57,2185800.0
2019-06-25,98.21,99.37,98.07,98.61,2098500.0
2019-06-24,97.15,98.47,97.13,98.08,1715500.0
2019-06-21,97.2,97.84,97.02,97.02,4305100.0
2019-06-20,98.4256,98.6,96.89,97.47,2916600.0
