,open,high,low,close,volume
2019-10-25,162.51,167.63,162.13,166.09,3069434.0
2019-10-24,165.16,165.25,159.63,161.89,5953300.0
2019-10-23,167.41,168.76,166.56,168.76,2712300.0
2019-10-22,166.27,168.91,165.1,167.54,2064000.0
2019-10-21,165.47,166.15,164.76,165.94,1998600.0
2019-10-18,163.56,164.27,162.98,163.1,2693700.0
2019-10-17,163.14,165.49,163.08,163.54,1944600.0
2019-10-16,163.1,164.2,162.12,162.18,1935200.0
2019-10-15,159.35,164.02,159.35,162.98,3098600.0
2019-10-14,158.04,162.39,157.34,160.51,3269800.0
2019-10-11,154.13,159.6,154.11,158.1,4670200.0
2019-10-10,150.95,153.09,150.87,152.31,3192000.0
2019-10-09,152.34,152.44,150.79,150.99,3358600.0
2019-10-08,152.33,152.8,150.58,150.74,2781800.0
2019-10-07,155.0,155.35,153.52,153.52,2471200.0
2019-10-04,155.23,156.05,154.4,155.82,2646400.0
2019-10-03,155.14,155.46,150.81,155.23,3025700.0
2019-10-02,157.06,157.22,154.63,155.65,2972300.0
2019-10-01,165.0,165.21,158.17,158.38,3271500.0
2019-09-30,165.21,165.57,163.94,164.4,2508500.0
2019-09-27,164.48,165.64,163.52,164.53,2870300.0
2019-09-26,164.0,164.41,162.8,163.83,2763300.0
2019-09-25,164.76,164.98,163.69,164.0,2758200.0
2019-09-24,167.05,167.55,164.16,164.74,2986800.0
2019-09-23,165.49,167.43,164.5,166.76,1938600.0
2019-09-20,167.43,169.17,166.48,166.76,3698900.0
2019-09-19,167.39,168.81,166.91,167.07,1623000.0
2019-09-18,167.61,168.05,165.25,167.44,2096700.0
2019-09-17,167.76,168.57,166.5,168.07,2716400.0
2019-09-16,171.21,171.21,167.91,169.67,2459300.0
2019-09-13,170.59,172.48,169.86,171.44,2534200.0
2019-09-12,169.62,171.85,168.61,170.58,2870400.0
2019-09-11,169.86,169.89,165.37,168.08,3579100.0
2019-09-10,166.16,169.1,166.01,168.86,3240200.0
2019-09-09,165.0,167.85,164.69,165.94,3091300.0
2019-09-06,164.64,164.88,162.95,163.94,1762300.0
2019-09-05,162.5,166.41,162.39,164.23,2421400.0
2019-09-04,159.83,160.63,158.99,160.07,1506600.0
2019-09-03,161.4,161.63,157.26,158.64,1835800.0
2019-08-30,161.57,162.15,160.41,161.72,1967000.0
2019-08-29,159.3,161.03,159.05,160.36,3170500.0
2019-08-28,155.1,157.78,154.0,157.55,2346900.0
2019-08-27,157.33,157.48,155.4,155.75,2281100.0
2019-08-26,157.01,157.47,155.08,156.12,2215300.0
2019-08-23,160.08,160.35,155.27,155.85,4223900.0
2019-08-22,162.0,162.93,160.15,160.88,1441600.0
2019-08-21,162.69,163.65,161.05,161.15,1623600.0
2019-08-20,163.11,163.11,160.96,161.01,2061700.0
2019-08-19,163.71,163.95,161.78,162.95,3198000.0
2019-08-16,157.84,161.91,155.63,161.5,3481800.0
2019-08-15,158.06,159.7,155.63,156.84,4452700.0
2019-08-14,162.5,162.87,158.67,158.81,4056100.0
2019-08-13,162.56,167.88,162.15,164.88,3244600.0
2019-08-12,163.02,164.78,161.55,162.1,1473800.0
2019-08-09,164.54,164.75,162.03,163.47,1582100.0
2019-08-08,164.37,165.49,163.55,164.22,3260100.0
2019-08-07,162.0,163.95,158.034,163.64,5993200.0
2019-08-06,164.82,165.48,162.905,163.71,3494800.0
2019-08-05,168.95,169.02,164.42,164.71,2894700.0
2019-08-02,172.8551,172.92,169.81,170.55,2423100.0
2019-08-01,174.7958,177.67,173.03,173.36,2381200.0
2019-07-31,177.65,178.02,173.4,174.72,3015800.0
2019-07-30,175.66,177.81,173.8,177.63,1978900.0
2019-07-29,173.8328,177.62,173.66,176.76,2638900.0
2019-07-26,177.63,178.39,170.57,173.98,4016100.0
