,open,high,low,close,volume
2019-10-25,19.91,20.73,19.81,20.54,3262299.0
2019-10-24,20.31,20.56,19.52,19.92,3338700.0
2019-10-23,19.73,20.18,19.32,20.17,3319800.0
2019-10-22,19.4,19.86,19.01,19.68,2950300.0
2019-10-21,19.71,20.01,19.45,19.47,3029400.0
2019-10-18,19.7,19.88,19.48,19.55,2810300.0
2019-10-17,20.18,20.26,19.63,19.64,2481100.0
2019-10-16,20.08,20.62,19.98,20.06,2647500.0
2019-10-15,20.04,20.49,19.7,20.17,3051400.0
2019-10-14,20.4,20.49,20.04,20.06,3159400.0
2019-10-11,19.77,20.85,19.65,20.72,4795400.0
2019-10-10,19.05,19.52,19.01,19.34,5489000.0
2019-10-09,18.78,19.01,18.66,18.82,4902400.0
2019-10-08,18.98,19.23,18.54,18.55,7273600.0
2019-10-07,19.37,19.74,19.08,19.2,6486700.0
2019-10-04,19.72,19.88,19.17,19.39,4309900.0
2019-10-03,19.97,19.98,19.27,19.73,4360300.0
2019-10-02,19.95,20.35,19.6,20.07,3931000.0
2019-10-01,20.65,21.11,20.21,20.21,4312700.0
2019-09-30,20.23,20.62,19.95,20.5,3342800.0
2019-09-27,20.01,20.38,19.91,20.26,3160500.0
2019-09-26,20.48,20.54,19.79,19.95,2931100.0
2019-09-25,20.14,20.62,20.03,20.55,3923500.0
2019-09-24,20.82,20.9,19.92,20.05,6331400.0
2019-09-23,20.44,20.95,20.25,20.89,4782200.0
2019-09-20,20.92,21.24,20.61,20.69,6185700.0
2019-09-19,21.58,21.71,20.92,20.99,6100100.0
2019-09-18,21.72,21.85,21.32,21.57,6366900.0
2019-09-17,22.59,22.81,21.78,21.81,6825900.0
2019-09-16,22.68,23.18,22.53,22.97,4481200.0
2019-09-13,22.13,23.16,21.89,22.65,5689400.0
2019-09-12,22.07,22.33,21.52,21.98,5719200.0
2019-09-11,21.26,22.03,20.62,21.99,7976200.0
2019-09-10,20.44,21.51,20.4,21.38,7733200.0
2019-09-09,19.63,20.28,19.52,20.18,4864400.0
2019-09-06,19.38,19.64,19.17,19.54,3869600.0
2019-09-05,18.46,19.57,18.45,19.38,4914600.0
2019-09-04,18.14,18.33,17.9,18.16,2863200.0
2019-09-03,18.1,18.12,17.72,17.92,4012500.0
2019-08-30,18.46,18.63,18.25,18.39,4491600.0
2019-08-29,18.14,18.83,18.14,18.37,4350300.0
2019-08-28,17.67,18.06,17.36,17.86,5239400.0
2019-08-27,18.0,18.15,17.65,17.66,4635300.0
2019-08-26,18.19,18.24,17.77,17.96,9935600.0
2019-08-23,19.15,19.15,17.95,18.01,7547900.0
2019-08-22,19.12,19.49,18.99,19.07,4175100.0
2019-08-21,19.56,19.59,19.05,19.07,3748300.0
2019-08-20,19.86,19.94,19.29,19.37,3882200.0
2019-08-19,19.95,20.13,19.81,19.98,2585200.0
2019-08-16,19.41,19.86,19.12,19.74,3418000.0
2019-08-15,19.77,19.81,19.19,19.29,4654300.0
2019-08-14,20.26,20.3,19.58,19.64,6030600.0
2019-08-13,20.7,21.46,20.3299,20.61,7321300.0
2019-08-12,22.4,22.45,20.75,20.76,5468100.0
2019-08-09,22.71,22.7985,22.26,22.6,4796100.0
2019-08-08,22.79,23.21,22.41,23.07,7636000.0
2019-08-07,21.8495,22.8,21.72,22.72,10329200.0
2019-08-06,24.53,24.54,20.05,22.02,22442100.0
2019-08-05,23.94,24.03,23.17,23.6,5054900.0
2019-08-02,24.86,24.89,24.15,24.39,3494700.0
2019-08-01,25.0892,25.56,24.77,25.08,7452200.0
2019-07-31,25.56,25.71,24.89,25.19,5213400.0
2019-07-30,23.6,25.26,23.48,25.25,5194900.0
2019-07-29,24.19,24.2483,23.83,23.84,2264600.0
2019-07-26,24.25,24.4,24.03,24.31,2547200.0
2019-07-25,24.74,24.74,24.17,24.25,2459300.0
2019-07-24,24.72,25.04,24.36,24.83,3205400.0
2019-07-23,24.45,25.02,24.39,24.79,3344600.0
2019-07-22,24.41,24.45,24.03,24.25,1933500.0
2019-07-19,23.83,24.37,23.79,24.22,2816700.0
2019-07-18,23.67,23.88,23.4206,23.83,2557700.0
2019-07-17,23.62,24.05,23.35,23.86,6008600.0
2019-07-16,23.41,24.07,23.22,23.71,5458300.0
2019-07-15,23.0,23.3799,22.83,23.37,3499500.0
2019-07-12,22.57,23.07,22.51,23.0,3963100.0
2019-07-11,23.02,23.09,22.39,22.49,4930300.0
2019-07-10,23.44,23.56,23.0,23.08,3058900.0
2019-07-09,23.53,23.71,23.08,23.33,6177100.0
2019-07-08,24.68,24.74,24.0,24.05,4742700.0
2019-07-05,24.61,24.87,24.42,24.8,2737900.0
2019-07-03,24.61,24.775,24.38,24.76,1897400.0
2019-07-02,25.11,25.125,24.51,24.65,6404400.0
2019-07-01,25.41,25.49,25.05,25.27,9980100.0
2019-06-28,24.52,25.06,24.5,25.03,8098800.0
2019-06-27,24.31,24.82,24.18,24.39,6800200.0
2019-06-26,24.2,24.49,23.81,24.14,7814000.0
2019-06-25,24.04,24.26,23.545,24.16,8235800.0
2019-06-24,23.43,23.635,23.23,23.43,2913900.0
2019-06-21,23.68,23.77,23.4,23.42,5626700.0
2019-06-20,23.89,23.915,23.3498,23.63,3100400.0
2019-06-19,24.1,24.24,23.41,23.47,5442600.0
2019-06-18,23.41,24.22,23.35,24.06,11039100.0
2019-06-17,22.97,23.49,22.71,23.28,7113300.0
2019-06-14,22.7,22.81,22.36,22.36,4258700.0
2019-06-13,22.78,23.0224,22.6,22.84,3492500.0
2019-06-12,22.29,22.845,22.16,22.66,4503100.0
2019-06-11,22.48,22.575,22.27,22.39,5146600.0
2019-06-10,22.35,22.525,22.01,22.25,6420400.0
2019-06-07,22.58,22.58,21.8506,22.15,4246800.0
2019-06-06,22.17,22.46,21.99,22.46,5728200.0
